,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
2,3412,SIA/UP/MIN/187127/2020,6025,"“Ordinary Sand” Project at Gata No.-21 Ka/20, Village- Setuhee, Tehsil- Laharpur, District- Sitapur, U.P. (Leased Area : 1.0720 ha.)",SATISH CHANDRA GUPTA,EC Granted,EC,
3,3413,SIA/UP/MIN/187120/2020,6026,"Building Stone (Khanda, Boulder, Bailast (Gitti))",MS ADARSH STONE MILL,EC Granted,EC,
4,3414,SIA/UP/MIS/190060/2020,6071,Data Centre Project by M/s Netmagic IT Services Pvt. Ltd.,M/S NETMAGIC IT SERVICES PRIVATE LIMITED,EC Granted,EC,
5,3415,SIA/UP/MIN/402736/2022,7285,"Ordinary earthmine, over an area 0.402 ha. in Khasra/GataNo.-709 atVillage-Chhedanagar,Tehsil-Nawabganj, District- Barabanki, Uttar Pradesh by Vivek verma",VIVEK VERMA,EC Granted,EC,
6,3416,SIA/UP/MIN/406277/2022,7359-7043,Building Stone (Sand stone) Mining Project,MANOJ SINGH,EC Granted,EC,
7,3417,SIA/UP/MIN/425801/2023,7775-5019,"“Granite (Khanda, Gitti & Boulder) Mine” Project at Gata No.- 2450 (Khand No.- 01), Village- Jarar, Tehsil- Naraini, District- Banda, U.P. (Applied Area : 2.0 ha.)",BRIJMOHAN KIRAR,Agenda Uploaded by SEAC,EC,
8,3418,SIA/UP/MIN/247231/2021,6798,"Ordinary Soil Excavation” Project at Gata No.– 91Mi, 92Mi, 94MiVillage-Faizullah Nagar, Tehsil-Thakurdwara, District- Moradabad, Uttar Pradesh",VERNER ENVIRO INDIA PVT LTD.,EC Granted,EC,
9,3419,SIA/UP/MIN/64029/2021,6373,"Building Stone, Khanda, Boulder, Ballast (Gitti) Mining  project",SH. RAHUL SINGH,EC Granted,EC,
10,3420,SIA/UP/MIN/74469/2021,7009/6404,Building stone boulder-khanda / gitti-ballast mining  project,SHRI SHIV SHANKAR TRIPATHI,EC Granted,EC,
1,3421,SIA/UP/MIN/47746/2019,5346,,SHISHIR PANDEY,EC Granted,EC,
2,3422,SIA/UP/MIN/47746/2019,,,SHISHIR PANDEY,WithdrawEC,EC,
3,3423,SIA/UP/MIN/47746/2019,,,SHISHIR PANDEY,WithdrawEC,EC,
4,3424,SIA/UP/MIN/422939/2023,7787,Hathras Ordinary Earth Excavation,INDRA SINGH,Accepted By SEAC,EC,
5,3425,SIA/UP/MIN/180164/2020,5959,Ordinary Earth Mining Project,M/S RAMRAJ CONSTRUCTION,EC Granted,EC,
6,3426,SIA/UP/MIN/21262/2016,4313,Cluster of Mines,DEEPAK CHAURASIA,EC Granted,EC,
7,3427,SIA/UP/MIN/71463/2017,,Parwai Diaspore & Pyrophillite Mine Area- 10.12 Ha,MANJU KUSHWAHA,Delisted,EC,
8,3428,SIA/UP/MIN/43112/2019,,"Brick Clay Mining Project (Khasra No. 100,166,849,938,247,77,105 & 78)",DIAMOND BRICKS UDHYOG,Delisted,EC,
9,3429,SIA/UP/MIN/217159/2021,6411,Building Stone (Sand stone) Mining,SMT. ARUN DEVI,EC Granted,EC,
