,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
1541,SIA/UP/MIN/22656/2018,4160,-1,Uttar Pradesh,Kanpur Dehat,Bhognipur,Date of Submission for EC: 04 Oct 2018 ,Date of Ec Granted : 24 Nov 2018,Non-Coal Mining,MS HARIHAR MINERALS LLP,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/22656/2018&pid=46100,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/22656/2018&type=EC&ID=46100
1542,SIA/UP/INFRA2/447163/2023,8341,"Expansion of proposed 5-Star Resort & Hotel project at Khasra No-29, 30, 27, 23, 19, 18, 17, 16, 26, 20, 22, 25 Mauja Myapur, Fatehabad Road, Agra, Uttar Pradesh by M/s Shree Goverdhan Awas Private Limited. ",Uttar Pradesh,,,Date of Submission for TOR: ,Date of Submission for EC: 07 Oct 2023 ,INFRA-2,M/S SHREE GOVERDHAN AWAS PRIVATE LIMITED,WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/INFRA2/447163/2023&pid=226518,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/INFRA2/447163/2023&type=EC&ID=226518
1543,SIA/UP/MIN/74914/2018,4295,"""Ordinary Sand Mining"" on River Yamuna at Gata No./Khand No.- 1954/2, Vill.- Kodra Jalalpur, Tehsil Sadar, Distt.- Firozabad
Area- 5.20 ha.",Uttar Pradesh,Firozabad,Firozabad,Date of Submission for EC: 09 May 2018 ,Date of Ec Granted : 18 Jul 2018,Non-Coal Mining,AJAY PAL SINGH,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/74914/2018&pid=44046,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/74914/2018&type=EC&ID=44046
1544,SIA/UP/INFRA2/414041/2023,7533-7122,Development of Integrated Industrial Township “Trans Ganga City”,Uttar Pradesh,,,Date of Submission for TOR: ,Date of Submission for EC: 11 Jan 2023 ,INFRA-2,M/S UTTAR PRADESH STATE INDUSTRIAL  DEVELOPMENT AUTHORITY,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/INFRA2/414041/2023&pid=215214,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/INFRA2/414041/2023&type=EC&ID=215214
1545,SIA/UP/IND2/29014/2016,4476,M/s Dev Distillery A unit of M/s Devgreen Infratech (Pvt. Ltd.),Uttar Pradesh,Bijnor,Bijnor,Date of Submission for EC: 11 Sep 2018 ,Date of Ec Granted : 11 Dec 2018,Industrial Projects - 2,DEV DISTILLERY,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/IND2/29014/2016&pid=45647,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/IND2/29014/2016&type=EC&ID=45647
1546,SIA/UP/IND2/445523/2023,8305-7661,ESTABLISHMENT OF PROPOSED GRAIN BASED DISTILLERY CAPACITY – 60 KLD ALONG WITH CO GEN POWER OF 2.0 MW BY M/S SHREE VINOD INDUSTRIES AND CHEMICALS PRIVATE LIMITED,Uttar Pradesh,,,Date of Submission for EC: 27 Sep 2023 ,Date of Ec Granted : 21 Dec 2023,Industrial Projects - 2, SHREE VINOD INDUSTRIES AND CHEMICALS PRIVATE LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/IND2/445523/2023&pid=225681,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/IND2/445523/2023&type=EC&ID=225681
1547,SIA/UP/MIN/72559/2018,4045,"Sand/Morrum from river bed of Yamuna, at Zone No/Gata No/Khand No. 11/15 and 11/16, Area 24.28 ha. (60.00 Acres) at Village – Diya Uparhar, Tehsil- Manjhanpur, District- Kaushambi, Uttar Pradesh of M/s Rishab Herbal Private Limited",Uttar Pradesh,Kaushambi,Manjhanpur,Date of Submission for EC: 05 Feb 2018 ,Date of Ec Granted : 31 Mar 2018,Non-Coal Mining,M/S RISHAB HERBAL PRIVATE LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/72559/2018&pid=42194,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/72559/2018&type=EC&ID=42194
1548,SIA/UP/MIN/401211/2022,7251-6816,“Ordinary Sand Mining” Project,Uttar Pradesh,Rampur,,Date of Submission for EC: 23 Sep 2022 ,Date of Ec Granted : 22 Nov 2022,Non-Coal Mining,ABDUL VAHAB,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/401211/2022&pid=210937,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/401211/2022&type=EC&ID=210937
1549,SIA/UP/MIN/29516/2018,4533,M/s New PraveeraInfrahight Private Limited,Uttar Pradesh,Hamirpur,Hamirpur,Date of Submission for EC: 12 Oct 2018 ,Date of Ec Granted : 24 Nov 2018,Non-Coal Mining,MS NEW PRAVEERA INFAHIGHT PVT LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/29516/2018&pid=46280,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/29516/2018&type=EC&ID=46280
1550,SIA/UP/MIN/416109/2023,7592,"“Ordinary Soil Excavation Project” at Gata No.- 918Kha, 921Ka, Village- Himmatgarh, Tehsil- Hasanganj, District- Unnao, U.P. (Area – 1.075 ha)",Uttar Pradesh,,,Date of Submission for EC: 27 Jan 2023 ,Date of Ec Granted : 17 Mar 2023,Non-Coal Mining,JITENDRA KUMAR,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/416109/2023&pid=215817,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/416109/2023&type=EC&ID=215817
1551,SIA/UP/MIS/64163/2017,,"Proposed Construction of General Pool Office Accommodation at Fazalganj, Kanpur ",Uttar Pradesh,Kanpur Nagar,Kanpur,Date of Submission for TOR: ,Date of Submission for EC: 24 Apr 2017 ,INFRA-2,CENTRAL PUBLIC WORKS DEPARTMENT KANPUR,Under examination of SEIAA - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIS/64163/2017&pid=35052,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIS/64163/2017&type=EC&ID=35052
1552,SIA/UP/MIN/74051/2018,4200,"Total Area 22.0 Acres (8.906Ha) effective workable area (17.30 ACRE 7.012 Ha) River Sand/Morrum Mining Project at Gata No1782, 1783  Khand No- 02 Village- Mohana, Tehsil- Orai District- Jalaun U.P",Uttar Pradesh,Jalaun,Orai,Date of Submission for EC: 07 Apr 2018 ,Date of Ec Granted : 23 May 2018,Non-Coal Mining,M/S NEW POOJA CONSTRUCTION,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/74051/2018&pid=43262,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/74051/2018&type=EC&ID=43262
1553,SIA/UP/NCP/72745/2018,4068,"Group Housing Project ""Phoenix Manssions""",Uttar Pradesh,Ghaziabad,Ghaziabad,Date of Submission for TOR: ,Date of Submission for EC: 12 Feb 2018 ,INFRA-1,M/S AAA INFRAHEIGHT PRIVATE LIMITED,WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/NCP/72745/2018&pid=42329,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/NCP/72745/2018&type=EC&ID=42329
1554,SIA/UP/MIN/71499/2017,3900,"M/s Mahakali Construction – Sand
Mining located at Gata No. 1, 2, Village- Swami
Ahatmali, Tehsil - Sadar, District- Agra, U.P.
Area: 15 acre (6.07 ha)",Uttar Pradesh,Agra,Agra,Date of Submission for EC: 08 Dec 2017 ,Date of Ec Granted : 23 Jan 2018,Non-Coal Mining,MS MAHAKALI CONSTRUCTION,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/71499/2017&pid=40631,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/71499/2017&type=EC&ID=40631
1555,SIA/UP/MIN/73039/2018,4110,"“Ordinary Sand Mining” Project at Gata No.- 483/2 & 483/3, Village- Asgarpur Jagir, Tehsil- Dadri, District- Gautam Buddha Nagar, U.P. 
(Applied Area: 19.02 ha.)
",Uttar Pradesh,Gautam Buddha Nagar,Dadri,Date of Submission for EC: 06 Mar 2018 ,Date of Ec Granted : 31 Mar 2018,Non-Coal Mining,GRIT AND MOXI INFRA PVT LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/73039/2018&pid=42558,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/73039/2018&type=EC&ID=42558
1556,SIA/UP/MIN/198495/2021,6200,"Building Stone (Sand Stone) (Gitty, Khanda, Boulder)",Uttar Pradesh,Hamirpur,Rath,Date of Submission for TOR: ,Date of Submission for EC: 16 Feb 2021 ,Non-Coal Mining,SHRI SHRINIWAS BUDHAULIYA,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttar%20Pradesh&pno=SIA/UP/MIN/198495/2021&pid=164383,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/198495/2021&type=EC&ID=164383
