,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
2755,SIA/UP/MIN/40277/2019,4995,Uttar Pradesh,Jhansi,Jhansi,Date of Submission for TOR: ,Date of Submission for EC: 12 Aug 2019 ,Non-Coal Mining,SHRI ANIL KUMAR,Delisted
2756,SIA/UP/MIN/76501/2018,,Uttar Pradesh,Lucknow,Malihabad,Date of Submission for TOR: ,Date of Submission for EC: 06 Sep 2018 ,Non-Coal Mining,ABC CONSULTANTS,WithdrawEC
2757,SIA/UP/MIS/52710/2019,5641/5249,Uttar Pradesh,Jhansi,Jhansi,Date of Submission for EC: 30 Mar 2020 ,Date of Ec Granted : 28 Jul 2020,INFRA-2,EMAMI REALTY LIMITED,EC Granted
2758,SIA/UP/MIN/23344/2018,4182,Uttar Pradesh,Jalaun,Kalpi,Date of Submission for EC: 04 Oct 2018 ,Date of Ec Granted : 24 Nov 2018,Non-Coal Mining,MS BINDU AND RAM CONSTRUCTION,EC Granted
2759,SIA/UP/MIN/45265/2019,5145,Uttar Pradesh,Farrukhabad,Farrukhabad,Date of Submission for TOR: ,Date of Submission for EC: 22 Oct 2019 ,Non-Coal Mining,PROJECT PROPONENT,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail."
2760,SIA/UP/NCP/75238/2018,4326,Uttar Pradesh,Gorakhpur,Gorakhpur,Date of Submission for EC: 31 May 2018 ,Date of Ec Granted : 26 Oct 2018,INFRA-1,M/S LALJI SUPERSPECIALITY HOSPITAL & RESEARCH CENTER GORAKHPUR PVT LTD,EC Granted
2761,SIA/UP/MIN/94842/2019,,Uttar Pradesh,Siddharthnagar,Naugarh,Date of Submission for TOR: ,Date of Submission for EC: 07 Feb 2019 ,Non-Coal Mining,M/S. NEW TRADERS,Delisted
2762,SIA/UP/MIN/195270/2021,6142,Uttar Pradesh,Moradabad,Moradabad,Date of Submission for EC: 28 Jan 2021 ,Date of Ec Granted : 10 Jun 2021,Non-Coal Mining,NAZIM ALI,EC Granted
2763,SIA/UP/MIN/412741/2023,7509,Uttar Pradesh,,,Date of Submission for EC: 06 Jan 2023 ,Date of Ec Granted : 07 Apr 2023,Non-Coal Mining,DHARAM SINGH,EC Granted
2764,SIA/UP/MIN/414833/2023,7591-7031,Uttar Pradesh,,,Date of Submission for EC: 27 Jan 2023 ,Date of Ec Granted : 28 Apr 2023,Non-Coal Mining,BHUPENDRA SINGH,EC Granted
