,index,project_number,file_number,project_name,company,proposal_status,project_type
535,,SIA/WB/MIS/134245/2019,EN/T-II-1/046/2021,EXPANSION OF RESIDENTIAL PROJECT,AKSHAY VINIMAY LLP,EC Granted,EC
536,,SIA/WB/MIS/134409/2019,,RESIDENTIAL PROJECT,BUILDWORTH DEVELOPERS,Delisted,EC
537,,SIA/WB/MIS/136445/2020,EN/T-II-1/065/2019,Expansion of “Residential Cum SME Complex” (Non-Polluting SME’s),MAHAKOSH PROPERTY DEVELOPERS,EC Granted,EC
538,,SIA/WB/MIS/139925/2020,,Atmosphere,FORUM PROJECTS PVT. LTD.,WithdrawEC,EC
539,,SIA/WB/MIS/143144/2020,,Commercial Complex by Super Diamond Enterprises,SUPER DIAMOND ENTERPRISES,WithdrawEC,EC
540,,SIA/WB/MIS/143235/2020,,Super Diamond Enterprises,SUPER DIAMOND ENTERPRISES,WithdrawEC,EC
541,,SIA/WB/MIS/143877/2020,EN/T-II-1/012/2020,EXPANSION OF RESIDENTIAL COMPLEX,PGE INFOSOLUTIONS PRIVATE LIMITED AND OTHERS,EC Granted,EC
542,,SIA/WB/MIS/145873/2020,,Expansion of “JAGANNATH GUPTA INSTITUTE OF MEDICAL SCIENCES & HOSPITAL” – (A unit of Urmila Devi Jagannath Gupta Charitable Trust) from 350 Beds to 750 Beds,JAGANNATH GUPTA INSTITUTE OF MEDICAL SCIENCES AND HOSPITAL A UNIT OF URMILA DEVI JAGANNATH GUPTA CHARITABLE TRUST,WithdrawEC,EC
543,,SIA/WB/MIS/145874/2020,,Expansion of “JAGANNATH GUPTA INSTITUTE OF MEDICAL SCIENCES & HOSPITAL” – (A unit of Urmila Devi Jagannath Gupta Charitable Trust) from 350 Beds to 750 Beds,JAGANNATH GUPTA INSTITUTE OF MEDICAL SCIENCES AND HOSPITAL A UNIT OF URMILA DEVI JAGANNATH GUPTA CHARITABLE TRUST,WithdrawEC,EC
544,,SIA/WB/MIS/150174/2020,,Development of Sri Chaitanya Chandrodaya Mandir,ISKCON INTERNATIONAL SOCIETY FOR KRISHNA CONSCIOUSNESS,WithdrawEC,EC
545,,SIA/WB/MIS/151481/2020,,"Township project “Ankur” At Mouza – Nutanbankati, J.L. No. 446, Gaighata – 445, Jamberia – 445, Kulpheni – 456, P.S. – Salbani, P.O. - Saidpur, District – PaschimMedinipur, West Bengal",JSW BENGAL STEEL LIMITED,WithdrawEC,EC
546,,SIA/WB/MIS/153699/2020,,Proposed Institutional Project Biswa Bangla BiswaBidyalaya,DEPARTMENT OF HIGHER EDUCATION SCIENCE TECHNOLOGY AND BIO-TECHNOLOGY,Delisted,EC
547,,SIA/WB/MIS/162734/2020,,Flipkart Big Box,INSTA KART SERVICES PVT LTD (A FLIPKART GROUP COMPANY),Delisted,EC
548,,SIA/WB/MIS/164673/2020,,hgff,SUPER DIAMOND ENTERPRISES,WithdrawEC,EC
549,,SIA/WB/MIS/165517/2020,,Modification and Expansion of Residential Complex,NAVIN SPACE HOUSING LLP,WithdrawEC,EC
550,,SIA/WB/MIS/165818/2020,,"ESR Uluberia Logistics Park (A Warehouse Complex) 1,42,287.47 m2 (35.16 Acres) located at Plot Nos. J.L. No. 09, Mouza, Chandipur and J.L. No. 55, Mouza Harinarayanchak and J.L. No. 8, Ambraberia, P.S. Uluberia, District Howrah, Kolkata",ESR WAREHOUSING PVT. LTD.,Delisted,EC
551,,SIA/WB/MIS/167061/2020,EN/T-II-I/056/2018,Super Diamond Enterprises,SUPER DIAMOND ENTERPRISES,EC Granted,EC
552,,SIA/WB/MIS/168212/2020,EN/T-II-1/053/2016,M/s SRINIVAAS INFRA DEVELOERS PVT. LTD.,SRINIVAAS INFRA DEVELOPERS.PVT. LTD.,EC Granted,EC
553,,SIA/WB/MIS/177432/2020,EN/T-II-1/074/2020,Residential Complex,HAPPY NIKETAN PRIVATE LIMITED,EC Granted,EC
554,,SIA/WB/MIS/180008/2020,EN/T-II-1/062/2020,"CGEWHO Housing Project, Kolkata","CENTRAL GOVERNMENT EMPLOYEES WELFARE HOUSING ORGANISATION, KOLKATA PHASE III",Delisted,EC
555,,SIA/WB/MIS/180865/2020,EN/T-II-1/063/2020,The 102,PS VINAYAK COMPLEX LLP,Delisted,EC
556,,SIA/WB/MIS/182182/2020,EN/T-II-1/004/2021,"Modification & Expansion of Residential Complex,",DISPLAY VINIMAY PRIVATE LIMITED,EC Granted,EC
557,,SIA/WB/MIS/182626/2020,EN/T-II-1/053/2020,MODIFICATION & EXPANSION OF RESIDENTIAL PROJECT,TAPAS MITRA & OTHERS,WithdrawEC,EC
558,,SIA/WB/MIS/183102/2020,EN/T-II-1/073/2020,Commercial Building for Trading (Business) and other Allied Purposes,SRPM HAAT LLP,EC Granted,EC
559,,SIA/WB/MIS/183373/2020,EN/T-II-1/089/2018,Genexx Exotica,PAHARPUR ASANSOL PROPERTIES PVT LTD,ADS by SEIAA,EC
