,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,501,SIA/KL/MIN/240137/2021,2002/EC6/2022/SEIAA,"ORDINARY EARTH MINING PROJECT OF Mr.BABU,PEECHI VILLAGE,THRISSUR TALUK,THRISSUR,SURVEY NO 1441/1P/1441/1-6","ORDINARY EARTH MINING PROJECT OF MR BABU,PEECHI VILLAGE,THRISSUR TALUK,THRISSUR DISTRICT IN SY NO 1441/1P/1441/1-6 OVER AN AREA OF 0.9378 HA",Delisted,EC,
2,502,SIA/KL/MIN/430726/2023,,Laterite Building Stone Quarry of Moidutty Haji,MOIDUTTY VARIKKOTTIL,Pending at PP due to eds,EC,
3,503,SIA/KL/NCP/67500/2017,1151/EC/SEIAA/KL/2017,Proposed expansion of multistoried residential apartment project by M/s. Sowparnika Projects and Infrastructure Pvt. Ltd.,SOWPARNIKA PROJECTS AND INFRASTRUCTURE PVT LTD,Accepted By SEAC - EC ISSUED IN 82 SEIAA,EC,
4,504,SIA/KL/MIN/416432/2023,2232/EC6/2023/SEIAA,ABDUL NOUFAL M.P,MOTHIRA ABDULNOUFAL,Rejection Letter Granted,EC,
5,505,SIA/KL/MIN/425701/2023,2313/EC2/2023/SEIAA,Proposed granite building stone quarry of HONEY VASANTH,VASANTH HONEY,Agenda Uploaded by SEAC,EC,
6,506,SIA/KL/MIN/434534/2023,2368/EC4/2023/SEIAA,Laterite Building Stone Quarry of P P Kunhikrishnan,PARAMMEL KUNHIKRISHNAN,Agenda Uploaded by SEAC,EC,
7,507,SIA/KL/MIN/442089/2023,2374/EC1/2023/SEIAA,Granite Building Stone Quarry of Mr. G. Raju,RAJU GANGADHARAN,For further consideration(SEAC),EC,
8,508,SIA/KL/MIN/410423/2022,2194/EC4/2023/SEIAA,Laterite Building Stone of Ramachandran M K,RAMACHANDRAN MADATHIL KOLIYAT,EC Granted,EC,
9,509,SIA/KL/MIN/94172/2019,1258/EC2/2019/SEIAA,Granite Building Stone Quarry of M/s. Amala Industries,GRANITE BUILDING STONE QUARRY OF MS AMALA INDUSTRIES,EC Granted - Processed offline,EC,
10,510,SIA/KL/MIN/93154/2019,1235/EC2/2019/SEIAA,Mammed Kunhi Haji,MAMMED KUNHI HAJI,EC Granted,EC,
1,511,SIA/KL/MIN/260169/2022,,Laterite Building Stone Quarry of Muraleedharan L,MURALEEDHARAN LEKSHMANAN,WithdrawEC,EC,
2,512,SIA/KL/MIN/260489/2022,2023/EC1/2022/SEIAA,GRANITE BUILDING STONE QUARRY OF Mr. RUTWIN REDDY,RUTWIN PAPAKANNU,Rejection Letter Granted,EC,
3,513,SIA/KL/MIN/262702/2022,1996/EC6/2022/SEIAA,LATERITE BUILDING STONE QUARRY OF Mr. MOIDEENKUTTY. P IN PULPATTA VILLAGE O ERNAD TALUK IN MALAPPURAM DISTRICT,MOIDEENKUTTY PARAKKADAN,EC Granted,EC,
4,514,SIA/KL/MIN/262736/2022,1997/EC6/2022/SEIAA,Laterite Building Stone Quarry of NAUSHAD C K,NOUSHAD,EC Granted,EC,
5,515,SIA/KL/MIN/126728/2019,1782/EC4/2020/SEIAA,GRANITE AND BUILDING STONE QUARRY OF Mr.RAVI PALERI,GRANITE BUILDING STONE QUARRY OF  RAVI PALERI THRIPRANGOTOOR,Rejection Letter Granted,EC,
6,516,SIA/KL/MIN/126527/2019,1819/EC6/2020/SEIAA,GRANITE BUILDING STONE QUARRY OF Mr.P ABBAS,GRANITE BUILDING STONE QUARRY OF MR.P.ABBAS PULIKKAL,EC Granted,EC,
