,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
1330,SIA/KL/MIN/438432/2023,2403/EC1/2023/SEIAA,Ordinary Brick Clay of Reji E K ,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 07 Oct 2023 ,Non-Coal Mining, REJI,Rejected by SEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/438432/2023&pid=223287,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/438432/2023&type=EC&ID=223287
1331,SIA/KL/MIN/455192/2023,2499/EC3/2024/SEIAA,Granite Building Stone Quarry of Mrs. Pradhiba,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 16 Dec 2023 ,Non-Coal Mining,NARAYANAN PRADHIBA,For further consideration(SEAC),https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/455192/2023&pid=229442,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/455192/2023&type=EC&ID=229442
1332,SIA/KL/MIN/420606/2023,2274/EC2/2023/SEIAA,Laterite building stone quarry of Narayanan. K,Kerala,,,Date of Submission for EC: 25 May 2023 ,Date of Ec Granted : 17 Feb 2024,Non-Coal Mining,KOLATHUR NARAYANAN,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/420606/2023&pid=217176,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/420606/2023&type=EC&ID=217176
1333,SIA/KL/MIN/456236/2023,2506/EC4/2024/SEIAA,Laterite Building Stone Quarry of Vinod V,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 21 Dec 2023 ,Non-Coal Mining,VINOD VASUDEVAN,For further consideration(SEAC),https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/456236/2023&pid=230604,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/456236/2023&type=EC&ID=230604
1334,SIA/KL/MIN/442433/2023,2457/EC4/2023/SEIAA,Granite Building Stone Quarry of Shri. Sudarsan. C.K,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 17 Nov 2023 ,Non-Coal Mining, SUDARSAN,Agenda Uploaded by SEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/442433/2023&pid=224685,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/442433/2023&type=EC&ID=224685
1335,SIA/KL/NCP/70355/2017,1157/EC/SEIAA/KL/2017,Environmental Clearance for expansion of the existing Hospital campus Project to be developed by M/s Kunhitharuvai Memorial Charitable Trust (KMCT),Kerala,Kozhikode,Kozhikode,Date of Submission for TOR: ,Date of Submission for EC: 16 Oct 2017 ,INFRA-1,KUNHITHARUVAI MEMORIAL CHARITABLE TRUST,Under examination of SEIAA - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/NCP/70355/2017&pid=38954,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/NCP/70355/2017&type=EC&ID=38954
1336,SIA/KL/INFRA2/416978/2023,2230/EC6/2023/SEIAA,"Environmental Clearance for the proposed construction of Super Specialty Hospital Block and Mother & Child Hospital Block within the existing campus of Govt. Medical College, Thrissur to be developed by Department of Health & Family Welfare, Govt. of Kerala.",Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 20 Feb 2023 ,INFRA-2,Principal Government Medical College Thrissur ,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/INFRA2/416978/2023&pid=216171,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/INFRA2/416978/2023&type=EC&ID=216171
1337,SIA/KL/MIN/422012/2023,2265/EC6/2023/SEIAA,Laterite Building Stone Quarry of Muhammed Ali,Kerala,,,Date of Submission for EC: 17 May 2023 ,Date of Ec Granted : 22 Dec 2023,Non-Coal Mining,MUHAMMED ALI PULIKKAL,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/422012/2023&pid=217582,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/422012/2023&type=EC&ID=217582
1338,SIA/KL/MIN/442637/2023,2383/EC4/2023/SEIAA,Laterite Building Stone Quarry of Sadiq Ali,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 01 Sep 2023 ,Non-Coal Mining, SADIQ ALI,Agenda Uploaded by SEAC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/442637/2023&pid=224667,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/442637/2023&type=EC&ID=224667
1339,SIA/KL/MIN/92181/2019,1212/EC2/2019/SEIAA,Faizal Quarry,Kerala,Malappuram,Eranad,Date of Submission for EC: 21 Jan 2019 ,Date of Ec Granted : 04 Aug 2020,Non-Coal Mining,FAIZAL,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/92181/2019&pid=51947,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/92181/2019&type=EC&ID=51947
1340,SIA/KL/NCP/63534/2017,1133/EC/SEIAA/KL/2017,Environmental Clearance for expansion of the existing Hospital campus Project to be developed by M/s Iqraa International Hospital & Research Centre,Kerala,Kozhikode,Kozhikode,Date of Submission for TOR: ,Date of Submission for EC: 29 Mar 2017 ,INFRA-1,IQRAA INTERNATIONAL HOSPITAL & RESEARCH CENTRE,Accepted By SEAC - EC ISSUED IN 78 SEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/NCP/63534/2017&pid=34727,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/NCP/63534/2017&type=EC&ID=34727
1341,SIA/KL/MIN/433449/2023,2391/EC1/2023/SEIAA,Laterite Building Stone Quarry of Jabir,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 08 Sep 2023 ,Non-Coal Mining, JABIR,Agenda Uploaded by SEAC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/433449/2023&pid=221416,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/433449/2023&type=EC&ID=221416
1342,SIA/KL/INFRA2/456841/2023,2485/EC3/2023/SEIAA,"Environmental Clearance for the Proposed Construction of Court Complex at Palakkad, KIIFB Assistance Project to be developed by The Registrar, District Judiciary, Hon’ble High Court of Kerala",Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 29 Dec 2023 ,INFRA-2,The Registrar District Judiciary Hon'ble High Court of Kerala ,Deferred by SEAC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/INFRA2/456841/2023&pid=230810,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/INFRA2/456841/2023&type=EC&ID=230810
1343,SIA/KL/MIN/454073/2023,2509/EC4/2024/SEIAA,Laterite Building Stone Quarry of Jabir C P,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 02 Dec 2023 ,Non-Coal Mining,CHODATHIL JABIR,For further consideration(SEAC),https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/454073/2023&pid=228893,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/454073/2023&type=EC&ID=228893
1344,SIA/KL/MIN/94152/2019,1256/EC2/2019/SEIAA,Building stone quarry of Mr.Usman.V.K.S/o Alavi,Kerala,Malappuram,Ernad,Date of Submission for EC: 04 Feb 2019 ,Date of Ec Granted : 25 Sep 2019,Non-Coal Mining,BUILDING STONE QUARRY OF MR USMAN V K S O ALAVI,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/94152/2019&pid=52536,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/94152/2019&type=EC&ID=52536
1345,SIA/KL/NCP/63454/2017,1142/EC/SEIAA/KL/2017,Environmental Clearance for the Proposed International Exhibition cum Convention Centre at kakkanad,Kerala,Ernakulam,Kanayannur,Date of Submission for TOR: ,Date of Submission for EC: 28 Jun 2017 ,INFRA-1,KERALA INDUSTRIAL INFRASTRUCTURE DEVELOPMENT CORPORATION,Accepted By SEAC - EC ISSUED IN 81 SEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/NCP/63454/2017&pid=34686,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/NCP/63454/2017&type=EC&ID=34686
1346,SIA/KL/MIN/407637/2022,1747/EC1/2022/SEIAA,Granite Building Stone Quarry of Abdul Nazar A,Kerala,Thiruvananthapuram,,Date of Submission for TOR: ,Date of Submission for EC: 23 Nov 2022 ,Non-Coal Mining,GRANITE BUILDING STONE QUARRY OF ABDUL NAZAR A,For further consideration(SEAC),https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/407637/2022&pid=213015,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/407637/2022&type=EC&ID=213015
1347,SIA/KL/MIN/89783/2018,1200/EC2/2018/SEIAA,Building Stone Quarry of M/s Adani Vizhinjam Port Pvt Ltd,Kerala,Thiruvananthapuram,Chirayinkeezhu,Date of Submission for EC: 27 Dec 2018 ,Date of Ec Granted : 01 Mar 2019,Non-Coal Mining,ADANI VIZHINJAM PORT PVT LTD,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/89783/2018&pid=51359,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/89783/2018&type=EC&ID=51359
1348,SIA/KL/MIN/451066/2023,,Laterite Building Stone Quarry of Mr Abdul Kareem M,Kerala,,,Date of Submission for TOR: ,Date of Submission for EC: 02 Nov 2023 ,Non-Coal Mining,MOIDU ABDUL KAREEM,Query raised by SEIAA and pending at PP,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/451066/2023&pid=227645,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/451066/2023&type=EC&ID=227645
1349,SIA/KL/MIN/142846/2020,1713/EC3/2020/SEIAA,M/s T J Granites Pvt Ltd,Kerala,Kottayam,Meenachil,Date of Submission for EC: 10 Jun 2020 ,Date of Ec Granted : 22 Jan 2024,Non-Coal Mining,M/S T J GRANITES PVT LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Kerala&pno=SIA/KL/MIN/142846/2020&pid=91232,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KL/MIN/142846/2020&type=EC&ID=91232
