,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
488,SIA/BR/MIN/69940/2017,,Proposed Sand Mining Project at Itma Sand Ghat on Mohana River,Bihar,Gaya,Mohanpur,Date of Submission for TOR: ,Date of Submission for EC: 28 Sep 2017 ,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/69940/2017&pid=38748,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/69940/2017&type=EC&ID=38748
489,SIA/BR/MIN/60427/2016,SIA/1(a)/365/16,Bathani river sand mine,Bihar,Bhagalpur,Jagdishpur,Date of Submission for EC: 14 Nov 2016 ,Date of Ec Granted : 16 Feb 2017,Non-Coal Mining,MS SAINIK FOOD PVT LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/60427/2016&pid=32707,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/60427/2016&type=EC&ID=32707
490,SIA/BR/MIN/455465/2023,SIA/1(a)/2298/2023,Proposed Sand Mining Project of Area 5.54 Ha at Sand Block-03 Ghat on Anjana  River of District-Jamui of State-Bihar,Bihar,,,Date of Submission for EC: 14 Dec 2023 ,Date of Ec Granted : 30 Jan 2024,Non-Coal Mining,RITESH RANJAN,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/455465/2023&pid=229206,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/455465/2023&type=EC&ID=229206
491,SIA/BR/MIN/66288/2017,SIA/1(a)/550/18,Sand Mining Project at Rampur sand Ghat (Block no-14) on River Kiul,Bihar,Lakhisarai,Lakhisarai,Date of Submission for TOR: ,Date of Submission for EC: 25 Sep 2018 ,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/66288/2017&pid=35919,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/66288/2017&type=EC&ID=35919
492,SIA/BR/MIN/146472/2020,,"Brick Earth Mining Project at Mauza- Manipur, P.O- Balua, P.S– Brahampur, District- Buxar (Bihar)",Bihar,Buxar,Chakki,Date of Submission for TOR: ,Date of Submission for EC: 29 Feb 2020 ,Non-Coal Mining,M/S BALAJI BRICKS,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/146472/2020&pid=95011,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/146472/2020&type=EC&ID=95011
493,SIA/BR/MIN/134334/2019,,"Brick Earth Mining Project at Village- Sowan, P.O- Sowan, P.S - Krishna Braham, District-Buxar(Bihar)",Bihar,Buxar,Dumraon,Date of Submission for TOR: ,Date of Submission for EC: 31 Dec 2019 ,Non-Coal Mining,M/S PRADHAN INT BHATTA UDYOG,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/134334/2019&pid=84064,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/134334/2019&type=EC&ID=84064
494,SIA/BR/MIS/134870/2020,SIA/8(a)/984/2020,Venus Empire,Bihar,Patna,Dinapur-Cum-Khagaul,Date of Submission for EC: 09 Jan 2020 ,Date of Ec Granted : 22 Apr 2020,INFRA-2,VENUS STAR CONSTRUCTION PVT LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIS/134870/2020&pid=84208,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIS/134870/2020&type=EC&ID=84208
495,SIA/BR/MIN/134978/2020,,"BRICK EARTH MINING PROJECT FOR M/S. A.B.M. INT UDYOG, MAUZA- CHANAKI, CIRCLE- DHANARUA, DISTRICT- PATNA, AREA- 2.85 Ac, 1.15 Ha",Bihar,Patna,Dhanarua,Date of Submission for TOR: ,Date of Submission for EC: 03 Jan 2020 ,Non-Coal Mining,"M/S A.B.M. INT UDYOG, PROP- MADAN KISHOR PRASAD",Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/134978/2020&pid=84242,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/134978/2020&type=EC&ID=84242
496,SIA/BR/MIN/135084/2020,,"BARNAWA BALU GHAT OF BURHI GANDAK RIVER, VILL.- GULRIYA, POST- KATHA, DIST.- EAST CHAMPARAN, BIHAR, AREA- 1 HA., APPLICANT- MR. VINAY KUMAR",Bihar,East Champaran,No Data,Date of Submission for TOR: ,Date of Submission for EC: 04 Jan 2020 ,Non-Coal Mining,"MOTIHARI SAND DEPOSIT OF EAST CHAMPARAN, BIHAR,  APPLICANT- SHRI VINAY KUMAR",Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/135084/2020&pid=84263,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/135084/2020&type=EC&ID=84263
497,SIA/BR/MIN/135132/2020,,"BRICK EARTH MINING PROJECT FOR M/S. P.K.S. BRICKS MAUZA- PACHAUT, P.S- BELDAUR, DISTRICT- KHAGARIA, AREA- 3.73 Ac,1.51Ha",Bihar,Khagaria,Beldaur,Date of Submission for TOR: ,Date of Submission for EC: 04 Jan 2020 ,Non-Coal Mining,"M/S. P.K.S. BRICKS, PROP- PUSHPENDRA KUMAR SINGH, MAUZA- PACHAUT",Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Bihar&pno=SIA/BR/MIN/135132/2020&pid=84275,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/135132/2020&type=EC&ID=84275
