Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/JH/MIN/38074/2016,,Jharkhand,Palamu,Balumath,Date of Submission for TOR: ,Date of Submission for EC: 05 Jan 2016 ,Non-Coal Mining,TRACK AND TOWER INFRATECH PRIVET LIMITED,TransferToDEIAA
SIA/JH/MIN/214982/2021,EC/SEIAA/2021-22/2349/2021,Jharkhand,Dhanbad,Baliapur,Date of Submission for EC: 17 Jun 2021 ,Date of Ec Granted : 15 Jul 2021,Non-Coal Mining,RAMESHWAR MAHTO STONE MINE,EC Granted
SIA/JH/MIN/188501/2020,EC/SEIAA/2021-22/2344/2021,Jharkhand,Pakaur,Maheshpur,Date of Submission for EC: 15 Jun 2021 ,Date of Ec Granted : 15 Jul 2021,Non-Coal Mining,M/S GURU SISAYA STONE WORKS,EC Granted
SIA/JH/MIN/161902/2020,,Jharkhand,Dhanbad,Baliapur,Date of Submission for TOR: ,Date of Submission for EC: 04 Jul 2020 ,Non-Coal Mining,MANOJ KUMAR MAHATO,WithdrawEC
SIA/JH/MIN/44548/2019,EC/SEIAA/2018-19/2221/2019,Jharkhand,Pakaur,Pakuria,Date of Submission for EC: 10 Oct 2019 ,Date of Ec Granted : 08 Nov 2019,Non-Coal Mining,MS MAGISTIC STONE WORKS,EC Granted
SIA/JH/MIN/228036/2021,EC/SEIAA/2021-22/2425/2021,Jharkhand,Palamu,Chhatarpur,Date of Submission for EC: 10 Sep 2021 ,Date of Ec Granted : 23 Sep 2021,Non-Coal Mining,CRYSTAL CONSULTANTS,EC Granted
SIA/JH/MIN/411902/2022,EC/SEIAA/2022-23/2707/2023,Jharkhand,,,Date of Submission for EC: 17 Jan 2023 ,Date of Ec Granted : 08 Feb 2023,Non-Coal Mining,CHITTA DAS,EC Granted
SIA/JH/IND1/433038/2023,EC/SEIAA2023-24/2706/2023,Jharkhand,,,Date of Submission for TOR: ,Date of Submission for EC: 14 Jun 2023 ,Industrial Projects - 1, ANJANISUTA STEELS PRIVATE LIMITED,Under examination of SEIAA after SEAC
SIA/JH/MIN/62008/2017,EC/SEIAA/2017-18/1990/2017,Jharkhand,Sahibganj,Mandro,Date of Submission for EC: 14 Nov 2017 ,Date of Ec Granted : 07 Feb 2019,Non-Coal Mining,MS CRYSTAL CONSULTANTS,EC Granted
SIA/JH/MIN/41448/2019,EC/SEIAA/2018-19/2173/2019,Jharkhand,Dumka,Shikaripara,Date of Submission for EC: 17 Sep 2019 ,Date of Ec Granted : 04 Nov 2019,Non-Coal Mining,"SUPREME STONE MINING BY SH SUKHDEB PANDIT,SH JAGBANDHU PANDIT & SMT PUNAM RASHMI",EC Granted
SIA/JH/MIN/67459/2017,EC/SEIAA/2017-18/2035/2017,Jharkhand,Ranchi,Kanke,Date of Submission for TOR: ,Date of Submission for EC: 14 Nov 2017 ,Non-Coal Mining,JAI GANESH,Delisted
SIA/JH/MIN/38074/2016,,Jharkhand,Palamu,Balumath,Date of Submission for TOR: ,Date of Submission for EC: 05 Jan 2016 ,Non-Coal Mining,TRACK AND TOWER INFRATECH PRIVET LIMITED,TransferToDEIAA
SIA/JH/MIS/5288/2014,,Jharkhand,East Singhbhum,No Data,Date of Submission for TOR: ,Date of Submission for EC: 20 Dec 2015 ,INFRA-2,"Tata Steel Limited, Jamshedpur",Delisted
SIA/JH/MIN/267909/2022,,Jharkhand,Godda,Poreyahat,Date of Submission for TOR: ,Date of Submission for EC: 14 Apr 2022 ,Non-Coal Mining, RAJBIR CONSTRUCTION PRIVATE LIMITED,Delisted
SIA/JH/MIN/288856/2022,EC/SEIAA/2022-23/2644/2022,Jharkhand,East Singhbhum,No Data,Date of Submission for EC: 13 Sep 2022 ,Date of Ec Granted : 04 Nov 2022,Non-Coal Mining,GURUDEV MAHATO,EC Granted
SIA/JH/INFRA2/425232/2023,EC/SEIAA/2023-24/2763/2023,Jharkhand,,,Date of Submission for EC: 12 Apr 2023 ,Date of Ec Granted : 04 May 2023,INFRA-2,MADAN SINGH,EC Granted
SIA/JH/MIN/409041/2022,EC/SEIAA/2022-23/2682/2022,Jharkhand,,,Date of Submission for TOR: ,Date of Submission for EC: 06 Jan 2023 ,Non-Coal Mining,UMESH SAHA,Rejection Letter Granted
SIA/JH/MIN/69966/2017,,Jharkhand,Pakaur,Pakuria,Date of Submission for TOR: ,Date of Submission for EC: 24 May 2018 ,Non-Coal Mining,M/S GRANDS MINING,Delisted
SIA/JH/MIN/34213/2017,,Jharkhand,Latehar,Chandwa,Date of Submission for TOR: ,Date of Submission for EC: 04 Apr 2019 ,Non-Coal Mining,MS SANTOSH CONSTRUCTION,WithdrawEC
SIA/JH/MIN/35436/2019,EC/SEIAA/2018-19/2125/2018,Jharkhand,Kodarma,Jainagar,Date of Submission for TOR: ,Date of Submission for EC: 28 May 2019 ,Non-Coal Mining,Jharkhand State Mineral Development Corporation Limited,Rejection Letter Granted
SIA/JH/MIN/183563/2020,,Jharkhand,Bokaro,Peterwar,Date of Submission for TOR: ,Date of Submission for EC: 01 Mar 2021 ,Non-Coal Mining,OVERSEAS MIN-TECH CONSULTANTS,Delisted
SIA/JH/MIN/183700/2020,,Jharkhand,Bokaro,Peterwar,Date of Submission for TOR: ,Date of Submission for EC: 02 Mar 2021 ,Non-Coal Mining,OVERSEAS MIN-TECH CONSULTANTS,Delisted
SIA/JH/MIN/195880/2021,,Jharkhand,Bokaro,Chandankiyari,Date of Submission for TOR: ,Date of Submission for EC: 02 Feb 2021 ,Non-Coal Mining,ADITYA ROY STONE MINE,Delisted
SIA/JH/MIN/428680/2023,EC/SEIAA/2023-24/2847/2023,Jharkhand,,,Date of Submission for TOR: ,Date of Submission for EC: 20 May 2023 ,Non-Coal Mining, MARGOMUNDA STONE MINES,Under examination of SEIAA after SEAC
SIA/JH/MIN/42317/2019,EC/SEIAA/2018-19/2230/2019,Jharkhand,Sahibganj,Rajmahal,Date of Submission for EC: 25 Sep 2019 ,Date of Ec Granted : 08 Nov 2019,Non-Coal Mining,TETRIYA STONE DEPOSIT,EC Granted
SIA/JH/MIS/190477/2020,EC/SEIAA/2020-21/2291/2020.,Jharkhand,Ranchi,Kanke,Date of Submission for EC: 31 Dec 2020 ,Date of Ec Granted : 12 Apr 2021,INFRA-2,CRYSTAL CONSULTANTS,EC Granted
SIA/JH/MIN/249844/2022,EC/SEIAA/2021-22/2539/2022,Jharkhand,Dumka,Shikaripara,Date of Submission for EC: 20 Feb 2022 ,Date of Ec Granted : 21 Apr 2022,Non-Coal Mining, AMARDEEP,EC Granted
