Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/RJ/MIN/57597/2016,,Rajasthan,Jhunjhunu,Khetri,Date of Submission for TOR: ,Date of Submission for EC: 20 Jul 2016 ,Non-Coal Mining,SHRI ABHIJIT,WithdrawEC
SIA/RJ/MIN/57649/2016,,Rajasthan,Jhunjhunu,Khetri,Date of Submission for TOR: ,Date of Submission for EC: 21 Jul 2016 ,Non-Coal Mining,SHRI BANWARI LAL JANGIR,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/43180/2019,12649,Rajasthan,Bhilwara,Mandal,Date of Submission for EC: 20 Sep 2019 ,Date of Ec Granted : 10 Sep 2020,Non-Coal Mining,MS CHINTAMANI GRANITE,EC Granted - Processed offline
SIA/RJ/MIN/43253/2019,12676,Rajasthan,Bhilwara,Jahazpur,Date of Submission for EC: 20 Sep 2019 ,Date of Ec Granted : 10 Sep 2020,Non-Coal Mining,SHIV SINGH PANWAR,EC Granted - Processed offline
SIA/RJ/MIN/43272/2019,12670,Rajasthan,Tonk,Malpura,Date of Submission for EC: 20 Sep 2019 ,Date of Ec Granted : 05 Mar 2020,Non-Coal Mining,MS  MALHAN ENTERPRISES,EC Granted - Processed offline
SIA/RJ/MIN/39768/2016,,Rajasthan,Bhilwara,Asind,Date of Submission for TOR: ,Date of Submission for EC: 11 Jan 2016 ,Non-Coal Mining,SMT DALI DEVI,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/39792/2016,,Rajasthan,Sirohi,Sirohi,Date of Submission for TOR: ,Date of Submission for EC: 11 Jan 2016 ,Non-Coal Mining,SHRI CHHAGAN LAL MALI,TransferToDEIAA
SIA/RJ/MIN/39805/2016,,Rajasthan,Bharatpur,Weir,Date of Submission for TOR: ,Date of Submission for EC: 11 Jan 2016 ,Non-Coal Mining,BHAGWAN SINGH GURJAR,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/39812/2016,,Rajasthan,Bhilwara,Asind,Date of Submission for TOR: ,Date of Submission for EC: 11 Jan 2016 ,Non-Coal Mining,IQBAL MOHAMMAD,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/39839/2016,,Rajasthan,Barmer,Barmer,Date of Submission for TOR: ,Date of Submission for EC: 11 Jan 2016 ,Non-Coal Mining,BHAGWAN SINGH,Under examination of SEIAA - Processed offline
SIA/RJ/MIN/39850/2016,,Rajasthan,Barmer,Barmer,Date of Submission for TOR: ,Date of Submission for EC: 11 Jan 2016 ,Non-Coal Mining,ANE KANWAR,Under examination of SEIAA - Processed offline
