Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/KA/NCP/42423/2016,,Karnataka,Bangalore Urban,Bangalore South,Date of Submission for TOR: ,Date of Submission for EC: 27 Jan 2016 ,INFRA-1,MS INFORMATION TECHNOLOGY PARK LTD,Delisted
SIA/KA/NCP/42461/2016,SEIAA 10 CON 2016,Karnataka,Bangalore Urban,Bangalore South,Date of Submission for EC: 28 Jan 2016 ,Date of Ec Granted : 13 Apr 2016,INFRA-1,G CORP SPACES PVT LTD,EC Granted
SIA/KA/MIN/184320/2020,SEIAA 378 MN 2020,Karnataka,Mandya,Srirangapatna,Date of Submission for EC: 21 Nov 2020 ,Date of Ec Granted : 16 Sep 2021,Non-Coal Mining,SRI. K.M. VIDYASAGAR,EC Granted - Processed offline
SIA/KA/MIS/224664/2021,SEIAA 156 CON 2020,Karnataka,Bangalore Urban,Bangalore South,Date of Submission for EC: 13 Aug 2021 ,Date of Ec Granted : 14 Dec 2021,INFRA-2,"M/S. G. CORP SPACES PVT. LTD.,",EC Granted
SIA/KA/MIN/224651/2021,SEIAA 380 MIN 2021,Karnataka,Chikkaballapura,Chikkaballapura,Date of Submission for EC: 13 Aug 2021 ,Date of Ec Granted : 27 Apr 2022,Non-Coal Mining,SRI. SRIRAMULU N.V,EC Granted
SIA/KA/MIN/93783/2019,SEIAA 104 MIN 2019,Karnataka,Raichur,Raichur,Date of Submission for EC: 01 Feb 2019 ,Date of Ec Granted : 11 Jun 2019,Non-Coal Mining,GOVIND,EC Granted
SIA/KA/MIS/202890/2021,SEIAA 29 CON 2021,Karnataka,kalaburagi,Gulbarga,Date of Submission for EC: 10 Mar 2021 ,Date of Ec Granted : 03 Jul 2021,INFRA-2,SRI JAYADEVA INSTITUTE OF CARDIOVASCULAR SCIENCES AND RESEARCH,EC Granted - Processed offline
SIA/KA/MIN/239485/2021,SEIAA 632 MIN 2021,Karnataka,Shimoga,Sagar,Date of Submission for EC: 18 Nov 2021 ,Date of Ec Granted : 05 Jul 2022,Non-Coal Mining,SRI. NITHYANANDA,EC Granted
SIA/KA/MIN/204344/2021,,Karnataka,Mandya,Nagamangala,Date of Submission for TOR: ,Date of Submission for EC: 18 Mar 2021 ,Non-Coal Mining,SRI. K. H. VENKATESH,Delisted
SIA/KA/MIN/33800/2015,SEIAA 1529 MIN 2015,Karnataka,Bidar,Bidar,Date of Submission for EC: 04 Dec 2015 ,Date of Ec Granted : 22 Feb 2016,Non-Coal Mining,SENIOR GEOLOGIST AND MEMBER SECRETARY,EC Granted
SIA/KA/MIN/32963/2015,SEIAA 1466 MIN 2015,Karnataka,Chamarajanagar,Gundlupet,Date of Submission for EC: 19 Nov 2015 ,Date of Ec Granted : 27 Jan 2016,Non-Coal Mining,SHIVAPPA,EC Granted
SIA/KA/MIN/187851/2020,SEIAA 427 MIN 2020,Karnataka,Bagalkot,Badami,Date of Submission for EC: 14 Dec 2020 ,Date of Ec Granted : 01 Jun 2021,Non-Coal Mining,SRI. RANGAPPA D. SANDIGAWAD,EC Granted - Processed offline
SIA/KA/MIN/223430/2021,,Karnataka,Bellary,Siruguppa,Date of Submission for TOR: ,Date of Submission for EC: 06 Aug 2021 ,Non-Coal Mining,PINK GRANITE QUARRRY BY SRI.S.N.MALLIKARJUNA,Delisted
SIA/KA/MIS/112842/2019,SEIAA 107 CON 2019,Karnataka,Bangalore Urban,Bangalore North,Date of Submission for EC: 30 Jul 2019 ,Date of Ec Granted : 18 Nov 2019,INFRA-2,SUDHIR S GUPTA,EC Granted - Processed offline
SIA/KA/NCP/70439/2017,,Karnataka,Bangalore Urban,Bangalore North,Date of Submission for TOR: ,Date of Submission for EC: 23 Oct 2017 ,INFRA-1,SRI MUNIBYRAPPA AND SRI CHANDRA,Delisted
SIA/KA/MIN/743/2015,,Karnataka,Bangalore Rural,Doddaballapura,Date of Submission for TOR: ,Date of Submission for EC: 03 Aug 2015 ,Non-Coal Mining,VICTOR TECH SOLUTION,Query raised by SEIAA and pending at PP
SIA/KA/NCP/5031/2015,,Karnataka,Dharwad,Dharwad,Date of Submission for EC: 05 Dec 2016 ,Date of Ec Granted : 28 Nov 2017,INFRA-1,KARNATAKA HOUSING BOARD,EC Granted
SIA/KA/NCP/60674/2016,SEIAA 181 CON 2016,Karnataka,Bangalore Urban,Bangalore East,Date of Submission for TOR: ,Date of Submission for EC: 28 Nov 2016 ,INFRA-1,M S DHRUTHI INFRA PROJECTS LTD,Delisted
SIA/KA/MIN/17249/2016,SEIAA 166 MIN 2016,Karnataka,Davanagere,Harapanahalli,Date of Submission for TOR: ,Date of Submission for EC: 14 Sep 2016 ,Non-Coal Mining,MS YERRITHATHA MINING COMPANY,Rejection Letter Granted
SIA/KA/NCP/53649/2016,,Karnataka,Bangalore Urban,Bangalore East,Date of Submission for TOR: ,Date of Submission for EC: 11 May 2016 ,INFRA-1,MS KSM NIKETAN PRIVATE LIMITED,Delisted
SIA/KA/MIN/135905/2020,SEIAA 17 MIN 2020,Karnataka,Yadgir,Yadgir,Date of Submission for EC: 09 Jan 2020 ,Date of Ec Granted : 04 Sep 2020,Non-Coal Mining,NAGAPPA S/O BHIMAYYA WADDAR,EC Granted - Processed offline
SIA/KA/MIN/37752/2016,,Karnataka,Ramanagara,Kanakapura,Date of Submission for TOR: ,Date of Submission for EC: 01 Jan 2016 ,Non-Coal Mining,ANITA V N,Delisted
SIA/KA/MIN/3547/2015,SEIAA 1323 MIN 2015,Karnataka,Hassan,Holenarasipura,Date of Submission for EC: 28 Oct 2015 ,Date of Ec Granted : 30 Dec 2015,Non-Coal Mining,BUILDING STONE QUARRY OF AMASE,EC Granted
SIA/KA/MIN/3131/2015,SEIAA 1283 MIN 2015,Karnataka,Dakshina Kannada,Buntwal,Date of Submission for EC: 15 Oct 2015 ,Date of Ec Granted : 29 Dec 2015,Non-Coal Mining,VASUDEVA,EC Granted
SIA/KA/MIN/3094/2015,SEIAA 1255 MIN 2015,Karnataka,Bangalore Urban,Anekal,Date of Submission for EC: 14 Oct 2015 ,Date of Ec Granted : 10 Dec 2015,Non-Coal Mining,VYSHNAVI STONE CRUSHERS,EC Granted
SIA/KA/NCP/18958/2017,SEIAA 52 CON 2017,Karnataka,Bangalore Urban,Bangalore South,Date of Submission for EC: 07 Mar 2018 ,Date of Ec Granted : 30 Jun 2018,INFRA-1,PURAVANKARA PROJECTS LTD,EC Granted
SIA/KA/MIN/73441/2018,SEIAA 20 MIN 2018,Karnataka,Bagalkot,Bilgi,Date of Submission for EC: 12 Mar 2018 ,Date of Ec Granted : 10 May 2018,Non-Coal Mining,SRI KIRANKUMAR R RATHOD,EC Granted
SIA/KA/MIN/52415/2016,SEIAA 130 MIN 2016,Karnataka,Udupi,Kundapura,Date of Submission for EC: 05 Apr 2016 ,Date of Ec Granted : 11 Apr 2016,Non-Coal Mining,UDUPI DSMC,EC Granted
SIA/KA/MIN/52438/2016,SEIAA 136 MIN 2016,Karnataka,Udupi,Kundapura,Date of Submission for TOR: ,Date of Submission for EC: 05 Apr 2016 ,Non-Coal Mining,UDUPI DSMC,Rejection Letter Granted
SIA/KA/MIN/52439/2016,SEIAA 137 MIN 2016,Karnataka,Udupi,Kundapura,Date of Submission for EC: 05 Apr 2016 ,Date of Ec Granted : 11 Apr 2016,Non-Coal Mining,UDUPI DSMC,EC Granted
