,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
2166,SIA/TG/MIN/404027/2022,SIA/TG/MIN/404027/2022,"M/s. Gayathri  Granite Industries – 0.857 Ha, Survey No. 306/A/1, Ramavaram Village, Kodakandla Mandal, Jangaon District.",Telangana,Jangaon,,Date of Submission for EC: 16 Nov 2022 ,Date of Ec Granted : 06 Feb 2023,Non-Coal Mining,M/S.  GAYATHRI GRANITES,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIN/404027/2022&pid=212685,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/404027/2022&type=EC&ID=212685
2167,SIA/TG/IND2/18762/2017,,Nakoda Chemicals Limited,Telangana,Rangareddi,Quthbullapur,Date of Submission for TOR: ,Date of Submission for EC: 08 Mar 2017 ,Industrial Projects - 2,NAKODA CHEMICALS LIMITED,Query raised by SEIAA and pending at PP,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/IND2/18762/2017&pid=34491,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/IND2/18762/2017&type=EC&ID=34491
2168,SIA/TG/MIN/420232/2023,SIA/TG/MIN/420232/2023,Superfine Sand (Hyd) Ltd - 20.152 ha,Telangana,,,Date of Submission for TOR: ,Date of Submission for EC: 08 Mar 2023 ,Non-Coal Mining,SUPERFINE SAND (HYD) LTD,Deferred by SEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIN/420232/2023&pid=217335,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/420232/2023&type=EC&ID=217335
2169,SIA/TG/MIN/73624/2018,SIA/TG/MIN/73624/2018,M/s. Anjali Puthra Granite,Telangana,Karimnagar,Veenavanka,Date of Submission for EC: 22 Mar 2018 ,Date of Ec Granted : 26 Apr 2018,Non-Coal Mining,ANJALI PUTHRA GRANITE,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIN/73624/2018&pid=42993,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/73624/2018&type=EC&ID=42993
2170,SIA/TG/NCP/57429/2016,SIA/TG/NCP/57429/2016,M/s NCC & NCC Urban Infrastructure Ltd.,Telangana,Rangareddi,Quthbullapur,Date of Submission for TOR: ,Date of Submission for EC: 13 Jul 2016 ,INFRA-1,NCC AND NCC URBAN INFRASTRUCTURE LTD,WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/NCP/57429/2016&pid=23491,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/NCP/57429/2016&type=EC&ID=23491
2171,SIA/TG/INFRA2/403797/2022,SIA/TG/INFRA2/403797/2022,Residential Apartment Project-Green Empire Heights by M/s Bharati Builders India Pvt. Ltd.,Telangana,Sangareddy,,Date of Submission for EC: 20 Oct 2022 ,Date of Ec Granted : 15 Dec 2022,INFRA-2, BHARATI BUILDERS INDIA PRIVATE LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/INFRA2/403797/2022&pid=211725,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/INFRA2/403797/2022&type=EC&ID=211725
2172,SIA/TG/MIN/191035/2021,SIA/TG/MIN/191035/2021,Haas Impex Pvt Ltd,Telangana,Mahbubnagar,Achampet,Date of Submission for EC: 02 Jan 2021 ,Date of Ec Granted : 09 Apr 2021,Non-Coal Mining,HAAS IMPEX PVT LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIN/191035/2021&pid=156705,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/191035/2021&type=EC&ID=156705
2173,SIA/TG/INFRA2/417330/2023,SIA/TG/INFRA2/417330/2023,M/s FAIRMOUNT SKY (Proposed New Commercial Highrise building Project) ,Telangana,,,Date of Submission for EC: 07 Feb 2023 ,Date of Ec Granted : 20 Apr 2023,INFRA-2, SRI DURGA INFRA & DEVELOPERS,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/INFRA2/417330/2023&pid=216224,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/INFRA2/417330/2023&type=EC&ID=216224
2174,SIA/TG/MIN/71008/2017,SIA/TG/MIN/71008/2017,K. Chandra Sekhara Reddy,Telangana,Medak,Raikode,Date of Submission for EC: 17 Nov 2017 ,Date of Ec Granted : 26 Apr 2018,Non-Coal Mining,K CHANDRA SEKHARA REDDY,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIN/71008/2017&pid=40330,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/71008/2017&type=EC&ID=40330
2175,SIA/TG/NCP/70328/2017,SIA/TG/NCP/70328/2017,"EIPL VENTURES
(Expansion of Residential Gated Community)
",Telangana,Rangareddi,Rajendranagar,Date of Submission for EC: 14 Oct 2017 ,Date of Ec Granted : 14 Feb 2018,INFRA-1,EIPL VENTURES,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/NCP/70328/2017&pid=38923,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/NCP/70328/2017&type=EC&ID=38923
2176,SIA/TG/NCP/63382/2017,SIA/TG/NCP/63382/2017,M/s. Rudrapratap Indian Logistics (Hyderabad) Pvt. Ltd.,Telangana,Rangareddi,Medchal,Date of Submission for TOR: ,Date of Submission for EC: 22 Mar 2017 ,INFRA-1,M/S. RUDRAPRATAP INDIAN LOGISTICS (HYDERABAD) PVT. LTD.,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/NCP/63382/2017&pid=34642,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/NCP/63382/2017&type=EC&ID=34642
2177,SIA/TG/NCP/62290/2017,SIA/TG/NCP/62290/2017,"SATTVA KNOWLEDGE CAPITAL 
by M/s. MEGASOFT LIMITED
",Telangana,Rangareddi,Serilingampalle,Date of Submission for EC: 04 Feb 2017 ,Date of Ec Granted : 11 Apr 2017,INFRA-1,MEGASOFT LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/NCP/62290/2017&pid=34002,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/NCP/62290/2017&type=EC&ID=34002
2178,SIA/TG/INFRA2/411220/2022,SIA/TG/INFRA2/411220/2022,Sri. M. Srinivas and Others   ,Telangana,,,Date of Submission for EC: 18 Dec 2022 ,Date of Ec Granted : 09 Mar 2023,INFRA-2,SRINIVAS MUTHYAPAGA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/INFRA2/411220/2022&pid=214054,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/INFRA2/411220/2022&type=EC&ID=214054
2179,SIA/TG/INFRA2/434363/2023,SIA/TG/INFRA2/434363/2023,M/s. Vamsiram Builders and Developers Pvt. Ltd.,Telangana,,,Date of Submission for EC: 22 Jun 2023 ,Date of Ec Granted : 26 Jul 2023,INFRA-2,M/S. VAMSIRAM  BUILDERS,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/INFRA2/434363/2023&pid=221824,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/INFRA2/434363/2023&type=EC&ID=221824
2180,SIA/TG/MIN/401911/2022,SIA/TG/MIN/401911/2022,Arihanth Industries -2.023 ha Building Stone and Road Metal production @ 78030.4 m3/annum,Telangana,Komarambheem Asifabad,,Date of Submission for TOR: ,Date of Submission for EC: 14 Oct 2022 ,Non-Coal Mining,GOUTHAM JAIN,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIN/401911/2022&pid=211126,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/401911/2022&type=EC&ID=211126
2181,SIA/TG/MIN/60464/2016,SIA/TG/MIN/60464/2016,"M/s.Gyanchandani Purshotam Stone Crusher,6.56 Hect.Of Building Stone & Road Metal Quarry, Sy No:55 of Mallapur (V),Thimmapur (M),Karimnagar (D). ",Telangana,Karimnagar,Thimmapur (LMD),Date of Submission for EC: 16 Nov 2016 ,Date of Ec Granted : 03 Feb 2017,Non-Coal Mining,MS GYANCHANDANI PURSHOTAM STONE CRUSHER,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/MIN/60464/2016&pid=32736,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/MIN/60464/2016&type=EC&ID=32736
2182,SIA/TG/INFRA2/434019/2023,SIA/TG/INFRA2/434019/2023,Aaditri Nandipalli Villas by M/s. Aaditri Properties Private Limited,Telangana,,,Date of Submission for EC: 20 Jun 2023 ,Date of Ec Granted : 26 Jul 2023,INFRA-2, AADITRI PROPERTIES PRIVATE LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/INFRA2/434019/2023&pid=221663,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/INFRA2/434019/2023&type=EC&ID=221663
2183,SIA/TG/INFRA2/408069/2022,SIA/TG/INFRA2/408069/2022,Residential Apartment Project by M/s. Gahan Developers ,Telangana,,,Date of Submission for EC: 26 Nov 2022 ,Date of Ec Granted : 13 Jan 2023,INFRA-2, GAHAN DEVELOPERS,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Telangana&pno=SIA/TG/INFRA2/408069/2022&pid=213163,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/TG/INFRA2/408069/2022&type=EC&ID=213163
