,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
4594,SIA/AP/MIN/415798/2023,AP/VZN/MIN/VIO/10/2017/462,Garividi Manganese Ore Mine of M/s R.B.S.S.D & F. N. Das,Andhra Pradesh,,,Date of Submission for EC: 10 Feb 2023 ,Date of Ec Granted : 25 Jul 2023,Non-Coal Mining, R.B.S.D. & F.N. DAS (EXPORT FIRM),EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/415798/2023&pid=216369,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/415798/2023&type=EC&ID=216369
4595,SIA/AP/MIN/452683/2023,AP  BRAK MIN 11  2023 5447,ALAMURU/2022-10 OPEN SAND REACH,Andhra Pradesh,,,Date of Submission for EC: 20 Nov 2023 ,Date of Ec Granted : 15 Mar 2024,Non-Coal Mining,SAIRAM SRIRAM,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/452683/2023&pid=228355,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/452683/2023&type=EC&ID=228355
4596,SIA/AP/IND2/17769/2016,AP NLR IND 11 2016 244,CHANDU CATTLE FEEDS,Andhra Pradesh,Nellore,Venkatachalam,Date of Submission for EC: 18 Sep 2017 ,Date of Ec Granted : 12 Oct 2017,Industrial Projects - 2,CHANDU CATTLE FEEDS,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/IND2/17769/2016&pid=38593,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/IND2/17769/2016&type=EC&ID=38593
4597,SIA/AP/INFRA2/403269/2022,AP/CON/KDP/03/2022/4126,"Proposed Housing Layout at Pulivendula, under Navaratnalu “Pedalandariki Illu” Housing Scheme",Andhra Pradesh,,,Date of Submission for EC: 15 Oct 2022 ,Date of Ec Granted : 06 Dec 2022,INFRA-2,PULIVENDULA MUNICIPALITY,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/INFRA2/403269/2022&pid=211573,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/INFRA2/403269/2022&type=EC&ID=211573
4598,SIA/AP/MIN/31124/2015,AP KNL 209 MIN 09 2015,K Veerakumar,Andhra Pradesh,Kurnool,Dhone,Date of Submission for TOR: ,Date of Submission for EC: 19 Sep 2015 ,Non-Coal Mining,K VEERAKUMAR,TransferToDEIAA,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/31124/2015&pid=1030,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/31124/2015&type=EC&ID=1030
4599,SIA/AP/MIN/70149/2017,AP WG MIN 01 2018 465,Pandalaparru sand reach (24.00 Ha),Rajasthan,Bhilwara,Jahazpur,Date of Submission for EC: 05 Oct 2017 ,Date of Ec Granted : 01 Mar 2018,Non-Coal Mining,DEPARTMENT OF  MINES AND GEOLOGY GOVT OF ANDHRA PRADESH IBRAHIMPATNAM,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/70149/2017&pid=38828,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/70149/2017&type=EC&ID=38828
4600,SIA/AP/MIN/407081/2022,AP/NLR/MIN/05/2019/959,Silica Sand Mine of M/s A.P. Mineral Development Corporation Ltd. ,Andhra Pradesh,Nellore,,Date of Submission for TOR: ,Date of Submission for EC: 19 Nov 2022 ,Non-Coal Mining,APMDC LTD,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/407081/2022&pid=212848,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/407081/2022&type=EC&ID=212848
4601,SIA/AP/MIN/32666/2015,AP CTR 590 MIN 11 2015,Sri K. Devarajulu Reddy - 1.0Ha,Andhra Pradesh,Chittoor,Vedurukuppam,Date of Submission for EC: 09 Nov 2015 ,Date of Ec Granted : 08 Feb 2016,Non-Coal Mining,SRI K. DEVARAJULU REDDY,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/32666/2015&pid=2137,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/32666/2015&type=EC&ID=2137
4602,SIA/AP/MIN/149611/2020,AP KRI MIN  03 2020  1787,M/s Jagadamba Granite Metal Works(Road metal),Andhra Pradesh,Krishna,Ibrahimpatnam,Date of Submission for EC: 18 Mar 2020 ,Date of Ec Granted : 06 Oct 2020,Non-Coal Mining,M/S JAGADAMBA GRANITE METAL WORKS-2.023,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/149611/2020&pid=99775,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/149611/2020&type=EC&ID=99775
4603,SIA/AP/MIN/177548/2020,AP KRI MIN 10 2020 2221,North Valluru-6 Sand Reach in Krishna River,Andhra Pradesh,Krishna,Thotlavalluru,Date of Submission for EC: 05 Oct 2020 ,Date of Ec Granted : 08 Dec 2020,Non-Coal Mining,ASSISTANE DIRECTOR OF MINES & GEOLOGY-VIJAYAWADA,EC Granted - Processed offline,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/177548/2020&pid=136597,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/177548/2020&type=EC&ID=136597
4604,SIA/AP/MIN/178429/2020,AP VZM  MIN 10 2020 2237,M/s Aditya Aggregates-Road Metal & Building Stone Quarry,Andhra Pradesh,Vizianagaram,Srungavarapukota,Date of Submission for EC: 10 Oct 2020 ,Date of Ec Granted : 14 Jun 2021,Non-Coal Mining,M/S ADITYA AGGREGATES,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/178429/2020&pid=137748,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/178429/2020&type=EC&ID=137748
4605,SIA/AP/MIN/139326/2020,AP WG MIN  01 2020 1660,prakkilanka sand reach,Andhra Pradesh,West Godavari,Tallapudi,Date of Submission for TOR: ,Date of Submission for EC: 28 Jan 2020 ,Non-Coal Mining,MS CHAIRMAN DLSC,WithdrawEC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/139326/2020&pid=86360,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/139326/2020&type=EC&ID=86360
4606,SIA/AP/MIN/140128/2020,AP KRI MIN 02 2020 1680,M/s S.R.K Stone Crusher (Road metal & Gravel),Andhra Pradesh,Krishna,Kanchikacherla,Date of Submission for EC: 01 Feb 2020 ,Date of Ec Granted : 14 Jun 2021,Non-Coal Mining,M/S S.R.K STONE CRUSHER -  3.80 HECT,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Andhra%20Pradesh&pno=SIA/AP/MIN/140128/2020&pid=86550,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/AP/MIN/140128/2020&type=EC&ID=86550
