,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
667,SIA/JH/MIN/254118/2022,EC/SEIAA/2021-22/2540/2022,JAIDIHA STONE DEPOSIT,Jharkhand,Ranchi,Ormanjhi,Date of Submission for EC: 20 Feb 2022 ,Date of Ec Granted : 22 Apr 2022,Non-Coal Mining,ASHA TETE,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/254118/2022&pid=198581,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/254118/2022&type=EC&ID=198581
668,SIA/JH/MIN/220810/2021,EC/SEIAA/2021-22/2374/2021,MUSNA STONE MINE OF M/S RAKSHA KALI STONE,Jharkhand,Dumka,Gopikandar,Date of Submission for EC: 28 Jul 2021 ,Date of Ec Granted : 14 Aug 2021,Non-Coal Mining,MUSNA STONE MINE OF M/S RAKSHA KALI STONE,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/220810/2021&pid=189395,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/220810/2021&type=EC&ID=189395
669,SIA/JH/MIN/42307/2019,EC/SEIAA/2018-19/2174/2019,Hathidari Stone Deposit,Jharkhand,Sahibganj,Rajmahal,Date of Submission for EC: 05 Sep 2019 ,Date of Ec Granted : 26 Oct 2019,Non-Coal Mining,HATHIDARI STONE DEPOSIT,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/42307/2019&pid=63181,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/42307/2019&type=EC&ID=63181
670,SIA/JH/MIN/42378/2019,EC/SEIAA/2018-19/2169/2019,CHATANIA STONE MINE,Jharkhand,Chatra,Chatra,Date of Submission for EC: 06 Sep 2019 ,Date of Ec Granted : 09 Oct 2019,Non-Coal Mining,MS CHATANIA MINES,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/42378/2019&pid=63239,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/42378/2019&type=EC&ID=63239
671,SIA/JH/MIN/190315/2020,EC/SEIAA/2020-21/2294/2020,Lakhipahari Stone Mine,Jharkhand,Pakaur,Pakaur,Date of Submission for EC: 12 Jan 2021 ,Date of Ec Granted : 27 Jan 2021,Non-Coal Mining,LAKHIPAHARI STONE MINE OF M/S MAA ANANDMAYI STONE WORKD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/190315/2020&pid=153546,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/190315/2020&type=EC&ID=153546
672,SIA/JH/MIN/45364/2019,,M/s Amit Kumar Gupta & Vinod Yadav (Demba Stone Deposit),Jharkhand,Sahibganj,Mandro,Date of Submission for TOR: ,Date of Submission for EC: 24 Oct 2019 ,Non-Coal Mining,MS CRYSTAL CONSULTANTS,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/45364/2019&pid=70146,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/45364/2019&type=EC&ID=70146
673,SIA/JH/MIS/58087/2020,,Residential Cum Commercial project “FAII Residency”,,,,Date of Submission for TOR: ,Date of Submission for EC: 19 Oct 2020 ,INFRA-2,R. K BUILDER AND DEVELOPERS,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIS/58087/2020&pid=142543,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIS/58087/2020&type=EC&ID=142543
674,SIA/JH/MIS/58088/2020,,Housing Project “Pearl Orchid”,Orissa,Sundargarh,Hemgir,Date of Submission for TOR: ,Date of Submission for EC: 12 Oct 2020 ,INFRA-2,MOTI INFRASTRUCTURE,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIS/58088/2020&pid=142545,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIS/58088/2020&type=EC&ID=142545
675,SIA/JH/MIN/282486/2022,EC/SEIAA/2022-23/2607/2022,BRICK SOIL MINING FOR M/S B.K.S. BRICKS IN MOUZA MALSIRING,Jharkhand,Ranchi,Kanke,Date of Submission for EC: 12 Jul 2022 ,Date of Ec Granted : 12 Aug 2022,Non-Coal Mining,BHANU RAM,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/282486/2022&pid=208623,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/282486/2022&type=EC&ID=208623
676,SIA/JH/MIN/282672/2022,EC/SEIAA/2022-23/2609/2022,Lohatamba Stone Deposit - I,Jharkhand,Godda,Godda,Date of Submission for EC: 18 Jul 2022 ,Date of Ec Granted : 14 Jul 2023,Non-Coal Mining,HRIDAY SINGH,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Jharkhand&pno=SIA/JH/MIN/282672/2022&pid=208667,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/282672/2022&type=EC&ID=208667
