Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/UP/NCP/82188/2018,4544,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,Date of Submission for EC: 24 Oct 2018 ,Date of Ec Granted : 29 Nov 2018,INFRA-1,M/S AIMS MAX GARDENIA DEVELOPERS PVT. LTD.,EC Granted
SIA/UP/MIS/130204/2019,5397,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,Date of Submission for TOR: ,Date of Submission for EC: 15 Jan 2020 ,INFRA-2,SURBHI TELELINK PVT LTD.,Rejection Letter Granted
SIA/UP/MIN/139813/2020,,Uttar Pradesh,Mirzapur,Chunar,Date of Submission for TOR: ,Date of Submission for EC: 30 Jan 2020 ,Non-Coal Mining,M/S ARMAN INTA BHATTA,Delisted
SIA/UP/MIN/145812/2020,,Uttar Pradesh,Barabanki,Ramnagar,Date of Submission for TOR: ,Date of Submission for EC: 27 Feb 2020 ,Non-Coal Mining,M/S NOMANI EINT UDYOG,Delisted
SIA/UP/MIN/177311/2020,5925,Uttar Pradesh,Jhansi,Garautha,Date of Submission for EC: 03 Oct 2020 ,Date of Ec Granted : 30 Dec 2020,Non-Coal Mining,M/S DEE. ENTERPRISES,EC Granted
SIA/UP/MIN/222392/2021,6543,Uttar Pradesh,Jhansi,Jhansi,Date of Submission for EC: 04 Sep 2021 ,Date of Ec Granted : 10 Dec 2021,Non-Coal Mining,SATYAM GUPTA S/O SAURABH GUPTA,EC Granted
SIA/UP/IND/37699/2019,4866,,,,Date of Submission for EC: 01 Mar 2021 ,Date of Ec Granted : 12 Jun 2021,Industrial Projects - 1,M/S DIAMOND INDUSTRIES,EC Granted
SIA/UP/MIN/29521/2018,4529,Uttar Pradesh,Hamirpur,Hamirpur,Date of Submission for EC: 12 Oct 2018 ,Date of Ec Granted : 24 Nov 2018,Non-Coal Mining,MS YADAV AND SONS,EC Granted
SIA/UP/MIN/253829/2022,6900,Uttar Pradesh,Lucknow,Mohanlalganj,Date of Submission for EC: 29 Jan 2022 ,Date of Ec Granted : 26 May 2022,Non-Coal Mining,BUDHHA URF BUDHHALAL,EC Granted
SIA/UP/INFRA2/427875/2023,7835-7524,Uttar Pradesh,,,Date of Submission for TOR: ,Date of Submission for EC: 03 May 2023 ,INFRA-2,AMIT PAL,Under examination of SEIAA after SEAC
SIA/UP/MIN/412657/2022,7502,Uttar Pradesh,,,Date of Submission for EC: 30 Dec 2022 ,Date of Ec Granted : 07 Apr 2023,Non-Coal Mining,NEERAJ KUMAR,EC Granted
SIA/UP/MIN/225652/2021,6510,Uttar Pradesh,Shahjahanpur,Tilhar,Date of Submission for EC: 22 Aug 2021 ,Date of Ec Granted : 26 Nov 2021,Non-Coal Mining,M/S GURUNANAK CONTRACTOR,EC Granted
SIA/UP/MIN/149820/2020,5627,Uttar Pradesh,Gorakhpur,Gorakhpur,Date of Submission for TOR: ,Date of Submission for EC: 19 Mar 2020 ,Non-Coal Mining,SHRI AKHILESH  KUMAR,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail."
SIA/UP/MIN/71978/2017,3951,Uttar Pradesh,PRAYAGRAJ,Bara  ,Date of Submission for TOR: ,Date of Submission for EC: 30 Dec 2017 ,Non-Coal Mining,M/S SHRI MAA SARASWATI ASSOCIATES,Delisted
SIA/UP/MIN/50610/2019,5499/4921,Uttar Pradesh,Banda,Banda,Date of Submission for EC: 10 Feb 2020 ,Date of Ec Granted : 15 Oct 2020,Non-Coal Mining,V P CONSTRUCTION,EC Granted
