Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
SIA/HR/MIS/52095/2019,SEIAA/HR/19/140 hard copy to be submitted,Haryana,Sonipat,Sonipat,Date of Submission for EC: 24 Jul 2020 ,Date of Ec Granted : 01 Jul 2021,INFRA-2,HSIIDC,EC Granted
SIA/HR/MIS/259712/2022,SEIAA/HR/2022/126,Haryana,Sonipat,Sonipat,Date of Submission for EC: 08 Mar 2022 ,Date of Ec Granted : 25 Sep 2022,INFRA-2,"M/S TDI INFRASTRUCTURE LIMITED,",EC Granted
SIA/HR/MIS/280100/2022,SEIAA/HR/2022/219,Haryana,Gurgaon,Pataudi,Date of Submission for EC: 01 Jul 2022 ,Date of Ec Granted : 13 Oct 2022,INFRA-2, ASD HOTELS AND RESORTS LLP,EC Granted
SIA/HR/MIS/220395/2021,file No. SEIAA/HR/2021/446 has been assigned,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 16 Jul 2021 ,Date of Ec Granted : 12 Nov 2021,INFRA-2,M/S DLF HOME DEVELOPERS LTD. & OTHERS.,EC Granted
SIA/HR/IND2/63957/2019,FIle No. SEIAA/HR/19/180 has been assigned. Hard c,Haryana,Panipat,Israna,Date of Submission for TOR: ,Date of Submission for EC: 19 Jun 2021 ,Industrial Projects - 2,PANIPAT COOPERATIVE SUGAR MILLS LIMITED,Rejection Letter Granted
SIA/HR/MIS/31331/2019,,,,,Date of Submission for TOR: ,Date of Submission for EC: 28 Jan 2019 ,INFRA-2,M/S ALL CARGO INLAND PARK PVT. LTD.,Delisted
SIA/HR/MIS/212461/2021,File No. SEIAA/HR/VIO/21/32 has been assigned. App,Haryana,Gurgaon,Pataudi,Date of Submission for TOR: ,Date of Submission for EC: 16 Jun 2021 ,INFRA-2,M/S SKYMETTLE INFRASTRUCTURES PVT LTD,Rejection Letter Granted
SIA/HR/NCP/75414/2018,SEIAA/HR/18/ 431 dated 05.07.2018,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 27 Jun 2018 ,Date of Ec Granted : 20 Aug 2018,INFRA-1,SPICE JET,EC Granted - Processed offline
SIA/HR/MIS/180526/2020,SEIAA/HR/2020/353 hard copy to be submitted,Haryana,Gurgaon,Gurgaon,Date of Submission for EC: 23 Feb 2021 ,Date of Ec Granted : 13 Jul 2021,INFRA-2,M/S BASE EXPORT PVT LTD,EC Granted
SIA/HR/MIS/149204/2020,SEIAA/HR/2020/271 hard copy to be submitted,Haryana,Gurgaon,Farukhnagar,Date of Submission for EC: 18 Mar 2020 ,Date of Ec Granted : 02 Nov 2020,INFRA-2,M/S SUNSAT WAREHOUSING PVT. LTD. & SH. SATPAL SINGH,EC Granted - Processed offline
SIA/HR/MIS/68309/2021,SEIAA/HR/2021/435,Haryana,Gurgaon,Manesar,Date of Submission for EC: 06 Dec 2021 ,Date of Ec Granted : 09 Apr 2023,INFRA-2,HARYANA STATE INDUSTRIAL AND INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,EC Granted
