,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
236,SIA/CG/MIN/180594/2020,OL/EC/MIN/RAJNANDGAON/1449,Chhattisgarh,Rajnandgaon,Ambagarh,Date of Submission for EC: 29 Oct 2020 ,Date of Ec Granted : 28 Dec 2020,Non-Coal Mining,SHRI ALOK SHIVHARE,EC Granted
237,SIA/CG/MIN/59524/2016,OL/EC/SANDMINE/MAHASAMUND/508,Chhattisgarh,Mahasamund,Mahasamund,Date of Submission for TOR: ,Date of Submission for EC: 07 Oct 2016 ,Non-Coal Mining,SARPANCH UKHARA,Rejection Letter Granted
238,SIA/CG/MIN/160834/2020,OL/EC/MIN/J_Champa/1344,Chhattisgarh,Janjgir - Champa,Pamgarh,Date of Submission for EC: 14 Sep 2020 ,Date of Ec Granted : 04 Feb 2021,Non-Coal Mining,DOLOMINTE QUARRY VILLAGE BHAINSO,EC Granted
239,SIA/CG/NCP/33503/2015,OL/EC/CONSTRUCTION-PROJECT/RAIPUR/184,Chhattisgarh,Raipur,Arang,Date of Submission for EC: 30 Nov 2015 ,Date of Ec Granted : 03 Aug 2016,INFRA-1,Pritam Singh,EC Granted
240,SIA/CG/MIN/136579/2020,OL/EC/SAND_MINE/KANKER/1128,Chhattisgarh,Kanker,Antagarh,Date of Submission for EC: 12 Jan 2020 ,Date of Ec Granted : 30 May 2020,Non-Coal Mining,KANKER SAND QUARRY,EC Granted
241,SIA/CG/MIN/154335/2020,,Chhattisgarh,Janjgir - Champa,Champa,Date of Submission for TOR: ,Date of Submission for EC: 01 Mar 2022 ,Non-Coal Mining,VAIBHAV SALUJA,Delisted
242,SIA/CG/MIN/34104/2019,OL/EC/SANDMINE/GARIYABANDH/808,Chhattisgarh,Gariaband,Rajim,Date of Submission for TOR: ,Date of Submission for EC: 02 Apr 2019 ,Non-Coal Mining,PETAIBAND SAND MINE,Rejection Letter Granted
243,SIA/CG/MIN/63152/2017,,Chhattisgarh,Raipur,Abhanpur,Date of Submission for TOR: ,Date of Submission for EC: 14 Mar 2017 ,Non-Coal Mining,JANPAD PANCHAYAT ABHANPUR SAND MINE PARAGAON,Delisted
244,SIA/CG/MIN/63278/2017,OL/EC/DOLOMITE_QUARRY/BEMETARA/573,Chhattisgarh,Bemetara,Berla,Date of Submission for TOR: ,Date of Submission for EC: 28 Apr 2017 ,Non-Coal Mining,DILIP DESHLAHRA,Rejection Letter Granted
245,SIA/CG/IND2/17059/2016,OL/EC/IND/DURG/485A,Chhattisgarh,Durg,Durg,Date of Submission for EC: 28 Apr 2017 ,Date of Ec Granted : 03 Nov 2017,Industrial Projects - 2,VISHNU CHEMICALS LIMITED,EC Granted
246,SIA/CG/MIN/167979/2020,OL/EC/MIN/BILASPUR/1368,Chhattisgarh,Bilaspur,Pendraroad,Date of Submission for EC: 14 Aug 2020 ,Date of Ec Granted : 23 Feb 2021,Non-Coal Mining,"CHANADONGRI LIMESTONE QUARRY , AREA - 0.81 HA.",EC Granted
247,SIA/CG/MIN/152653/2020,OL/EC/MIN/RAJNANDGAON/1297,Chhattisgarh,Rajnandgaon,Rajnandgaon,Date of Submission for EC: 11 Nov 2020 ,Date of Ec Granted : 31 Mar 2021,Non-Coal Mining,SAMEER PODDAR LIME STONE,EC Granted
248,SIA/CG/MIN/413876/2023,OL/EC/MIN/MAHASAMUND/1614,Chhattisgarh,,,Date of Submission for EC: 22 Jan 2023 ,Date of Ec Granted : 19 Jun 2023,Non-Coal Mining,HIRENDRA SAHU,EC Granted
