,District,Tehsil,N,District_Tehsil,Matched_distance,district_tehsil_matched,pc11_district_id,pc11_sd_id,Matched,Incorrect,Comment ,
4047,Yadadri Bhuvanagiri,Bommalaramaram,28,yadadri bhuvanagiri bommalaramaram,21,nalgonda bommalaramaram,539,4613,,1,not in sheet ,
4048,Yadadri Bhuvanagiri,Choutuppal,38,yadadri bhuvanagiri choutuppal,21,ratnagiri chiplun,528,4269,,1,not in sheet ,
4051,Yadadri Bhuvanagiri,Ramannapeta,3,yadadri bhuvanagiri ramannapeta,21,nalgonda ramannapeta,539,4632,1,,,
2,24 Parganas,North 24 Parganas,1,24 parganas north 24 parganas,20,varanasi varanasi,197,996,,1,not in sheet ,
716,Chennai,Egmore Numgambakkam,20,chennai egmore numgambakkam,20,morena morena,419,3387,,1,not in sheet ,
2356,Medchal Malkajgiri,Qutballapur,24,medchal malkajgiri qutballapur ,20,rangareddy qutubullapur,537,4518,1,,,
2357,Medchal Malkajgiri,Tullamulla,1,medchal malkajgiri tullamulla,20,malkangiri kalimela,399,3227,,1,not in sheet,
2363,Medchal Malkajgiri,kukatpally,8,medchal malkajgiri kukatpally,20,malkangiri kalimela,399,3227,,1,not in sheet,
2840,Patna,Patna Rural (a) Patna Rural (b),56,patna patna rural (a) patna rural (b),20,patna patna rural,230,1400,,1,not in sheet ,
3309,Shahid Bhagat Singh Nagar(Nawansheher Tahsil),Balachaur,4,shahid bhagat singh nagar(nawansheher tahsil) balachaur,20,shahid bhagat singh nagar balachaur,39,219,,,same,
4053,Yadadri Bhuvanagiri,Yadagirigutta,6,yadadri bhuvanagiri yadagirigutta,20,yadgir yadgir,580,5589,,1,yadagirigutta is part of yadadri,
489,Bhadradri Kothagudem,Dummugudem,2,bhadradri kothagudem dummugudem,19,khammam dummugudem,541,4729,,,"same, the newly created district of Khammam",
490,Bhadradri Kothagudem,Kothagudem,1,bhadradri kothagudem kothagudem,19,khammam kothagudem,541,4738,,1,District tehsil name is correct in  Google but not in sheet,
491,Bhadradri Kothagudem,Manuguru,13,bhadradri kothagudem manuguru,19,bhadrak dhamanagar,378,2913,,1,District tehsil name is correct in  Google but not in sheet,
492,Bhadradri Kothagudem,Pinapaka,6,bhadradri kothagudem pinapaka,19,bhadrak agarpada,378,2910,,1,District tehsil name is correct in  Google but not in sheet,
493,Bhadradri Kothagudem,burgampahad,5,bhadradri kothagudem burgampahad,19,khammam burgampahad,541,4736,,1,District tehsil name is correct in  Google but not in sheet,
1949,Komarambheem Asifabad,REBBENA,1,komarambheem asifabad rebbena,19,adilabad rebbana,532,4327,,1,District tehsil name is correct in  Google but not in sheet,
2360,Medchal Malkajgiri,ghatkesar,20,medchal malkajgiri ghatkesar,19,rangareddy ghatkesar,537,4523,1,,,
2403,Mumbai (Suburban),Borivali,116,mumbai (suburban) borivali,19,mumbai suburban area not under any sub-district,518,99999,1,,"Suburban , three tehsil under , borivali ,Andheri, kurla",
3147,SAS Nagar,S.A.S.Nagar (Mohali),90,sas nagar s.a.s.nagar (mohali),19,sahibzada ajit singh nagar sas nagar (mohali),52,267,1,,,
3681,Tirunelveli,Cheranmahadevi Taluk,8,tirunelveli cheranmahadevi taluk,19,tirunelveli tenkasi,628,5873,,1,not in list,
1,24 Parganas,24 Parganas (N),3,24 parganas 24 parganas (n),18,varanasi varanasi,197,996,,1,not in list ,
717,Chennai,Fort Tondiarpet,10,chennai fort tondiarpet,18,dhar dhar,438,3534,,1,not in list ,
1948,Komarambheem Asifabad,Kaghaznagar,4,komarambheem asifabad kaghaznagar,18,adilabad kagaznagar,532,4318,,1,not in list ,
2362,Medchal Malkajgiri,keesara,9,medchal malkajgiri keesara,18,rangareddy keesara,537,4522,1,,,
2365,Medchal Malkajgiri,medipally,4,medchal malkajgiri medipally,18,malkangiri podia,399,3228,,1,not in list ,
2995,Rajanna Sircilla,Vemulawada,6,rajanna sircilla vemulawada,18,karimnagar vemulawada,534,4430,,1,not in list ,
4045,Yadadri Bhuvanagiri,Bhuvanagiri,7,yadadri bhuvanagiri bhuvanagiri,18,ratnagiri ratnagiri,528,4271,,1,not in list ,
4049,Yadadri Bhuvanagiri,Mothkur,1,yadadri bhuvanagiri mothkur,18,nalgonda mothkur,539,4625,1,,,
488,Bhadradri Kothagudem,Cherla,7,bhadradri kothagudem cherla,17,khammam cherla,541,4726,1,,,
715,Chengalpattu,Thiruporur,5,chengalpattu thiruporur,17,kheda virpur,483,3870,,1,not in list ,
1950,Komarambheem Asifabad,Sirpur,1,komarambheem asifabad sirpur,17,adilabad sirpur,532,4326,,1,not in list ,
2354,Medchal Malkajgiri,Alwal,3,medchal malkajgiri alwal,17,malkangiri kalimela,399,3227,,1,not in list ,
2359,Medchal Malkajgiri,balanagar,7,medchal malkajgiri balanagar,17,rangareddy balanagar,537,4517,1,,,
2364,Medchal Malkajgiri,medchal,44,medchal malkajgiri medchal,17,rangareddy medchal,537,4519,1,,,
2367,Medchal Malkajgiri,shamirpet,17,medchal malkajgiri shamirpet,17,rangareddy shamirpet,537,4520,1,,,
