"","District","Tehsil","N","District_Tehsil","Matched_distance","district_tehsil_matched","pc11_district_id","pc11_sd_id"
"2203","Mahesana","Vijapur",66,"mahesana vijapur",0,"mahesana vijapur",471,"03756"
"2204","Mahesana","Visnagar",12,"mahesana visnagar",0,"mahesana visnagar",471,"03754"
"2205","Mahisagar","Balasinor",2,"mahisagar balasinor",10,"kheda balasinor",483,"03871"
"2206","Mahisagar","Kadana",3,"mahisagar kadana",9,"mahesana kadi",471,"03759"
"2207","Mahisagar","Khanpur",6,"mahisagar khanpur",8,"mahbubnagar ghanpur",538,"04585"
"2208","Mahisagar","Lunawada",39,"mahisagar lunawada",11,"sagar banda",427,"03446"
"2209","Mahisagar","Santrampur",3,"mahisagar santrampur",9,"hisar adampur",80,"00393"
"2210","Mahisagar","Virpur",2,"mahisagar virpur",8,"mahesana vijapur",471,"03756"
"2211","Mahoba","Charkhari",7,"mahoba charkhari",0,"mahoba charkhari",169,"00869"
"2212","Mahoba","Kulpahar",26,"mahoba kulpahar",0,"mahoba kulpahar",169,"00868"
"2213","Mahoba","Mahoba",187,"mahoba mahoba",0,"mahoba mahoba",169,"00870"
"2214","Mainpuri","Bhogaon",1,"mainpuri bhogaon",0,"mainpuri bhogaon",148,"00777"
"2215","Mainpuri","Karhal",2,"mainpuri karhal",0,"mainpuri karhal",148,"00776"
"2216","Mainpuri","Mainpuri",2,"mainpuri mainpuri",0,"mainpuri mainpuri",148,"00775"
"2217","Malappuram","Eranad",31,"malappuram eranad",1,"malappuram ernad",592,"05641"
"2218","Malappuram","Ernad",79,"malappuram ernad",0,"malappuram ernad",592,"05641"
"2219","Malappuram","Nilambur",20,"malappuram nilambur",0,"malappuram nilambur",592,"05642"
"2220","Malappuram","Perinthalmanna",35,"malappuram perinthalmanna",0,"malappuram perinthalmanna",592,"05643"
"2221","Malappuram","Ponnani",15,"malappuram ponnani",0,"malappuram ponnani",592,"05646"
"2222","Malappuram","Tirur",34,"malappuram tirur",0,"malappuram tirur",592,"05644"
"2223","Malappuram","Tirurangadi",15,"malappuram tirurangadi",0,"malappuram tirurangadi",592,"05645"
"2224","Malda","Bamangola",1,"malda bamangola",1,"maldah bamangola",332,"02215"
"2225","Malda","Chanchal - I",24,"malda chanchal - i",3,"maldah chanchal-i",332,"02210"
"2226","Malda","Chanchal - II",12,"malda chanchal - ii",3,"maldah chanchal-ii",332,"02211"
"2227","Malda","English Bazar",6,"malda english bazar",1,"maldah english bazar",332,"02218"
"2228","Malda","Gazole",9,"malda gazole",1,"maldah gazole",332,"02214"
"2229","Malda","Habibpur",1,"malda habibpur",1,"maldah habibpur",332,"02216"
"2230","Malda","Harishchandrapur - I",11,"malda harishchandrapur - i",4,"maldah harischandrapur-i",332,"02208"
"2231","Malda","Maldah (old)",11,"malda maldah (old)",1,"maldah maldah (old)",332,"02217"
"2232","Malkangiri","Chitrakonda",2,"malkangiri chitrakonda",0,"malkangiri chitrakonda",399,"03223"
"2233","Malkangiri","Kalimela",14,"malkangiri kalimela",0,"malkangiri kalimela",399,"03227"
"2234","Malkangiri","Malkangiri",18,"malkangiri malkangiri",0,"malkangiri malkangiri",399,"03220"
"2235","Malkangiri","Mathili",2,"malkangiri mathili",0,"malkangiri mathili",399,"03221"
"2236","Malkangiri","Motu",5,"malkangiri motu",0,"malkangiri motu",399,"03230"
"2237","Malkangiri","Orkel",1,"malkangiri orkel",0,"malkangiri orkel",399,"03226"
"2238","Mancherial","Mancherial",3,"mancherial mancherial",12,"anjaw manchal",260,"01737"
"2239","Mancherial","TANDUR",1,"mancherial tandur",10,"umaria manpur",431,"03484"
"2240","Mandi","Aut(S.T)",1,"mandi aut(s.t)",5,"mandi aut",27,"00134"
"2241","Mandi","Bali Chowki(S.T)",2,"mandi bali chowki(s.t)",5,"mandi bali chowki",27,"00135"
"2242","Mandi","Chachyot(T)",4,"mandi chachyot(t)",3,"mandi chachyot",27,"00137"
"2243","Mandi","Dharmpur(S.T)",3,"mandi dharmpur(s.t)",5,"mandi dharmpur",27,"00127"
"2244","Mandi","Karsog(T)",5,"mandi karsog(t)",3,"mandi karsog",27,"00139"
"2245","Mandi","Mandi(T)",10,"mandi mandi(t)",3,"mandi mandi",27,"00133"
"2246","Mandi","Nihri(S.T)",2,"mandi nihri(s.t)",5,"mandi nihri",27,"00138"
"2247","Mandi","S/Nagar",1,"mandi s/nagar",6,"mandi sundarnagar",27,"00132"
"2248","Mandi","Sadar",4,"mandi sadar",3,"mandi padhar",27,"00123"
"2249","Mandi","Sub.Teh.Thunag",2,"mandi sub.teh.thunag",8,"mandi thunag",27,"00136"
"2250","Mandi","Sundarnagar(T)",7,"mandi sundarnagar(t)",3,"mandi sundarnagar",27,"00132"
"2251","Mandi","Thunag(T)",2,"mandi thunag(t)",3,"mandi thunag",27,"00136"
"2252","Mandla","Bichhiya",35,"mandla bichhiya",0,"mandla bichhiya",454,"03645"
"2253","Mandla","Ghughri",2,"mandla ghughri",1,"mandla ghughari",454,"03644"
"2254","Mandla","Mandla",33,"mandla mandla",0,"mandla mandla",454,"03643"
"2255","Mandla","Nainpur",26,"mandla nainpur",0,"mandla nainpur",454,"03646"
"2256","Mandla","Niwas",7,"mandla niwas",0,"mandla niwas",454,"03641"
"2257","Mandsaur","Bhanpura",8,"mandsaur bhanpura",0,"mandsaur bhanpura",433,"03492"
"2258","Mandsaur","Dalauda",5,"mandsaur dalauda",3,"mandsaur daloda",433,"03497"
"2259","Mandsaur","Garoth",14,"mandsaur garoth",0,"mandsaur garoth",433,"03494"
"2260","Mandsaur","Malhargarh",10,"mandsaur malhargarh",0,"mandsaur malhargarh",433,"03493"
"2261","Mandsaur","Mandsaur",26,"mandsaur mandsaur",0,"mandsaur mandsaur",433,"03496"
"2262","Mandsaur","Shamgarh",2,"mandsaur shamgarh",0,"mandsaur shamgarh",433,"03495"
"2263","Mandsaur","Sitamau",16,"mandsaur sitamau",0,"mandsaur sitamau",433,"03498"
"2264","Mandsaur","Suwasara",6,"mandsaur suwasara",0,"mandsaur suwasara",433,"03499"
"2265","Mandya","Krishnarajapet",2,"mandya krishnarajapet",1,"mandya krishnarajpet",573,"05546"
"2266","Mandya","Maddur",7,"mandya maddur",0,"mandya maddur",573,"05551"
"2267","Mandya","Mandya",4,"mandya mandya",0,"mandya mandya",573,"05550"
"2268","Mandya","Nagamangala",13,"mandya nagamangala",0,"mandya nagamangala",573,"05547"
"2269","Mandya","Pandavapura",8,"mandya pandavapura",0,"mandya pandavapura",573,"05548"
"2270","Mandya","Srirangapatna",25,"mandya srirangapatna",3,"mandya shrirangapattana",573,"05549"
"2271","Mangalore","No Data",3,"mangalore no data",11,"bangalore anekal",572,"05545"
"2272","Mangan","Tirumalayapalem",1,"mangan tirumalayapalem",10,"khammam thirumalayapalem",541,"04754"
"2273","Mansa","Budhlada",5,"mansa budhlada",0,"mansa budhlada",47,"00248"
"2274","Mansa","Mansa",5,"mansa mansa",0,"mansa mansa",47,"00249"
"2275","Mansa","Sardulgarh",1,"mansa sardulgarh",0,"mansa sardulgarh",47,"00247"
"2276","Mathura","Chhata",17,"mathura chhata",0,"mathura chhata",145,"00761"
"2277","Mathura","Mat",34,"mathura mat",0,"mathura mat",145,"00762"
"2278","Mathura","Mathura",3,"mathura mathura",0,"mathura mathura",145,"00764"
"2279","Mau","Ghosi",3,"mau ghosi",0,"mau ghosi",192,"00971"
"2280","Mayurbhanj","Badampahar",9,"mayurbhanj badampahar",0,"mayurbhanj badampahar",376,"02866"
"2281","Mayurbhanj","Bahalda",22,"mayurbhanj bahalda",0,"mayurbhanj bahalda",376,"02859"
"2282","Mayurbhanj","Bangiriposi",4,"mayurbhanj bangiriposi",0,"mayurbhanj bangiriposi",376,"02875"
"2283","Mayurbhanj","Baripada Sadar",8,"mayurbhanj baripada sadar",0,"mayurbhanj baripada sadar",376,"02872"
"2284","Mayurbhanj","Baripada Town",4,"mayurbhanj baripada town",0,"mayurbhanj baripada town",376,"02873"
"2285","Mayurbhanj","Barsahi",10,"mayurbhanj barsahi",0,"mayurbhanj barsahi",376,"02882"
"2286","Mayurbhanj","Betanati",7,"mayurbhanj betanati",0,"mayurbhanj betanati",376,"02881"
"2287","Mayurbhanj","Jashipur",1,"mayurbhanj jashipur",0,"mayurbhanj jashipur",376,"02867"
"2288","Mayurbhanj","Jharpokharia",4,"mayurbhanj jharpokharia",0,"mayurbhanj jharpokharia",376,"02863"
"2289","Mayurbhanj","Kaptipada",22,"mayurbhanj kaptipada",0,"mayurbhanj kaptipada",376,"02885"
"2290","Mayurbhanj","Karanjia",12,"mayurbhanj karanjia",0,"mayurbhanj karanjia",376,"02870"
"2291","Mayurbhanj","Khunta",5,"mayurbhanj khunta",0,"mayurbhanj khunta",376,"02883"
"2292","Mayurbhanj","Koliana",4,"mayurbhanj koliana",0,"mayurbhanj koliana",376,"02874"
"2293","Mayurbhanj","Kusumi",9,"mayurbhanj kusumi",7,"mayurbhanj bisoi",376,"02864"
"2294","Mayurbhanj","Muruda",4,"mayurbhanj muruda",0,"mayurbhanj muruda",376,"02878"
"2295","Mayurbhanj","Rairangpur",10,"mayurbhanj rairangpur",0,"mayurbhanj rairangpur",376,"02865"
"2296","Mayurbhanj","Rairangpur Town",1,"mayurbhanj rairangpur town",0,"mayurbhanj rairangpur town",376,"02861"
"2297","Mayurbhanj","Raruan",12,"mayurbhanj raruan",0,"mayurbhanj raruan",376,"02868"
"2298","Mayurbhanj","Rasagobindapur",8,"mayurbhanj rasagobindapur",0,"mayurbhanj rasagobindapur",376,"02879"
"2299","Mayurbhanj","Suliapada",1,"mayurbhanj suliapada",0,"mayurbhanj suliapada",376,"02877"
"2300","Mayurbhanj","Thakurmunda",3,"mayurbhanj thakurmunda",0,"mayurbhanj thakurmunda",376,"02871"
"2301","Mayurbhanj","Tiringi",7,"mayurbhanj tiringi",1,"mayurbhanj tiring",376,"02858"
"2302","Mayurbhanj","Udala",3,"mayurbhanj udala",0,"mayurbhanj udala",376,"02884"
"2303","Medak","Ahmedabad City",1,"medak ahmedabad city",10,"ahmadabad ahmadabad city",474,"03781"
"2304","Medak","Alladurg",4,"medak alladurg",0,"medak alladurg",535,"04470"
"2305","Medak","Andole",1,"medak andole",0,"medak andole",535,"04479"
"2306","Medak","Bharuch",1,"medak bharuch",8,"medak kohir",535,"04475"
"2307","Medak","Bhuj",1,"medak bhuj",7,"medak thoguta",535,"04463"
"2308","Medak","Chegunta",9,"medak chegunta",0,"medak chegunta",535,"04466"
"2309","Medak","Chinnakodur",5,"medak chinnakodur",0,"medak chinnakodur",535,"04460"
"2310","Medak","Doulthabad",1,"medak doulthabad",1,"medak doultabad",535,"04465"
"2311","Medak","Dubbak",1,"medak dubbak",0,"medak dubbak",535,"04458"
"2312","Medak","Gajwel",2,"medak gajwel",0,"medak gajwel",535,"04483"
"2313","Medak","Gandevi",1,"medak gandevi",5,"medak andole",535,"04479"
"2314","Medak","Hathnoora",3,"medak hathnoora",0,"medak hathnoora",535,"04489"
"2315","Medak","Jagdevpur",7,"medak jagdevpur",0,"medak jagdevpur",535,"04484"
"2316","Medak","Jharasangam",2,"medak jharasangam",0,"medak jharasangam",535,"04476"
"2317","Medak","Jinnaram",44,"medak jinnaram",0,"medak jinnaram",535,"04493"
"2318","Medak","Kalher",5,"medak kalher",0,"medak kalher",535,"04453"
"2319","Medak","Khambha",1,"medak khambha",7,"amreli khambha",480,"03847"
"2320","Medak","Kohir",4,"medak kohir",0,"medak kohir",535,"04475"
"2321","Medak","Kondapak",2,"medak kondapak",0,"medak kondapak",535,"04462"
"2322","Medak","Kondapoor",5,"medak kondapoor",3,"medak kondapur",535,"04491"
"2323","Medak","Kulcharam",3,"medak kulcharam",0,"medak kulcharam",535,"04468"
"2324","Medak","Lunawada",1,"medak lunawada",8,"medak wargal",535,"04485"
"2325","Medak","Manoor",1,"medak manoor",0,"medak manoor",535,"04451"
"2326","Medak","Medak",3,"medak medak",0,"medak medak",535,"04456"
"2327","Medak","Modasa",1,"medak modasa",5,"medak medak",535,"04456"
"2328","Medak","Mulugu",1,"medak mulugu",1,"medak mulug",535,"04486"
"2329","Medak","Munipalle",4,"medak munipalle",1,"medak munpalle",535,"04477"
"2330","Medak","Narsapur",2,"medak narsapur",0,"medak narsapur",535,"04488"
"2331","Medak","Nyalkal",2,"medak nyalkal",0,"medak nyalkal",535,"04473"
"2332","Medak","Pardi",1,"medak pardi",7,"medak kangti",535,"04450"
"2333","Medak","Patancheru",35,"medak patancheru",0,"medak patancheru",535,"04494"
"2334","Medak","Pulkal",1,"medak pulkal",0,"medak pulkal",535,"04478"
"2335","Medak","Raikode",2,"medak raikode",0,"medak raikode",535,"04472"
"2336","Medak","Rajula",1,"medak rajula",6,"medak pulkal",535,"04478"
"2337","Medak","Ramayampet",3,"medak ramayampet",0,"medak ramayampet",535,"04457"
"2338","Medak","Ramchandrapuram",36,"medak ramchandrapuram",1,"medak ramachandrapuram",535,"04495"
"2339","Medak","Sadasivpet",1,"medak sadasivpet",0,"medak sadasivpet",535,"04490"
"2340","Medak","Sangareddy",6,"medak sangareddy",0,"medak sangareddy",535,"04492"
"2341","Medak","Sankheda",1,"medak sankheda",7,"kheda kheda",483,"03874"
"2342","Medak","Shankarampet (A)",4,"medak shankarampet (a)",0,"medak shankarampet (a)",535,"04454"
"2343","Medak","Shankarampet (R)",15,"medak shankarampet (r)",0,"medak shankarampet (r)",535,"04467"
"2344","Medak","Shivampet",24,"medak shivampet",0,"medak shivampet",535,"04487"
"2345","Medak","Siddipet",2,"medak siddipet",0,"medak siddipet",535,"04459"
"2346","Medak","Tupran",7,"medak tupran",0,"medak tupran",535,"04482"
"2347","Medak","Veldurthy",14,"medak veldurthy",2,"medak yeldurthy",535,"04481"
"2348","Medak","Wargal",2,"medak wargal",0,"medak wargal",535,"04485"
"2349","Medak","Zahirabad",2,"medak zahirabad",0,"medak zahirabad",535,"04474"
"2350","Medchal","Kukatpally",8,"medchal kukatpally",12,"medak munpalle",535,"04477"
"2351","Medchal","Medchal",29,"medchal medchal",8,"medak medak",535,"04456"
"2352","Medchal","Quthubullapur",39,"medchal quthubullapur",14,"rangareddy qutubullapur",537,"04518"
"2353","Medchal","Secunderabad",2,"medchal secunderabad",12,"hyderabad secunderabad",536,"04498"
"2354","Medchal Malkajgiri","Alwal",3,"medchal malkajgiri alwal",17,"malkangiri kalimela",399,"03227"
"2355","Medchal Malkajgiri","Dundigal Gandimaisamma",32,"medchal malkajgiri dundigal gandimaisamma",29,"dhenkanal gandia",383,"02991"
"2356","Medchal Malkajgiri","Qutballapur",24,"medchal malkajgiri qutballapur",20,"ambedkar nagar allapur",178,"00908"
"2357","Medchal Malkajgiri","Tullamulla",1,"medchal malkajgiri tullamulla",20,"malkangiri kalimela",399,"03227"
"2358","Medchal Malkajgiri","bachupally",23,"medchal malkajgiri bachupally",21,"malkangiri mathili",399,"03221"
"2359","Medchal Malkajgiri","balanagar",7,"medchal malkajgiri balanagar",17,"balangir balangir",393,"03142"
"2360","Medchal Malkajgiri","ghatkesar",20,"medchal malkajgiri ghatkesar",19,"dhamtari dhamtari",412,"03346"
"2361","Medchal Malkajgiri","kapra",2,"medchal malkajgiri kapra",16,"malkangiri podia",399,"03228"
"2362","Medchal Malkajgiri","keesara",9,"medchal malkajgiri keesara",18,"malkangiri orkel",399,"03226"
"2363","Medchal Malkajgiri","kukatpally",8,"medchal malkajgiri kukatpally",20,"malkangiri kalimela",399,"03227"
"2364","Medchal Malkajgiri","medchal",44,"medchal malkajgiri medchal",17,"medak medak",535,"04456"
"2365","Medchal Malkajgiri","medipally",4,"medchal malkajgiri medipally",18,"malkangiri podia",399,"03228"
"2366","Medchal Malkajgiri","qutbullapur",25,"medchal malkajgiri qutbullapur",21,"malkangiri motu",399,"03230"
