"","District","Tehsil","N","District_Tehsil","Matched_distance","district_tehsil_matched","pc11_district_id","pc11_sd_id"
"2367","Medchal Malkajgiri","shamirpet",17,"medchal malkajgiri shamirpet",17,"medak shivampet",535,"04487"
"2368","Medchal Malkajgiri","uppal",17,"medchal malkajgiri uppal",16,"malkangiri podia",399,"03228"
"2369","Medinipur","Jhargram",1,"medinipur jhargram",8,"paschim medinipur jhargram",344,"02454"
"2370","Meerut","Mawana",1,"meerut mawana",0,"meerut mawana",138,"00733"
"2371","Meerut","Meerut",3,"meerut meerut",0,"meerut meerut",138,"00734"
"2372","Meerut","Sardhana",1,"meerut sardhana",0,"meerut sardhana",138,"00732"
"2373","Mewat","Nuh",4,"mewat nuh",0,"mewat nuh",87,"00422"
"2374","Mewat","Taoru",8,"mewat taoru",0,"mewat taoru",87,"00421"
"2375","Mirzapur","Chunar",110,"mirzapur chunar",0,"mirzapur chunar",199,"01003"
"2376","Mirzapur","Lalganj",8,"mirzapur lalganj",0,"mirzapur lalganj",199,"01001"
"2377","Mirzapur","Marihan",6,"mirzapur marihan",0,"mirzapur marihan",199,"01002"
"2378","Mirzapur","Mirzapur",33,"mirzapur mirzapur",0,"mirzapur mirzapur",199,"01000"
"2379","Moga","Dharamkot",2,"moga dharamkot",8,"ganjam dharakote",388,"03079"
"2380","Moradabad","Bilari",19,"moradabad bilari",0,"moradabad bilari",135,"00720"
"2381","Moradabad","Moradabad",42,"moradabad moradabad",0,"moradabad moradabad",135,"00719"
"2382","Moradabad","Thakurdwara",7,"moradabad thakurdwara",0,"moradabad thakurdwara",135,"00717"
"2383","Morbi","Halvad",18,"morbi halvad",10,"korba pali",404,"03274"
"2384","Morbi","Maliya",3,"morbi maliya",8,"korba pali",404,"03274"
"2385","Morbi","Morbi",67,"morbi morbi",8,"korba korba",404,"03275"
"2386","Morbi","Tankara",3,"morbi tankara",9,"rajkot tankara",476,"03800"
"2387","Morbi","Wankaner",98,"morbi wankaner",9,"rajkot wankaner",476,"03801"
"2388","Morena","Ambah",4,"morena ambah",0,"morena ambah",419,"03385"
"2389","Morena","Bamour",5,"morena bamour",5,"morena joura",419,"03388"
"2390","Morena","Joura",21,"morena joura",0,"morena joura",419,"03388"
"2391","Morena","Kailaras",19,"morena kailaras",0,"morena kailaras",419,"03389"
"2392","Morena","Morena",33,"morena morena",0,"morena morena",419,"03387"
"2393","Morena","Porsa",2,"morena porsa",0,"morena porsa",419,"03386"
"2394","Morena","Sabalgarh",15,"morena sabalgarh",0,"morena sabalgarh",419,"03390"
"2395","Muktsar","Muktsar",2,"muktsar muktsar",0,"muktsar muktsar",44,"00241"
"2396","Mulugu","Eturnagaram",9,"mulugu eturnagaram",8,"guntur nagaram",548,"05095"
"2397","Mulugu","Govindaraopet",1,"mulugu govindaraopet",12,"warangal govindaraopet",540,"04688"
"2398","Mulugu","Kannaigudem",5,"mulugu kannaigudem",13,"kullu ani",26,"00121"
"2399","Mulugu","MULUGU",10,"mulugu mulugu",10,"kullu kullu",26,"00118"
"2400","Mulugu","Mangapet",7,"mulugu mangapet",11,"kullu manali",26,"00117"
"2401","Mulugu","Venkatapur",25,"mulugu venkatapur",12,"latur renapur",524,"04227"
"2402","Mulugu","Wazeedu",8,"mulugu wazeedu",12,"khammam wazeed",541,"04723"
"2403","Mumbai (Suburban)","Borivali",116,"mumbai (suburban) borivali",19,"umaria pali",431,"03485"
"2404","Mumbai (Suburban)","Kurla",174,"mumbai (suburban) kurla",17,"mayurbhanj udala",376,"02884"
"2405","Mumbai (Suburban)","Malad",63,"mumbai (suburban) malad",17,"mayurbhanj udala",376,"02884"
"2406","Mumbai City","Andheri",72,"mumbai city andheri",13,"umaria chandia",431,"03483"
"2407","Mumbai City","KandiVali",16,"mumbai city kandivali",13,"umaria chandia",431,"03483"
"2408","Mumbai City","Kurla",42,"mumbai city kurla",14,"una una",29,"00150"
"2409","Mumbai City","Mumbai",213,"mumbai city mumbai",15,"umaria pali",431,"03485"
"2410","Mungeli","Lormi",6,"mungeli lormi",10,"pune bhor",521,"04198"
"2411","Mungeli","Mungeli",12,"mungeli mungeli",6,"munger munger",226,"01356"
"2412","Mungeli","No Data",4,"mungeli no data",11,"hugli pandua",338,"02344"
"2413","Munger","Bariyarpur",2,"munger bariyarpur",1,"munger bariarpur",226,"01357"
"2414","Munger","Dharhara",1,"munger dharhara",0,"munger dharhara",226,"01359"
"2415","Munger","Jamalpur",7,"munger jamalpur",0,"munger jamalpur",226,"01358"
"2416","Munger","Kharagpur",2,"munger kharagpur",0,"munger kharagpur",226,"01360"
"2417","Munger","Munger",11,"munger munger",0,"munger munger",226,"01356"
"2418","Munger","Sangrampur",8,"munger sangrampur",0,"munger sangrampur",226,"01364"
"2419","Munger","Tarapur",9,"munger tarapur",0,"munger tarapur",226,"01362"
"2420","Munger","Tetiha Bambor",7,"munger tetiha bambor",0,"munger tetiha bambor",226,"01363"
"2421","Murshidabad","Beldanga - I",1,"murshidabad beldanga - i",2,"murshidabad beldanga-i",333,"02244"
"2422","Murshidabad","Berhampore",1,"murshidabad berhampore",0,"murshidabad berhampore",333,"02241"
"2423","Murshidabad","Bhagawangola - II",2,"murshidabad bhagawangola - ii",2,"murshidabad bhagawangola-ii",333,"02232"
"2424","Murshidabad","Bharatpur - I",5,"murshidabad bharatpur - i",2,"murshidabad bharatpur-i",333,"02247"
"2425","Murshidabad","Burwan",1,"murshidabad burwan",0,"murshidabad burwan",333,"02248"
"2426","Murshidabad","Farakka",1,"murshidabad farakka",0,"murshidabad farakka",333,"02223"
"2427","Murshidabad","Kandi",20,"murshidabad kandi",0,"murshidabad kandi",333,"02240"
"2428","Murshidabad","Khargram",4,"murshidabad khargram",0,"murshidabad khargram",333,"02239"
"2429","Murshidabad","Murshidabad Jiaganj",1,"murshidabad murshidabad jiaganj",0,"murshidabad murshidabad jiaganj",333,"02237"
"2430","Murshidabad","Nabagram",4,"murshidabad nabagram",0,"murshidabad nabagram",333,"02238"
"2431","Murshidabad","Raghunathganj - I",1,"murshidabad raghunathganj - i",2,"murshidabad raghunathganj-i",333,"02227"
"2432","Murshidabad","Raghunathganj - II",1,"murshidabad raghunathganj - ii",2,"murshidabad raghunathganj-ii",333,"02228"
