"","state_name","pc11_state_id","district_name","pc11_district_id"
"145","gujarat",24,"mahesana",471
"146","gujarat",24,"narmada",487
"147","gujarat",24,"navsari",490
"148","gujarat",24,"panch mahals",484
"149","gujarat",24,"patan",470
"150","gujarat",24,"porbandar",478
"151","gujarat",24,"rajkot",476
"152","gujarat",24,"sabar kantha",472
"153","gujarat",24,"surat",492
"154","gujarat",24,"surendranagar",475
"155","gujarat",24,"tapi",493
"156","gujarat",24,"the dangs",489
"157","gujarat",24,"vadodara",486
"158","gujarat",24,"valsad",491
"159","haryana",6,"ambala",70
"160","haryana",6,"bhiwani",81
"161","haryana",6,"faridabad",88
"162","haryana",6,"fatehabad",78
"163","haryana",6,"gurgaon",86
"164","haryana",6,"hisar",80
"165","haryana",6,"jhajjar",83
"166","haryana",6,"jind",77
"167","haryana",6,"kaithal",73
"168","haryana",6,"karnal",74
"169","haryana",6,"kurukshetra",72
"170","haryana",6,"mahendragarh",84
"171","haryana",6,"mewat",87
"172","haryana",6,"palwal",89
"173","haryana",6,"panchkula",69
"174","haryana",6,"panipat",75
"175","haryana",6,"rewari",85
"176","haryana",6,"rohtak",82
"177","haryana",6,"sirsa",79
"178","haryana",6,"sonipat",76
"179","haryana",6,"yamunanagar",71
"180","himachal pradesh",2,"bilaspur",30
"181","himachal pradesh",2,"chamba",23
"182","himachal pradesh",2,"hamirpur",28
"183","himachal pradesh",2,"kangra",24
"184","himachal pradesh",2,"kinnaur",34
"185","himachal pradesh",2,"kullu",26
"186","himachal pradesh",2,"lahul spiti",25
"187","himachal pradesh",2,"mandi",27
"188","himachal pradesh",2,"shimla",33
"189","himachal pradesh",2,"sirmaur",32
"190","himachal pradesh",2,"solan",31
"191","himachal pradesh",2,"una",29
"192","jammu kashmir",1,"anantnag",14
"193","jammu kashmir",1,"badgam",2
"194","jammu kashmir",1,"bandipore",9
"195","jammu kashmir",1,"baramula",8
"196","jammu kashmir",1,"doda",16
"197","jammu kashmir",1,"ganderbal",11
"198","jammu kashmir",1,"jammu",21
"199","jammu kashmir",1,"kargil",4
"200","jammu kashmir",1,"kathua",7
"201","jammu kashmir",1,"kishtwar",18
"202","jammu kashmir",1,"kulgam",15
"203","jammu kashmir",1,"kupwara",1
"204","jammu kashmir",1,"leh ladakh",3
"205","jammu kashmir",1,"pulwama",12
"206","jammu kashmir",1,"punch",5
"207","jammu kashmir",1,"rajouri",6
"208","jammu kashmir",1,"ramban",17
"209","jammu kashmir",1,"reasi",20
"210","jammu kashmir",1,"samba",22
"211","jammu kashmir",1,"shupiyan",13
"212","jammu kashmir",1,"srinagar",10
"213","jammu kashmir",1,"udhampur",19
"214","jharkhand",20,"bokaro",355
"215","jharkhand",20,"chatra",347
"216","jharkhand",20,"deoghar",350
"217","jharkhand",20,"dhanbad",354
"218","jharkhand",20,"dumka",362
"219","jharkhand",20,"garhwa",346
"220","jharkhand",20,"giridih",349
"221","jharkhand",20,"godda",351
"222","jharkhand",20,"gumla",366
"223","jharkhand",20,"hazaribagh",360
"224","jharkhand",20,"jamtara",363
"225","jharkhand",20,"khunti",365
"226","jharkhand",20,"kodarma",348
"227","jharkhand",20,"latehar",359
"228","jharkhand",20,"lohardaga",356
"229","jharkhand",20,"pakur",353
"230","jharkhand",20,"palamu",358
"231","jharkhand",20,"pashchimi singhbhum",368
"232","jharkhand",20,"purbi singhbhum",357
"233","jharkhand",20,"ramgarh",361
"234","jharkhand",20,"ranchi",364
"235","jharkhand",20,"sahibganj",352
"236","jharkhand",20,"saraikela kharsawan",369
"237","jharkhand",20,"simdega",367
"238","karnataka",29,"bagalkot",556
"239","karnataka",29,"bangalore",572
"240","karnataka",29,"bangalore rural",583
"241","karnataka",29,"belgaum",555
"242","karnataka",29,"bellary",565
"243","karnataka",29,"bidar",558
"244","karnataka",29,"bijapur",557
"245","karnataka",29,"chamarajanagar",578
"246","karnataka",29,"chikkaballapura",582
"247","karnataka",29,"chikmagalur",570
"248","karnataka",29,"chitradurga",566
"249","karnataka",29,"dakshina kannada",575
"250","karnataka",29,"davanagere",567
"251","karnataka",29,"dharwad",562
"252","karnataka",29,"gadag",561
"253","karnataka",29,"gulbarga",579
"254","karnataka",29,"hassan",574
"255","karnataka",29,"haveri",564
"256","karnataka",29,"kodagu",576
"257","karnataka",29,"kolar",581
"258","karnataka",29,"koppal",560
"259","karnataka",29,"mandya",573
"260","karnataka",29,"mysore",577
"261","karnataka",29,"raichur",559
"262","karnataka",29,"ramanagara",584
"263","karnataka",29,"shimoga",568
"264","karnataka",29,"tumkur",571
"265","karnataka",29,"udupi",569
"266","karnataka",29,"uttara kannada",563
"267","karnataka",29,"yadgir",580
"268","kerala",32,"alappuzha",598
"269","kerala",32,"ernakulam",595
"270","kerala",32,"idukki",596
"271","kerala",32,"kannur",589
"272","kerala",32,"kasaragod",588
"273","kerala",32,"kollam",600
"274","kerala",32,"kottayam",597
"275","kerala",32,"kozhikode",591
"276","kerala",32,"malappuram",592
"277","kerala",32,"palakkad",593
"278","kerala",32,"pathanamthitta",599
