,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
94,95,SIA/KL/MIN/67843/2017,1152/EC/SEIAA/KL/2017,"Quarry project of M/s Malayoram Rock Products Pvt. Ltd. is situated at Survey No. 242/P of Valayam Village, Vadakara Taluk, Kozhikode District, Kerala for an area of 5.1070 hectare",MALAYORAM ROCK PRODUCTS PVT LTD,WithdrawEC,EC,
95,96,SIA/KL/NCP/50618/2016,1081/EC1/SEIAA/2016,Environmental Clearance for Proposed Expansion of Existing Campus Project by M/s Electronics Technology Parks – Kerala (TECHNOPARK) (Fully owned by Government of Kerala).,ELECTRONICS TECHNOLOGY PARKS KERALA TECHNOPARK,Delisted,EC,
96,97,SIA/KL/MIN/161069/2020,1799/EC6/2020/SEIAA,"GRANITE BUILDING STONE QUARRY OF Mr.ABDUL RASACK.P IN SURVEY NO:95/9-3,95/7-4 IN MANKADA VILLAGE,PERINTHALMANNA TALUK,MALAPPURAM DISTRICT,KERALA","GRANITE BUILDING STONE QUARRY OF MR.ABDUL RASACK.P IN SURVEY NO:95/9-3,95/7-4,IN MANKADA VILLAGE,PERINTHALMANNA TALUK,MALAPPURAM DISTRICT,KERALA",EC Granted,EC,
97,98,SIA/KL/MIN/271891/2022,2687/A2/2019/SEIAA,Serene Scaria,SERENE VEMPENY,ADS by SEAC,EC,
98,99,SIA/KL/MIN/272116/2022,2552/EC2/2019/SEIAA,Proposed building stone quarry of Mr Yespal,HARITHA CONSULTANTS,EC Granted,EC,
99,100,SIA/KL/MIN/291267/2022,2116/EC3/2022/SEIAA,"Building Stone Minor Mineral Mining (Quarry) project of Mr. Kurian Jose at Sy. Nos. 340/1AS/75/6/2, 340/1A/S/75/6/3/2, 340/1A/S/75/6/9, 340/1A/S/75/6/10, Kottappady Village, Kothamangalam Taluk, Ernakulam District, Kerala  for  an area of 4.0425  ha",KURIAN   JOSE,Agenda Uploaded by SEAC,EC,
100,101,SIA/KL/MIN/70795/2017,1161/EC/SEIAA/KL/2017,BUILDING STONE QUARRY OF M/s NALAKATH GRANITES,BUILDING STONE QUARRY OF NALAKATH GRANITES,EC Granted - Processed offline,EC,
101,102,SIA/KL/MIN/64845/2017,1136/EC/SEIAA/KL/2017,STONE QUARRY OF HABEEBU RAHIMAN,HABEEB RAHMAN,Site Visit by SEAC - EC ISSUED 79,EC,
102,103,SIA/KL/MIS/97113/2019,1381(A)/EC2/2019/SEIAA,Constructi,PARK CENTER TECHNOPARK,Under examination of SEIAA - Processed offline,EC,
103,104,SIA/KL/MIN/129061/2019,1531/EC3/2019/SEIAA,Mr sabu Varghese Managing Partner M/s Kuriakose Granites,SABUVARGHESE,EC Granted,EC,
