,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
3614,SIA/JH/MIN/34691/2019,,Jharkhand,Ranchi,Namkum,Date of Submission for TOR: ,Date of Submission for EC: 15 Apr 2019 ,Non-Coal Mining,MS TIWARI BRICK INDUSTRIES,Delisted
3615,SIA/JH/INFRA2/422229/2023,EC/SEIAA/2022-23/2624/2023,Jharkhand,,,Date of Submission for TOR: ,Date of Submission for EC: 18 Mar 2023 ,INFRA-2,R. K BUILDER AND DEVELOPERS,Awaiting EC
3616,SIA/JH/MIS/105500/2019,EC/SEIAA/2018-19/2129/2019,Jharkhand,Deoghar,Devipur,Date of Submission for EC: 06 Jun 2019 ,Date of Ec Granted : 20 Jun 2019,INFRA-2,NBCC (INDIA) LIMITED,EC Granted
3617,SIA/JH/MIN/32841/2015,EC/SEIAA/2015-16/1667/2015,Jharkhand,Sahibganj,Pathna,Date of Submission for TOR: ,Date of Submission for EC: 16 Nov 2015 ,Non-Coal Mining,MS CRYSTAL CONSULTANTS,TransferToDEIAA
3618,SIA/JH/MIN/418150/2023,EC/SEIAA/2022-23/2548/2023,Jharkhand,,,Date of Submission for EC: 27 Feb 2023 ,Date of Ec Granted : 31 Mar 2023,Non-Coal Mining,SOUMITRA GHOSH,EC Granted
3619,SIA/JH/MIN/34840/2019,EC/SEIAA/2018-19/2126/2018,Jharkhand,Deoghar,Devipur,Date of Submission for TOR: ,Date of Submission for EC: 27 May 2019 ,Non-Coal Mining,JHARKHAND STATE MINERAL DEVELOPMENT CORPORATION,Delisted
3620,SIA/JH/MIN/34691/2019,,Jharkhand,Ranchi,Namkum,Date of Submission for TOR: ,Date of Submission for EC: 15 Apr 2019 ,Non-Coal Mining,MS TIWARI BRICK INDUSTRIES,Delisted
3621,SIA/JH/MIN/28016/2017,,Jharkhand,Ramgarh,Patratu,Date of Submission for TOR: ,Date of Submission for EC: 04 Aug 2021 ,Non-Coal Mining,KARMA ORAON,Delisted
3622,SIA/JH/MIN/43567/2019,EC/SEIAA/2018-19/2199/2019,Jharkhand,Sahibganj,Borio,Date of Submission for EC: 25 Sep 2019 ,Date of Ec Granted : 04 Nov 2019,Non-Coal Mining,HATHIDARI STONE DEPOSIT SHAMBHAVI MINING COMPANY,EC Granted
3623,SIA/JH/MIN/43775/2019,EC/SEIAA/2018-19/2204/2019,Jharkhand,Pakaur,Hiranpur,Date of Submission for EC: 27 Sep 2019 ,Date of Ec Granted : 04 Nov 2019,Non-Coal Mining,MS RANI STONE WORKS  SRI ISHAQUE SHAIKH,EC Granted
3624,SIA/JH/MIN/43956/2019,EC/SEIAA/2018-19/2273/2019,Jharkhand,Ranchi,Ormanjhi,Date of Submission for EC: 30 Sep 2019 ,Date of Ec Granted : 08 Nov 2019,Non-Coal Mining,CRYSTAL CONSULTANTS,EC Granted
3625,SIA/JH/MIN/32738/2015,EC/SEIAA/2015-16/1680/2015,Jharkhand,Sahibganj,Barharwa,Date of Submission for EC: 10 Nov 2015 ,Date of Ec Granted : 15 Dec 2015,Non-Coal Mining,MS CRYSTAL CONSULTANTS,EC Granted
3626,SIA/JH/MIS/247769/2021,EC/SEIAA/2021-22/2532/2021,Jharkhand,Ranchi,Kanke,Date of Submission for EC: 28 Feb 2022 ,Date of Ec Granted : 22 Apr 2022,INFRA-2,M/S ARROWLINE REAL ESTATE PRIVATE LIMITED,EC Granted
3627,SIA/JH/MIN/266865/2022,EC/SEIAA/2022-23/2590/2022,Jharkhand,Giridih,Jamua,Date of Submission for EC: 04 Jun 2022 ,Date of Ec Granted : 12 Aug 2022,Non-Coal Mining, JAI BABA STONE,EC Granted
3628,SIA/JH/CMIN/82988/2021,EC/SEIAA/2022-23/2733/2023,Jharkhand,Dhanbad,Jharia-Cum-Jorapokhar-Cum-Sindri,Date of Submission for EC: 18 Jan 2023 ,Date of Ec Granted : 19 Jun 2023,Coal Mining,COLLIERIES DIVISION STEEL AUTHORITY OF INDIA LIMITED,EC Granted
3629,SIA/JH/MIS/109133/2019,EC/SEIAA/2018-19/2206/2019,Jharkhand,Seraikela Kharsawan,Kharsawan,Date of Submission for EC: 27 Sep 2019 ,Date of Ec Granted : 04 Nov 2019,INFRA-2,AAKASH INDIA PROJECTS AND BUILDERS PVT LTD,EC Granted
3630,SIA/JH/MIN/413701/2023,EC/SEIAA/2022-23/2723/2023,Jharkhand,,,Date of Submission for EC: 19 Jan 2023 ,Date of Ec Granted : 08 Feb 2023,Non-Coal Mining,MUKESH KUMAR,EC Granted
3631,SIA/JH/MIN/78942/2018,EC/SEIAA/2018-19/2084/2018,Jharkhand,Godda,Poreyahat,Date of Submission for EC: 03 Oct 2018 ,Date of Ec Granted : 14 Feb 2019,Non-Coal Mining,JHARKHAND STATE MINERALS DEVELOPMENT CORPORATION LTD.,EC Granted
3632,SIA/JH/MIN/185167/2020,,Jharkhand,Bokaro,Jaridih,Date of Submission for TOR: ,Date of Submission for EC: 26 Nov 2020 ,Non-Coal Mining,M/S STAR CONSTRUCTION,Delisted
3633,SIA/JH/MIN/196123/2021,EC/SEIAA/2021-22/2323/2021,Jharkhand,Pakaur,Hiranpur,Date of Submission for EC: 16 Jun 2021 ,Date of Ec Granted : 15 Jul 2021,Non-Coal Mining,M/S MANOJ STONE WORKS,EC Granted
