,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
4227,SIA/KA/MIN/217492/2021,SEIAA 302 MIN 2021,Karnataka,Udupi,Karkala,Date of Submission for EC: 30 Jun 2021 ,Date of Ec Granted : 25 Mar 2022,Non-Coal Mining,SRI  SURESH SHETTY,EC Granted
4228,SIA/KA/MIN/230469/2021,SEIAA 511 MIN 2021,Karnataka,Gadag,Mundargi,Date of Submission for TOR: ,Date of Submission for EC: 21 Sep 2021 ,Non-Coal Mining,SRI.  HEMAGIRISH G HAVINAL,Delisted
4229,SIA/KA/MIN/185152/2020,SEIAA 351 MN 2020,Karnataka,Bagalkot,Hungund,Date of Submission for EC: 26 Nov 2020 ,Date of Ec Granted : 15 Apr 2021,Non-Coal Mining,SRI. RANGANGOUDA P GOUDAR,EC Granted - Processed offline
4230,SIA/KA/MIN/1988/2015,SEIAA 1113 MIN 2015,Karnataka,Kodagu,Virajpet,Date of Submission for EC: 11 Sep 2015 ,Date of Ec Granted : 03 Oct 2015,Non-Coal Mining,DISTRICT SAND MONITORING COMMITTEE  KODAGU,EC Granted
4231,SIA/KA/MIN/1107/2015,SEIAA 1004 MIN 2015,Karnataka,Raichur,Lingsugur,Date of Submission for EC: 22 Aug 2015 ,Date of Ec Granted : 23 Nov 2015,Non-Coal Mining,AMAN,EC Granted
4232,SIA/KA/MIN/1116/2015,SEIAA 1000 MIN 2015,Karnataka,Belgaum,Chikodi,Date of Submission for EC: 24 Aug 2015 ,Date of Ec Granted : 23 Nov 2015,Non-Coal Mining,RAMESH BASAPPA CHANNAVAR,EC Granted
4233,SIA/KA/MIN/1507/2015,SEIAA 1028 MIN 2015,Karnataka,Udupi,Karkala,Date of Submission for EC: 28 Aug 2015 ,Date of Ec Granted : 17 Nov 2015,Non-Coal Mining,AVINASH,EC Granted
4234,SIA/KA/MIN/42822/2019,,Karnataka,Chikkaballapura,Chikkaballapura,Date of Submission for TOR: ,Date of Submission for EC: 13 Sep 2019 ,Non-Coal Mining,M/S DEVI KAMAKSHI GRANITES & STONES,Delisted
4235,SIA/KA/IND2/29952/2018,SEIAA 47 IND 2018,Karnataka,Raichur,Raichur,Date of Submission for EC: 04 Sep 2019 ,Date of Ec Granted : 13 Dec 2019,Industrial Projects - 2,M/S. LARSON PHARMA PRIVATE LIMITED,EC Granted - Processed offline
4236,SIA/KA/NCP/56406/2016,SEIAA 96 CON 2016,Karnataka,Bangalore Urban,Bangalore South,Date of Submission for EC: 18 Jun 2016 ,Date of Ec Granted : 03 Nov 2016,INFRA-1,MS REDDY STRUCTUES PVT LTD,EC Granted
