,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
2756,SIA/RJ/MIN/56608/2016,,Rajasthan,Jodhpur,Shergarh,Date of Submission for TOR: ,Date of Submission for EC: 23 Jun 2016 ,Non-Coal Mining,SHRI GORDHAN RAM,Under examination of SEIAA - Processed offline
2757,SIA/RJ/MIN/56623/2016,,Rajasthan,Jodhpur,Shergarh,Date of Submission for TOR: ,Date of Submission for EC: 23 Jun 2016 ,Non-Coal Mining,SH GAYAD SINGH,Under examination of SEIAA - Processed offline
2758,SIA/RJ/MIN/56675/2016,,Rajasthan,Bhilwara,Beejoliya,Date of Submission for TOR: ,Date of Submission for EC: 25 Jun 2016 ,Non-Coal Mining,SH KALU RAM,Under examination of SEIAA - Processed offline
2759,SIA/RJ/MIN/225756/2021,,Rajasthan,Alwar,Kotkasim,Date of Submission for TOR: ,Date of Submission for EC: 08 Sep 2021 ,Non-Coal Mining,SMT. ANJU SEVAK W/O SHRI SUDHIR SEVAK,Delisted
2760,SIA/RJ/MIN/131605/2019,13237,Rajasthan,Tonk,Malpura,Date of Submission for EC: 15 Dec 2019 ,Date of Ec Granted : 25 Nov 2020,Non-Coal Mining,M/S  SUPREME GRANITES,EC Granted - Processed offline
2761,SIA/RJ/MIN/36149/2015,,Rajasthan,Sawai Madhopur,Bonli,Date of Submission for TOR: ,Date of Submission for EC: 26 Dec 2015 ,Non-Coal Mining,SHRI DIGVIJAYA SINGH,Under examination of SEIAA - Processed offline
2762,SIA/RJ/MIN/44853/2019,12964,Rajasthan,Bhilwara,Beejoliya,Date of Submission for EC: 05 Nov 2019 ,Date of Ec Granted : 10 Nov 2020,Non-Coal Mining,SHRI RAJESH KUMAR TAPEN,EC Granted - Processed offline
2763,SIA/RJ/MIN/44913/2019,12794,Rajasthan,Jodhpur,Phalodi,Date of Submission for EC: 17 Oct 2019 ,Date of Ec Granted : 03 Jul 2020,Non-Coal Mining,SHRI PREM PANWAR,EC Granted - Processed offline
2764,SIA/RJ/MIN/44930/2019,12775,Rajasthan,Pali,Raipur,Date of Submission for EC: 17 Oct 2019 ,Date of Ec Granted : 02 Dec 2019,Non-Coal Mining,HANUMAN PRASAD,EC Granted - Processed offline
2765,SIA/RJ/MIN/44959/2019,12819,Rajasthan,Bhilwara,Beejoliya,Date of Submission for EC: 17 Oct 2019 ,Date of Ec Granted : 05 Oct 2020,Non-Coal Mining,SHRI RAMESH BANJARA,EC Granted - Processed offline
2766,SIA/RJ/MIN/57272/2016,,Rajasthan,Barmer,Pachpadra,Date of Submission for TOR: ,Date of Submission for EC: 09 Jul 2016 ,Non-Coal Mining,BHANWAR LAL PRAJAPATI,Under examination of SEIAA - Processed offline
2767,SIA/RJ/MIN/37609/2019,11765,Gujarat,Anand,Khambhat,Date of Submission for EC: 11 Jun 2019 ,Date of Ec Granted : 09 Aug 2019,Non-Coal Mining,SH JIVAN RAM,EC Granted - Processed offline
2768,SIA/RJ/MIN/36032/2015,,Rajasthan,Pratapgarh,Chhotisadri,Date of Submission for TOR: ,Date of Submission for EC: 25 Dec 2015 ,Non-Coal Mining,DR MUKESH KUMAR JAGETIA,TransferToDEIAA
2769,SIA/RJ/MIN/69886/2017,,Rajasthan,Alwar,Mandawar,Date of Submission for TOR: ,Date of Submission for EC: 26 Sep 2017 ,Non-Coal Mining,BALA DEVI,Under examination of SEIAA - Processed offline
2770,SIA/RJ/MIN/44878/2019,12815,Rajasthan,Bhilwara,Beejoliya,Date of Submission for EC: 16 Oct 2019 ,Date of Ec Granted : 05 Oct 2020,Non-Coal Mining,SHRI RAM LAL DHAKAR,EC Granted - Processed offline
2771,SIA/RJ/MIN/40133/2016,,Rajasthan,Alwar,Thanagazi,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,GEO PLANET SOLUTIONS,Under examination of SEIAA - Processed offline
2772,SIA/RJ/MIN/40140/2016,,Rajasthan,Jodhpur,Bilara,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,UDR MINTECH,Under examination of SEIAA - Processed offline
2773,SIA/RJ/MIN/40157/2016,,Orissa,Ganjam,Purusottampur,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,UDR MINTECH,Under examination of SEIAA - Processed offline
2774,SIA/RJ/MIN/40174/2016,,Rajasthan,Karauli,Hindaun,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,TEAM INSTITUTE OF SCIENCE AND TECHNOLOGY PVT LTD,Under examination of SEIAA - Processed offline
2775,SIA/RJ/MIN/40216/2016,,Rajasthan,Rajsamand,Kumbhalgarh,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,KSHETRAPAL STONE,TransferToDEIAA
2776,SIA/RJ/MIN/40826/2016,,Rajasthan,Bharatpur,Nagar,Date of Submission for TOR: ,Date of Submission for EC: 14 Jan 2016 ,Non-Coal Mining,OM PRAKASH SHARMA,Under examination of SEIAA - Processed offline
2777,SIA/RJ/MIN/40838/2016,,Rajasthan,chittorgarh,Nimbahera,Date of Submission for TOR: ,Date of Submission for EC: 14 Jan 2016 ,Non-Coal Mining,DEVENDRA SINGH,Under examination of SEIAA - Processed offline
2778,SIA/RJ/MIN/49995/2016,,Rajasthan,chittorgarh,chittorgarh,Date of Submission for TOR: ,Date of Submission for EC: 19 Feb 2016 ,Non-Coal Mining,BHERU LAL,Under examination of SEIAA - Processed offline
2779,SIA/RJ/MIN/39604/2016,,Rajasthan,Bharatpur,Bayana,Date of Submission for TOR: ,Date of Submission for EC: 10 Jan 2016 ,Non-Coal Mining,GEO PLANET SOLUTIONS,Under examination of SEIAA - Processed offline
2780,SIA/RJ/MIN/39704/2016,,Rajasthan,Karauli,Karauli,Date of Submission for TOR: ,Date of Submission for EC: 11 Jan 2016 ,Non-Coal Mining,JAGAN RAM MEENA,TransferToDEIAA
2781,SIA/RJ/MIN/39736/2016,,Rajasthan,Ajmer,Nasirabad,Date of Submission for TOR: 01 Aug 2016,Date of Submission for EC: 11 Jan 2016 ,Non-Coal Mining,SHYOKARAN JAT,Under examination of SEIAA - Processed offline
2782,SIA/RJ/MIN/39746/2016,,Rajasthan,Jalore,Ahore,Date of Submission for TOR: ,Date of Submission for EC: 11 Jan 2016 ,Non-Coal Mining,MAHENDRA SINGH,Under examination of SEIAA - Processed offline
2783,SIA/RJ/MIN/48882/2016,,Rajasthan,Jodhpur,Jodhpur,Date of Submission for TOR: ,Date of Submission for EC: 10 Feb 2016 ,Non-Coal Mining,UDAIPUR MIN TECH  PVT  LTD,Under examination of SEIAA - Processed offline
