,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
0,391,SIA/MH/IND2/152225/2020,SIA/MH/IND2/152225/2020,"Application for Environment Clearance for proposed expansion (Change in Product Mix) by Atul Bioscience Ltd. on Plot No. N-37, located at Additional Ambernath MIDC",ATUL BIOSCIENCE LTD,EC Granted,EC,
1,392,SIA/MH/IND2/152648/2020,SIA/MH/IND2/152648/2020,"Manufacturing of API Products at Plot No. A-13, MIDC Chincholi, Solapur Maharashtra by M/s Levantex Pharmaceuticals",LEVANTEX PHARMACEUTICALS,Rejection Letter Granted,EC,
2,393,SIA/MH/MIN/38071/2016,SEIAA/2016/I/CR10/TC-3,"Minor Mineral proposal: Laterite Stone Quarry of  M/s. Shri Kedarnath Mining & Earthmovers  Co., at At- Savarde Bk (13.00 ha), Tal-Shahuwadi, Dist- Kolhapur",DISTRICT MININING OFFICER KOLHAPUR,Disposed through earlier site ec-ecmpcb-in,EC,
3,394,SIA/MH/MIS/96581/2019,,MADHUVAN 1,MAGARPATTA CITY DEVELOPMENT COMPANY PRIVATE LIMITED,Disposed through earlier site ec-ecmpcb-in,EC,
4,395,SIA/MH/MIS/97452/2019,,MADHUVAN 6,MAGARPATTA CITY DEVELOPMENT COMPANY PRIVATE LIMITED,Disposed through earlier site ec-ecmpcb-in,EC,
5,396,SIA/MH/MIS/211939/2021,SIA/MH/MIS/211939/2021,"Proposed Project ""Le Skylark"" at KarvenagarHingane (Plot C) by M/s. Kakade Green Estate Pvt. Ltd.",KAKADE GREEN ESTATE PVT. LTD.,Delisted,EC,
6,397,SIA/MH/MIS/213359/2021,,MAHAAVIR SUPERSTRUCTURES PVT. LTD,MAHAAVIR HOMES LLP,WithdrawEC,EC,
7,398,SIA/MH/NCP/59254/2016,SEIAA/2017/II/CR-61/TC-3,"“Jogeshwari Shivdarshan SRA CHS Ltd.”
 (Under SRA Scheme) AT
CTS Nos 140, 140/1 to 551 of village Majas, Part III, Jogeshwari (E), K/East ward Mumbai",OMKAR GROUP,Disposed through earlier site ec-ecmpcb-in,EC,
8,399,SIA/MH/MIS/220018/2021,SIA/MH/MIS/220018/2021,"Residential cum commercial construction project ""Sangria""",MARVEL LANDMARKS PVT. LTD.,Delisted,EC,
9,400,SIA/MH/MIN/160221/2020,SIA/MH/MIN/160221/2020,"Khandala sand spot over an extent of 1.0 ha. at Chulbandh River Bed Gut. No. 58 & 59 Khandala  Village, Sakoli Tehsil, Bhandara District, Maharashtra.","OFFICE OF THE COLLECTORATE, BHANDARA",EC Granted,EC,
0,401,SIA/MH/MIS/219551/2021,,Expansion of  residential construction project “Rohan Anand” at Somatane  by M/s. Rohan Builders & Developers  Pvt  Ltd.,M/S.ROHAN BUILDERS AND  DEVELOPERS PVT LTD,WithdrawEC,EC,
1,402,SIA/MH/MIN/145603/2020,SIA/MH/MIN/145603/2020,"Environmental Clearance of Stone Quarry for Gat No 135/1, 135/2/A, 135/2,B, 135/2/D, 135/3, 135/4 Village Vape, Tehsil Bhiwandi, District Thane, Maharashtra by Shri Clive Francis Gonsalves",CLIVE FRANCIS GONSALVES,EC Granted,EC,
2,403,SIA/MH/MIN/32731/2015,SEIAA/2015/I/CR430/TC-3,Hatla sand ghat,COLLECTOR YAVATMAL DISTRICT,Disposed through earlier site ec-ecmpcb-in,EC,
3,404,SIA/MH/MIN/154171/2020,SIA/MH/MIN/154171/2020,Bori Gosavi 1 sand Ghat,DMO YAVATMAL,EC Granted,EC,
4,405,SIA/MH/MIS/58962/2016,SEIAA/2017/II/CR-48/TC-3,Urja World & Urja Cornerstone,URJA DEVELOPERS,Disposed through earlier site ec-ecmpcb-in,EC,
5,406,SIA/MH/MIN/180453/2020,SIA/MH/MIN/180453/2020,"Parsoda Stone Quarry of Sh. Nilesh Devidayal Choursiya Located in Kh No.-39 & 56, Village: Parsoda, Tehsil: Amravati, District: Amravati, Maharashtra over an area of 4.44 Ha.",PARSODA STONE QUARRY OF M/S NILESH DEVIDAYAL CHOURSIYA,Rejection Letter Granted,EC,
6,407,SIA/MH/MIN/169305/2020,SIA/MH/MIN/169305/2020,"Pandhari Stone Quarry of Smt. Savita Satish Jaiswal, located in Kh No. 53, Pandhari Village, Tehsil Achalpur, District Amravati, Maharashtra over an area of 2.71 Ha","PANDHARI STONE QUARRY OF SMT. SAVITA SATISH JAISWAL, KH NO. 53, PANDHARI VILLAGE, TEHSIL ACHALPUR, DISTRICT AMRAVATI, AREA 2.71 HA",Rejection Letter Granted,EC,
7,408,SIA/MH/IND2/51700/1999,SIA/MH/IND2/51700/1999,BEC Chemicals Pvt. Ltd,BEC CHEMICALS PVT LTD,Rejection Letter Granted,EC,
