,Proposal,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
477,SIA/WB/MIN/412358/2022,EN/T-II-1/242/2023,RAIDIH GRANITE MINE,West Bengal,,,Date of Submission for TOR: ,Date of Submission for EC: 03 Feb 2023 ,Non-Coal Mining, WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,ADS by SEAC
478,SIA/WB/INFRA2/409183/2022,EN/T-II-1/089/2022,Residential Building by Avikam Buildcon LLP,West Bengal,,,Date of Submission for EC: 09 Dec 2022 ,Date of Ec Granted : 30 May 2023,INFRA-2, AVIKAM BUILDCON LLP,EC Granted
479,SIA/WB/INFRA2/419459/2023,EN/T-II-1/271/2023,RESIDENTIAL PROJECT,West Bengal,,,Date of Submission for EC: 06 Mar 2023 ,Date of Ec Granted : 18 Jul 2023,INFRA-2, SHITIJ REAL ESTATES LLP,EC Granted
480,SIA/WB/NCP/53030/2016,EN/T-II-1/030/2016,RESIDENTIAL COMPLEX BY AKSHAY VINIMAY PVT. LTD.,West Bengal,Kolkata,Kolkata,Date of Submission for EC: 10 May 2016 ,Date of Ec Granted : 05 Aug 2019,INFRA-1,AKSHAY VINIMAY PRIVATE LIMITED,EC Granted
481,SIA/WB/NCP/60532/2016,EN/T-II-1/080/2016,5 Star Hotels And Service Apartments,West Bengal,Kolkata,Kolkata,Date of Submission for EC: 23 Nov 2016 ,Date of Ec Granted : 08 Dec 2016,INFRA-1,M/S FABWORTH PROMOTERS PRIVATE LTD,EC Granted
482,SIA/WB/MIN/426965/2023,EN/T-II-1/373/2023,Kashipur Sand Mine (MIN_PUR_18),West Bengal,,,Date of Submission for EC: 24 Apr 2023 ,Date of Ec Granted : 28 Jul 2023,Non-Coal Mining,WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,EC Granted
483,SIA/WB/NCP/81180/2018,EN/T-II-1/093/2018,Residential Complex,West Bengal,Hooghly,Serampur Uttarpara,Date of Submission for EC: 04 Oct 2018 ,Date of Ec Granted : 13 Mar 2019,INFRA-1,HAPPY NIKETAN PRIVATE LIMITED,EC Granted
484,SIA/WB/MIN/422343/2023,EN/T-II-1/352/2023,MIN_BNK_32 Sand Mine,West Bengal,,,Date of Submission for EC: 31 Mar 2023 ,Date of Ec Granted : 02 Jun 2023,Non-Coal Mining,WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,EC Granted
485,SIA/WB/INFRA2/412262/2022,EN/T-II-1/050/2022,Proposed Expansion of Residential Complex RISHI PRANAYA by M/s. Rishinox Buildwell LLP,West Bengal,,,Date of Submission for EC: 28 Dec 2022 ,Date of Ec Granted : 07 Jul 2023,INFRA-2,RISHINOX BUILDWELL LLP,EC Granted
486,SIA/WB/MIN/437414/2023,EN/T-II-1/464/2023,Jaypur Sand Mine (MIN_WMED_10),West Bengal,,,Date of Submission for EC: 20 Jul 2023 ,Date of Ec Granted : 05 Oct 2023,Non-Coal Mining,WEST BENGAL MINERAL DEVELOPMENT AND TRADING CORPORATION LIMITED,EC Granted
487,SIA/WB/MIN/408474/2022,EN/T-II-1/092/2022,MANJILAJHAR  Part - 1,West Bengal,,,Date of Submission for TOR: ,Date of Submission for EC: 29 Nov 2022 ,Non-Coal Mining,BIDYUT THAKUR,Rejection Letter Granted
