,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
7,48,SIA/WB/INFRA2/415460/2023,EN/T-II-1/065/2023,Residential Complex By Ullahas Nandini Udyog Pvt. Ltd.,ULLAHAS NANDINI UDYOG PRIVATE LIMITED,Awaiting EC,EC,
8,49,SIA/WB/NCP/58675/2016,EN/T-II-1/063/2016,Residential Cum Commercial Complex,RIYA MANBHARI PROJECTS LLP,EC Granted,EC,
9,50,SIA/WB/MIN/196809/2021,,"Kansra Sand Mine, Basudev Majhi",RAY TECHNO SOLUTIONS,Delisted,EC,
0,51,SIA/WB/NCP/61187/2016,,Proposed Housing Complex at Manikpur,JANHIT INFRASTRUCTURES (P) LTD. & OTHERS,Delisted,EC,
1,52,SIA/WB/MIN/192291/2021,EN/T-II-1/084/2021,Napara & Mashila Brick Earth Mine,M/S SNB BRICKS FIELD,Delisted,EC,
2,53,SIA/WB/MIN/206931/2021,,M/s Isha Brick Field,M/S ISHA BRICK FIELD,WithdrawEC,EC,
3,54,SIA/WB/IND1/400440/2022,EN/T-II-1/159/2021,"4 x 20 Tonnes Induction furnaces with Ladle Refining Furnace, CCM and expansion of Wire Rod/Rolling Mill capacity from 1,20,000 to 2,50,000 TPA",VSP UDYOG PVT. LTD.,EC Granted,EC,
4,55,SIA/WB/MIN/262924/2022,EN/T-II-1/029/2023,Krishnadebpur sand mine on Bhagirathi river,MR. BASIRUDDIN SEIKH,Rejection Letter Granted,EC,
5,56,SIA/WB/IND/31555/2019,EN/T-II-1/020/2019,"Installation of 2 X 20 MT Induction Furnaces with Continuous Caster and 1,48,800MT/Annum Rolling Mill",SHREE RAMDOOT ROLLERS PVT LTD,EC Granted,EC,
6,57,SIA/WB/MIN/262516/2022,EN/T-II-1/130/2023,Dangariai Sand Mine Block MGB 162,SRIKANTA MONDAL - MGB 162,Rejection Letter Granted,EC,
7,58,SIA/WB/MIN/201804/2021,,Gopiballavpur - II Sand Block MGB - 12 of Kanchan Sahoo,KANCHAN SAHOO,Delisted,EC,
8,59,SIA/WB/MIN/232930/2021,,Gopiballavpur - II Sand Block MGB - 1 of Mithu Saha.,MITHU SAHA,Delisted,EC,
9,60,SIA/WB/MIS/89255/2018,EN/T-II-1/006/2019,"Proposed Regional Head Office, Regional Training Centre, Currency Chest & Retail Branch Office for HDFC Bank Limited at New Town, Rajarhat, Kolkata.",HDFC BANK LIMITED,EC Granted,EC,
0,61,SIA/WB/IND2/42446/2018,EN/T-II-1/071/2019,TANDHAN BIOCHEMICALS PRIVATE LIMITED,TANDHAN BIOCHEMICALS PRIVATE LIMITED,EC Granted,EC,
