,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
3308,SIA/GJ/IND2/20573/2017,,M/s. Subhasari Pigments Pvt. Ltd.,Gujarat,Bharuch,Anklesvar,Date of Submission for TOR: ,Date of Submission for EC: 03 Oct 2017 ,Industrial Projects - 2,SUBHASRI PIGMENTS PVT LTD,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/IND2/20573/2017&pid=38799,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/20573/2017&type=EC&ID=38799
3309,SIA/GJ/MIS/18280/2017,SIA/GJ/111611/2018,Panoli Enviro Technology Limited,Gujarat,Bharuch,Anklesvar,Date of Submission for EC: 14 Nov 2018 ,Date of Ec Granted : 10 Jan 2019,INFRA-2,PANOLI ENVIRO TECHNOLOGY LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIS/18280/2017&pid=44029,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/18280/2017&type=EC&ID=44029
3310,SIA/GJ/MIS/179038/2020,SIA/GJ/191610/2020,Residential Cum  Commercial,Gujarat,Ahmedabad,Sanand,Date of Submission for TOR: ,Date of Submission for EC: 26 Oct 2020 ,INFRA-2,SAFAL GOYAL REALTY LLP,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIS/179038/2020&pid=137893,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/179038/2020&type=EC&ID=137893
3311,SIA/GJ/MIN/48488/2016,,Vahanbhai Virabhai Jograna,Gujarat,Surendranagar,Sayla,Date of Submission for TOR: ,Date of Submission for EC: 11 Mar 2016 ,Non-Coal Mining,VAHANBHAI VIRABHAI JOGRANA,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/48488/2016&pid=12318,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48488/2016&type=EC&ID=12318
3312,SIA/GJ/MIN/48511/2016,,Gabhubhai khetabhai Jograna,Gujarat,Surendranagar,Sayla,Date of Submission for TOR: ,Date of Submission for EC: 23 Feb 2016 ,Non-Coal Mining,GABHUBHAI KHETABHAI JOGRANA,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/48511/2016&pid=12341,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48511/2016&type=EC&ID=12341
3313,SIA/GJ/MIN/48519/2016,,Jyotiben J. Vyas,Gujarat,Bharuch,Jhagadia,Date of Submission for TOR: ,Date of Submission for EC: 09 Feb 2016 ,Non-Coal Mining,JYOTIBEN J VYAS,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/48519/2016&pid=12348,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48519/2016&type=EC&ID=12348
3314,SIA/GJ/MIN/39131/2016,SIA/GJ/34001/2016,""" Mr. DIPAKKUMAR PRAVINCHANDRA VYAS""",Gujarat,Surat,Mandvi,Date of Submission for TOR: ,Date of Submission for EC: 12 Jan 2016 ,Non-Coal Mining,DIPAKKUMAR PRAVINCHANDRA VYAS,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/39131/2016&pid=8146,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/39131/2016&type=EC&ID=8146
3315,SIA/GJ/IND2/157111/2020,SIA/GJ/79406/2020,YOGI ENTERPRISE,Gujarat,Ahmedabad,Sanand,Date of Submission for EC: 11 Jun 2020 ,Date of Ec Granted : 12 Nov 2020,Industrial Projects - 2,YOGI ENTERPRISE,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/IND2/157111/2020&pid=111829,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/157111/2020&type=EC&ID=111829
3316,SIA/GJ/MIN/48251/2016,SIA/GJ/49402/2016,HARIDASBHAI GOVINDBHAI BHIMBHA,Gujarat,Rajkot,Upleta,Date of Submission for TOR: ,Date of Submission for EC: 06 Feb 2016 ,Non-Coal Mining,HARIDASBHAI GOVINDBHAI BHIMBHA,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/48251/2016&pid=12086,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/48251/2016&type=EC&ID=12086
3317,SIA/GJ/MIN/41372/2016,SIA/GJ/43701/2016,Black Trap Mining from the lease of Jaysukh Muljibhai Gorani,Gujarat,kutch,Bhuj,Date of Submission for TOR: ,Date of Submission for EC: 18 Jan 2016 ,Non-Coal Mining,JAYSUKH MALJIBHAI GORANI,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Gujarat&pno=SIA/GJ/MIN/41372/2016&pid=10190,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIN/41372/2016&type=EC&ID=10190
