,Unnamed: 0,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
767,768,SIA/HR/NCP/30691/2015,SEIAA/HR/15/247 dated 15.11.2015. You are advised,,MS LOTUS REALTECH PRIVATE LIMITED,EC Granted,EC,, 
768,769,SIA/HR/NCP/30488/2015,,"Commercial cum Residential Colony M/S Pivotal Infrastructure Pvt. Ltd. Village Manesar & Lakhnaula Sector- 81 A, Gurgaon",PIVOTAL INFRASTRUCTURE PVT. LTD.,Delisted,EC,, 
769,770,SIA/HR/IND1/442953/2023,SEIAA/HR/2023/329,"Manufacturing of CRCA sheets and Steel Pipes by Prompt Enterprises PVT Ltd at Village Dhatir & Dudhola, Palwal",PROMPT ENTERPRISES PRIVATE LIMITED,Deferred by SEAC,EC,, 
770,771,SIA/HR/NCP/75998/2018,SEIAA/HR/18/ 449 dated 30.07.2018,"Expansion cum modification of Commercial colony at Village-Badshahpur, Sector-65, Gurgaon, Haryana",ADVANCE INDIA PROJECTS LIMITED,EC Granted - Processed offline,EC,, 
771,772,SIA/HR/INFRA2/415625/2023,SEIAA/HR/2023/309,"Expansion of Affordable Group Housing Colony At Village-Nawada Fatehpur, Sector – 81, Gurugram, Haryana  By M/s GLS Infracon Pvt. Ltd. and others",M/S GLS INFRACON PVT. LTD.,EC Granted,EC,, 
772,773,SIA/HR/NCP/30485/2015,,,REVITAL REALITY PVT LTD,Delisted,EC,, 
773,774,SIA/HR/INFRA2/434074/2023,SEIAA/HR/2023/359,"Expansion of Affordable Group Housing Colony Project at Rect. No.: 22//5(8-0), 6/1/1(7-13), 23//9/2(0-8), 10(8-0), 11/1(6-4), 12(8-0), 19/1/1(2-13), 21/2(1-18), 19/3/2(1-13), 22(2-6), 20/2/1(7-13), 18/2(2-2), 21/1(6-0), 26//5 min(7-17), 6(6-7), 25//1/1/1(3-6). Rect. No.: 22//24 (6-16), 22//25(7-8-0) & 26//5 min (0-3). Village-Babupur , Sector-106 Gurugram, Haryana by M/s MRG Castle Reality LLP",MRG CASTLE REALITY LLP,EC Granted,EC,, 
774,775,SIA/HR/MIS/104089/2019,SEIAA/HR/19/56,Warehouse/ Industrial Storage/ Logistics Park,"INDOSPACE LUHARI 3A PVT. LTD.,  INDOSPACE LUHARI 3B PVT. LTD.,  INDOSPACE LUHARI 3C PVT. LTD., INDOSPACE LUHARI 3D PVT. LTD., INDOSPACE LUHARI 3E PVT. LTD., & INDOSPACE LUHARI 3F PVT. LTD.",EC Granted,EC,, 
775,776,SIA/HR/MIS/240005/2021,SEIAA/HR/2022/229,WAREHOUSE PROJECT,M/S AVON PROPERTIES PRIVATE LIMITED,EC Granted,EC,, 
776,777,SIA/HR/MIS/141384/2020,SEIAA/HR/2020/258,Expansion of Non-Agro Warehouse Project,"KULDEEP, DEEPAK AND OTHERS",EC Granted,EC,, 
777,778,SIA/HR/MIN/197799/2021,SEIAA/HR/MIN/21/14,"Total Area: 3.35 Ha Mining of minor mineral (Marble Mining) at Village –Bayal,  Tehsil- Nangal Chaudhary District- Mahendragarh, State- Haryana.",SATISH KUMAR GARG,EC Granted,EC,, 
778,779,SIA/HR/MIS/217300/2021,,"Expansion of Affordable Residential Plotted Colony Project under DDJAY at Village-Nakhrola, Sector-81, Gurugram, Haryana",M/S STERNAL BUILDCON PVT LTD,WithdrawEC,EC,, 
779,780,SIA/HR/NCP/66123/2017,SEIAA/HR/17/340 dated 20.07.2017,Warehouse (multipurpose) Project,ZURVAN INDUSTRIES PVT LTD,EC Granted - Processed offline,EC,, 
780,781,SIA/HR/NCP/71457/2017,SEIAA/HR/17/371 dated 15.12.2017,Expansion cum Modification of Group Housing by M/s Godrej Developers and Properties LLP,GODREJ DEVELOPERS AND PROPERTIES LLP,EC Granted - Processed offline,EC,, 
781,782,SIA/HR/NCP/25726/2018,SEIAA/HR/18/ 407 dated 23.04.2018.,"Township project 470.673 Acres in Sector-21 & 22, Sirsa, Haryana by Haryana Urban Development Authority",HARYANA URBAN DEVELOPMENT AUTHORITY DIV NO II,Delisted,EC,, 
782,783,SIA/HR/NCP/56770/2016,SEIAA/HR/16/282 dated 08.07.2016. Please submit th,Multilevel Car Parking at Sector 29 Gurgaon,INTERNATIONAL INFRABUID PRIVATE LIMITED,EC Granted,EC,, 
783,784,SIA/HR/MIS/31320/2019,,,"INDOSPACE LUHARI 3A PVT. LTD.,  INDOSPACE LUHARI 3B PVT. LTD.,  INDOSPACE LUHARI 3C PVT. LTD., INDOSPACE LUHARI 3D PVT. LTD., INDOSPACE LUHARI 3E PVT. LTD., & INDOSPACE LUHARI 3F PVT. LTD.",Delisted,EC,, 
784,785,SIA/HR/NCP/64381/2017,SEIAA/HR/17/331 dated 09.05.2017,WarehouseProject,GLS LOGISTICS PRIVATE LIMITED.,EC Granted,EC,, 
785,786,SIA/HR/MIS/31318/2019,"SEIAA/HR/19/17

Hard Copy to be submitted",Common Bio Medical Waste Treatment Facility (CBWTF)-Mewat,M/S SYNERGY  WASTE MANAGEMENT PVT. LTD,Delisted,EC,, 
786,787,SIA/HR/NCP/28300/2018,SEIAA/HR/18/409 dated 23.04.2018,,DLF CITY CENTRE LIMITED,EC Granted - Processed offline,EC,, 
787,788,SIA/HR/MIS/38022/2016,File no. SEIAA/HR/16/260 dated 19.02.2016.,"Group Housing Colony at sec-7A, vill-Dharuhera, Rewari, Haryana.",DREAM MERCHANT PROMOTERS PVT LTD,EC Granted,EC,, 
788,789,SIA/HR/NCP/75866/2018,,"Development of Residential Colony (5.225 acres) under Deen Dayal Jan Awas Yojna (DDJAY), at village Mohammadpur Gujar, Sector 35, Sohna, Dist. Gurugram, Haryana",FAITH BUILDTECH PVT LTD,Delisted,EC,, 
789,790,SIA/HR/MIS/30693/2015,,"Affordable Group Housing colony  by M/s Arete Indiia Projects Pvt. Ltd. at Village-Sohna, Sector- 6, of Sohna distt. Gurgaon, Haryana",ARETE INDIA PROJECT PVT LTD,Delisted,EC,, 
