,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
5065,SIA/MP/MIN/49569/2019,6225/2019,Rafadpur Stone (Gitti) Quarry,Madhya Pradesh,Gwalior,Gwalior,Date of Submission for EC: 10 Jan 2020 ,Date of Ec Granted : 09 Mar 2020,Non-Coal Mining,SHRI NAVAL KISHORE GUPTA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/49569/2019&pid=84435,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/49569/2019&type=EC&ID=84435
5066,SIA/MP/MIN/154371/2020,7116/2020,Akola Sand Quarry,Madhya Pradesh,Alirajpur,No Data,Date of Submission for EC: 27 May 2020 ,Date of Ec Granted : 18 Jun 2020,Non-Coal Mining,SHRI VIRENDRA SINGH JADOUN,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/154371/2020&pid=106081,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/154371/2020&type=EC&ID=106081
5067,SIA/MP/MIN/154377/2020,7133/2020,Aamkhoot Sand Quarry,Madhya Pradesh,Alirajpur,No Data,Date of Submission for EC: 02 Jun 2020 ,Date of Ec Granted : 18 Jun 2020,Non-Coal Mining,SHRI VIRENDRA SINGH JADOUN,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/154377/2020&pid=106084,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/154377/2020&type=EC&ID=106084
5068,SIA/MP/MIN/53736/2020,7331/2020,Jura Stone Quarry Lease,Madhya Pradesh,Satna,Maihar,Date of Submission for EC: 22 Jun 2020 ,Date of Ec Granted : 21 Aug 2020,Non-Coal Mining,M/S SHIVAM STONE CRUSHER,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/53736/2020&pid=111719,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/53736/2020&type=EC&ID=111719
5069,SIA/MP/MIS/173958/2020,,Common Bio Medical Waste Treatment Facility,Madhya Pradesh,Ujjain,Ghatiya,Date of Submission for TOR: ,Date of Submission for EC: 18 Sep 2020 ,INFRA-2,M/S SUNFLUENCE LABS,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIS/173958/2020&pid=130585,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIS/173958/2020&type=EC&ID=130585
5070,SIA/MP/MIN/174280/2020,7911/2020,Surajpur River Sand Quarry,Madhya Pradesh,Chhatarpur,Chandla,Date of Submission for EC: 20 Sep 2020 ,Date of Ec Granted : 12 Feb 2021,Non-Coal Mining,M/S ANADESHWAR AGRO FOODS PRIVATE LIMITED AUTHORIZED PERSON SHRI RAVINDRA SINGH BUNDELA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/174280/2020&pid=130663,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/174280/2020&type=EC&ID=130663
5071,SIA/MP/MIN/241070/2021,,Khamhi Ryt Crusher Stone Quarry of Smt Usha Thakur,Madhya Pradesh,Dindori,Dindori,Date of Submission for TOR: ,Date of Submission for EC: 03 Dec 2021 ,Non-Coal Mining,USHA THAKUR,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/241070/2021&pid=193880,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/241070/2021&type=EC&ID=193880
5072,SIA/MP/MIN/42351/2016,,"BAHERA STONE DEPOSIT QUARRY KH.NO.-233
VILLAGE- BAHERA
TEHSIL- GOPAD
DISTRICT- SIDHI
MP
AREA- 1.000 HECTARE
PRODUCTION- 8320 CUM/YEAR
KHASRA NO.- 233
LESSEE- SHRI JAI BAHADUR SINGH
R/O- DAKSHIN KARONDIYA
TEHSIL- GOPAD
DISTRICT- SIDHI
MP",Madhya Pradesh,Sidhi,Gopadbanas,Date of Submission for TOR: ,Date of Submission for EC: 26 Jan 2016 ,Non-Coal Mining,KANCHAN MINERALS,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/42351/2016&pid=11100,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/42351/2016&type=EC&ID=11100
5073,SIA/MP/MIN/35960/2015,,Environmental Clearance for Bibrod Stone crusher Deposit Shri Sunil jain S/o Shri Kantilal Jain Resi. 7/548 Kasturba Nagar Ratlam Distt. Ratlam(MP) ,Madhya Pradesh,Ratlam,Ratlam,Date of Submission for TOR: ,Date of Submission for EC: 05 Apr 2016 ,Non-Coal Mining,MINING,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/35960/2015&pid=5094,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/35960/2015&type=EC&ID=5094
5074,SIA/MP/MIN/52162/2016,,Peera Stone Mine,Madhya Pradesh,Chhatarpur,Rajnagar,Date of Submission for TOR: ,Date of Submission for EC: 25 Mar 2016 ,Non-Coal Mining,DD MINERAL,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Madhya%20Pradesh&pno=SIA/MP/MIN/52162/2016&pid=15826,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MP/MIN/52162/2016&type=EC&ID=15826
