,Unnamed: 0,X,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
7040,7041,3,SIA/MP/MIN/33618/2015,,"BILAPURA STONE MINING AREA - 0.956 HECT KH NO 89/7 , 91/4 AT VILL BILAPURA TH - PACHORE DISST - RAJGARGH MP LESSEE SHRI ANSHU MANGAL RAJGARGH MP",SHRI ANSHUL MANGAL,Delisted,EC,, 
7041,7042,4,SIA/MP/MIN/432135/2023,10598/2023,Mathni Sand Mine Quarry,PRAMOD DHABAI,Agenda Uploaded by SEIAA,EC,, 
7042,7043,5,SIA/MP/MIN/429747/2023,,KATRRA RIVER SAND QUARRY,DAMMU RAIKWAR,Pending at PP due to eds,EC,, 
7043,7044,6,SIA/MP/MIN/48731/2016,,"project Titor Crusher Stone  Quarry Deposit  Khasra no. 117/1 in  Village – Titor , Tehsil – Mungawali & District – Ashok Nagar Mr.Madhp singh katariya, S/o Shri tufan singh katariya   Res. – Titor,Tehsil- Mungawali, District – Ashoknagar",DHEERAJ ASSOCIATE MINING,Delisted,EC,, 
7044,7045,7,SIA/MP/MIN/37100/2015,,Nayagaon Stone (Gitty) Quarry,SHRI RAM SHARMA,Delisted,EC,, 
7045,7046,8,SIA/MP/MIN/94489/2019,5863/2019,Marble (Dimension Stone) Quaary Village Agrabujurg,SHIVAY MINERALS,EC Granted,EC,, 
7046,7047,9,SIA/MP/MIN/449015/2023,,NARELA STONE QUARRY,RAJESH NAGAR,Pending at PP due to eds,EC,, 
7047,7048,5,SIA/MP/MIN/415422/2023,9680/2023,Hansai Mewada Soil Quarry,SANTOSHEE DEVEE,EC Granted,EC,, 
7048,7049,6,SIA/MP/MIN/432980/2023,10213/2023,Mining of Semli  (Khajpur) Sand Deposit,RAJEEV SAXENA,EC Granted,EC,, 
7049,7050,7,SIA/MP/MIN/433327/2023,10590/2023,Sondwa Stone Quarry,LOKESH PATIDAR,ADS by SEAC,EC,, 
7050,7051,8,SIA/MP/MIN/90405/2019,,"kheriya keshar stone quarry
area 6.0 ha production 203742 cu m",DHEERAJ ASSOCIATE MINING,Delisted,EC,, 
7051,7052,9,SIA/MP/MIN/408916/2022,6768/2019,"PROPOSED BHARVELI, AWALAJHARI MANGANESE MINE OVER AN EXTENT OF 76.409 HECTARES",MOIL LIMITED NAGAPUR,EC Granted,EC,, 
7052,7053,10,SIA/MP/MIN/422789/2023,9804/2023,Bhanjakhedi River Sand Quarry,VISHWAS PARMANI,EC Granted,EC,, 
7053,7054,3,SIA/MP/MIN/36889/2019,,SAMNAPUR KALAN CRUSHER STONE QUARRY,SAMNAPUR KALAN CRUSHER STONE QUARRY,Delisted,EC,, 
7054,7055,4,SIA/MP/MIS/106767/2019,5708/2018,Pride City Phase - II of M/s. Sterling Balajee Mega Ventures,M/S. STERLING BALAJEE MEGA VENTURES,EC Granted,EC,, 
7055,7056,5,SIA/MP/MIN/42818/2019,,jura quarry lease,MS SHIVAM STONES CRUSHER,Delisted,EC,, 
7056,7057,8,SIA/MP/MIN/440201/2023,11074/2023,Satari Stone Mine,MAHESH CHAURASIA,Under examination of SEAC,EC,, 
7057,7058,1,SIA/MP/MIN/436075/2023,10633/2023,"Jhiranya Unhel Sand Quarry; Quarry lease area 1.0 Ha, Production 2000 m3/year at Khasra No. 01, Village- Jhiranya Unhel, Tehsil- Nagda, District- Ujjain, State- Madhya Pradesh by The Madhya Pradesh State Mining Corporation Ltd",DINESH SHARMA,EC Granted,EC,, 
7058,7059,2,SIA/MP/MIN/204257/2021,8526/2021,Gowai Stone Quarry,SHIVENDRA PRATAP SINGH TOMAR,EC Granted,EC,, 
7059,7060,3,SIA/MP/MIN/226179/2021,8646/2021,Semalkhedi Stone & Murrum Quarry,GHV (INDIA) PVT LTD,EC Granted,EC,, 
7060,7061,4,SIA/MP/MIN/275598/2022,9215/2022,Mominpura Stone Quarry,NILESH,EC Granted,EC,, 
7061,7062,1,SIA/MP/MIN/430718/2023,10531/2023,MURGAKHEDA RIVER SAND QUARRY,SHASHI SINGH,EC Granted,EC,, 
7062,7063,2,SIA/MP/MIN/80896/2018,5776/18,Kishanpura Stone Deposit,KHAJURAHO INFRASTRUCTURE PVT LTD,EC Granted,EC,, 
7063,7064,3,SIA/MP/IND1/441943/2023,9913/2023,"Regularization of Existing Production Facilities for Steel Wires of Capacity 180000 TPA [Seeking EC for regularization of existing CTE Capacity as per NGT Order dtd. 12.02.2020 and MoEFCC, Notification S.O. 3250(E) dtd. 20.07.2022] At Plot No. 158 & 158A, Sector-III, Industrial Area Pithampur, Tehsil & District : Dhar, Madhya Pradesh – 454775 by M/s. Tata Steel Limited",M/S. TATA STEEL LIMITED,Agenda Uploaded by SEAC,EC,, 
7064,7065,4,SIA/MP/MIN/449900/2023,,Bachai Crusher Stone of Shri Mithilesh Singh Rajput,MITHLESH RAJPUT,Pending at PP due to eds,EC,, 
7065,7066,5,SIA/MP/MIN/93250/2019,5868/2019,Parsuwa Crusher Stone Quarry Lease of Shri Ramesh Prsad Rai S/o Shri Phoolchand Rai,RAMESH PRASAD RAI,EC Granted,EC,, 
7066,7067,7,SIA/MP/MIN/37359/2015,,"project Jakhoda Flooring  Stone  
at Khasra no. 1814 in  Village – Jakhoda, Tehsil – Ghatigaon & District – Gwalior.
Mr.Nawab Singh Lodhi, S/o Shri Tulsi Singh Lodhi  Res. –Purpipari ,Tehsil-Ater, District –Bhind",DHEERAJ ASSOCIATE MINING,Delisted,EC,, 
7067,7068,8,SIA/MP/MIN/434147/2023,10048/2023,BINDULI SAND QUARRY,RAMESH BHUMARKAR,EC Granted,EC,, 
7068,7069,9,SIA/MP/MIN/442577/2023,9640/2022,Khedaviran Quartz And Silica Sand Mine,GWALIOR STONE INDUSTRIES,EC Granted,EC,, 
7069,7070,10,SIA/MP/MIN/416991/2023,9807/2023,Badgunwa Flag Stone Quarry Project,UTTAM LODHI,EC Granted,EC,, 
7070,7071,1,SIA/MP/MIN/128654/2019,,dagrai murrum deposit,MS DIAMOND CONSTRUCTION COMPANY,Delisted,EC,, 
7071,7072,1,SIA/MP/MIN/33024/2019,6055/2019,Bilda Metal Stone Quarry,NARAYAN DODWE,EC Granted,EC,, 
7072,7073,2,SIA/MP/MIS/33079/2018,5751/2018,Silver Estate Vertica,SILVER ESTATE VERTICA,EC Granted,EC,, 
7073,7074,3,SIA/MP/MIN/33209/2019,6257/2019,phattepur sand quarry,CHARAN CONSTRUCTION,Delisted,EC,, 
7074,7075,8,SIA/MP/MIN/181871/2020,8158/2021,Magarhata Dolomite Mine,BHARGAVA MINERALS,EC Granted,EC,, 
7075,7076,9,SIA/MP/MIN/34611/2019,6282/2019,Chandbad Kadeem Stone Quarry,M/S NARMADA MINERALS,EC Granted,EC,, 
7076,7077,5,SIA/MP/MIN/418955/2023,9761/2023,Pipariya Ghan Crusher Stone (Gitti and M-Sand Quarry),ASHISH PATHAK,EC Granted,EC,, 
7077,7078,6,SIA/MP/MIN/454089/2023,10996/2023,Kaalbarad Stone Quarry,BHUPENDRA TOMAR,Under examination of SEAC,EC,, 
7078,7079,7,SIA/MP/MIN/35338/2015,,"Environmental Clearance for Jamuniya Crusher Stone Deposit Shri rajendra tamarkar S/o Shri Babu Lal tamarkar 
Resi. Purana Bazar No. 01 Th- Damoh Distt. Damoh  (MP)",MINING,Delisted,EC,, 
7079,7080,8,SIA/MP/MIN/432999/2023,10359/2023,Mukhtyara Stone Quarry,VIMAL,EC Granted,EC,, 
7080,7081,9,SIA/MP/MIN/36296/2015,,"Environmental Clearance Mahgawan metal Stone Deposit M/s Shoani Stone Crusher Pro. Shri Jasmeet Singh Mayall
Resi. MIG-9,Hathital Colony Tehsil- Jabalpur Jabalpur (M.P)",MINING,Delisted,EC,, 
7081,7082,10,SIA/MP/MIN/445328/2023,"Kindly upload Payment receipt, Affidavit of PP, La",Baijnath Stone Quarry,ARUNENDRA PAYASI,Delisted,EC,, 
7082,7083,9,SIA/MP/MIN/256399/2022,9066/2022,JHUMTA METAL STONE QUARRY,SHIV TRIPATHI,EC Granted,EC,, 
7083,7084,1,SIA/MP/MIN/36564/2015,,Malikhedi Metal Stone Quarry Of Smt Kiran Sharma W/o Shri Sudhir Sharma,KIRAN SHARMA,Delisted,EC,, 
7084,7085,2,SIA/MP/MIN/453520/2023,,Chakjairampur Stone Quarry of Shri Suresh Singh Bhatiya,SURESH BHATIYA,Pending at PP due to eds,EC,, 
7085,7086,1,SIA/MP/MIN/219352/2021,8706/2021,Morwa Crusher Stone Mine,ASHISH GOSWAMI,EC Granted,EC,, 
7086,7087,9,SIA/MP/MIN/32299/2019,6189/2019,M/s Dadaji stone crusher,M/S DADAJI STONE CRUSHER,EC Granted,EC,, 
7087,7088,10,SIA/MP/MIN/32527/2019,5983/19,Crusher Stone Quarry Village Jaanpur Bawadiya,SHAILENDRA GAUR,EC Granted,EC,, 
7088,7089,7,SIA/MP/MIN/433132/2023,10527/2023,RAJGHAT PIPARIYA RIVER SAND QUARRY,RAMESH BHUMARKAR,EC Granted,EC,, 
7089,7090,3,SIA/MP/MIN/450089/2023,9562/2022,Sanwaliyarundi Stone Quarry,RAHUL TANK,Agenda Uploaded by SEAC,EC,, 
7090,7091,4,SIA/MP/MIN/94088/2019,5858/19,"Environmental Clearance for Putti Sand Mine, Village - Putti, Gram Panchayat - Putti, Tehsil - Dabra & District – Gwalior (M.P.), Area – 4.980 Hectare, Khasra No. 552, PP - Gram Panchayat - Putti",GRAM PANCHAYAT PUTTI,EC Granted,EC,, 
