,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
36,SIA/GJ/IND2/174672/2020,SIA/GJ/157009/2020,Gujarat,Rajkot,Kotda Sangani,Date of Submission for EC: 22 Sep 2020 ,Date of Ec Granted : 02 Jul 2021,Industrial Projects - 2,Mr. Dipak N. Mehta,EC Granted
37,SIA/GJ/IND3/230289/2021,SIA/GJ/185609/2021,Gujarat,Bharuch,Anklesvar,Date of Submission for TOR: ,Date of Submission for EC: 24 Nov 2021 ,Industrial Projects - 3,M/S BHAVANI INTERCHEM PVT LTD,WithdrawEC
38,SIA/GJ/MIS/236771/2021,SIA/GJ/218811/2021,Gujarat,Ahmedabad,Ahmedabad City,Date of Submission for EC: 01 Nov 2021 ,Date of Ec Granted : 05 Jul 2022,INFRA-2,GANESH EMPIRE,EC Granted
39,SIA/GJ/MIN/71487/2019,SIA/GJ/13101/2022,Gujarat,Narmada,Nandod,Date of Submission for TOR: ,Date of Submission for EC: 27 Jan 2022 ,Non-Coal Mining,SHRIMATI AMISHABEN BHADRESHBHAI VASAVA,Delisted
40,SIA/GJ/MIN/34620/1900,,Gujarat,kutch,Bhuj,Date of Submission for TOR: ,Date of Submission for EC: 11 Apr 2019 ,Non-Coal Mining,SANJAYKUMAR K THAKKAR,Query raised by SEIAA and pending at PP
41,SIA/GJ/IND2/220717/2021,SIA/GJ/129808/2021,Gujarat,Valsad,Pardi,Date of Submission for TOR: ,Date of Submission for EC: 19 Jul 2021 ,Industrial Projects - 2,VITAL HEALTH CARE PVT. LTD.,Delisted
42,SIA/GJ/IND2/66489/2019,SIA/GJ/134508/2021,Gujarat,Bharuch,Vagra,Date of Submission for EC: 25 Sep 2021 ,Date of Ec Granted : 22 Mar 2022,Industrial Projects - 2,M/S. SHRI HARI CHEMICALS,EC Granted
43,SIA/GJ/IND2/178649/2020,SIA/GJ/189110/2020,Gujarat,Bharuch,Vagra,Date of Submission for TOR: ,Date of Submission for EC: 12 Oct 2020 ,Industrial Projects - 2,HONEST BIO-VET PVT. LTD. (UNIT –I),WithdrawEC
44,SIA/GJ/MIS/132280/2019,SIA/GJ/136812/2019,Gujarat,Ahmedabad,Ahmedabad City,Date of Submission for EC: 19 Dec 2019 ,Date of Ec Granted : 16 Mar 2020,INFRA-2,VISHNUBHAI V PATEL,EC Granted - Processed offline
45,SIA/GJ/MIS/127948/2019,SIA/GJ/130912/2019,Gujarat,Gandhinagar,Gandhinagar,Date of Submission for EC: 27 Nov 2019 ,Date of Ec Granted : 05 Jun 2020,INFRA-2,MAHARAJA DEVELOPERS,EC Granted - Processed offline
46,SIA/GJ/IND2/170334/2020,SIA/GJ/133809/2020,Gujarat,Bharuch,Anklesvar,Date of Submission for EC: 29 Aug 2020 ,Date of Ec Granted : 10 Feb 2021,Industrial Projects - 2,LORENZ PHARMA,EC Granted
47,SIA/GJ/IND2/175647/2020,SIA/GJ/169109/2020,Gujarat,Bharuch,Vagra,Date of Submission for EC: 26 Sep 2020 ,Date of Ec Granted : 02 Jul 2021,Industrial Projects - 2,M/S. METRIX LIFE SCIENCES,EC Granted - Processed offline
48,SIA/GJ/IND2/175673/2020,SIA/GJ/169709/2020,Gujarat,Anand,Khambhat,Date of Submission for EC: 05 Dec 2020 ,Date of Ec Granted : 02 Jun 2021,Industrial Projects - 2,M/S. CAMBAY ORGANICS PVT. LTD.,EC Granted
49,SIA/GJ/IND2/32099/2019,SIA/GJ/128612/2019,Gujarat,Bharuch,Vagra,Date of Submission for EC: 16 Jan 2020 ,Date of Ec Granted : 09 Jun 2020,Industrial Projects - 2,SANTOSH INDUSTRIES,EC Granted - Processed offline
50,SIA/GJ/IND2/193906/2021,SIA/GJ/6601/2021,Gujarat,Anand,Khambhat,Date of Submission for EC: 19 Jan 2021 ,Date of Ec Granted : 07 Jul 2022,Industrial Projects - 2,M/S. ZEPHYR SYNTHESIS PVT. LIMITED,EC Granted
51,SIA/GJ/MIS/96801/2019,,Uttar Pradesh,Bijnor,Bijnor,Date of Submission for EC: 25 Apr 2019 ,Date of Ec Granted : 12 Jul 2019,INFRA-2,KISHORSINH SOLANKI,EC Granted - Processed offline
52,SIA/GJ/MIS/97060/2019,,,,,Date of Submission for TOR: ,Date of Submission for EC: 23 Feb 2019 ,INFRA-2,CIVIL HOSPITAL,Delisted
53,SIA/GJ/MIN/31827/2016,SIA/GJ/40404/2019,,,,Date of Submission for EC: 03 Apr 2019 ,Date of Ec Granted : 28 Apr 2022,Non-Coal Mining,SHREE LALJI VIRAJI PATEL,EC Granted
54,SIA/GJ/MIS/145284/2020,SIA/GJ/25603/2020,Gujarat,Surat,Chorasi,Date of Submission for TOR: ,Date of Submission for EC: 26 Feb 2020 ,INFRA-2,MR. KISHORBHAI R. BALDANIYA,Delisted
55,SIA/GJ/IND2/163074/2020,SIA/GJ/98807/2020,Gujarat,Bharuch,Valia,Date of Submission for EC: 13 Jul 2020 ,Date of Ec Granted : 16 Dec 2020,Industrial Projects - 2,INTAS PHARMACEUTICALS LTD,EC Granted
56,SIA/GJ/IND2/163344/2020,SIA/GJ/98507/2020,Gujarat,Surat,Mangrol,Date of Submission for TOR: ,Date of Submission for EC: 08 Sep 2020 ,Industrial Projects - 2,VASOYA INDUSTRIES PVT LTD,WithdrawEC
57,SIA/GJ/IND2/163387/2020,SIA/GJ/100007/2020,Gujarat,Bharuch,Vagra,Date of Submission for EC: 14 Jul 2020 ,Date of Ec Granted : 31 Dec 2020,Industrial Projects - 2,M/S. TRIJAL INDUSTRIES,EC Granted - Processed offline
58,SIA/GJ/IND2/165269/2020,SIA/GJ/107108/2020,Gujarat,Surat,Mangrol,Date of Submission for TOR: ,Date of Submission for EC: 15 Sep 2020 ,Industrial Projects - 2,M/S. WORLD KITCHEN PRODUCTS (API - BULK DRUGS & ITS INTERMEDIATES UNIT),Delisted
59,SIA/GJ/IND2/205022/2021,SIA/GJ/61603/2021,Gujarat,Vadodara,Savli,Date of Submission for EC: 31 Mar 2021 ,Date of Ec Granted : 02 Jul 2022,Industrial Projects - 2,M/S. SUPRA INTERCHEM,EC Granted
60,SIA/GJ/IND3/247367/2021,SIA/GJ/261112/2021,Gujarat,Gandhinagar,Kalol,Date of Submission for EC: 25 Dec 2021 ,Date of Ec Granted : 01 Jun 2022,Industrial Projects - 3,D.G. CORP INDIA,EC Granted
61,SIA/GJ/IND3/70520/2021,SIA/GJ/254212/2021,Gujarat,Bharuch,Anklesvar,Date of Submission for EC: 11 Jan 2022 ,Date of Ec Granted : 02 Jul 2022,Industrial Projects - 3,MUGAT DYE CHEM,EC Granted
