,Unnamed: 0,X,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
915,916,1,SIA/JH/MIN/221640/2021,EC/SEIAA/2021-22/2387/2021,DHAWADANGA STONE MINE OF M/S SHIV SHAKTI STONE WORKS,DHAWADANGA STONE MINE OF M/S SHIV SHAKTI STONE WORKS,EC Granted,EC,, 
916,917,4,SIA/JH/MIN/43482/2019,EC/SEIAA/2018-19/2180/2019,SALBONAPAHAR STONE MINE,SALBONAPAHAR STONE MINE      SHRI HARADHAN VERMA,EC Granted,EC,, 
917,918,3,SIA/JH/MIS/105500/2019,EC/SEIAA/2018-19/2129/2019,"All India Institute of Medical Science (AIIMS), Deoghar",NBCC (INDIA) LIMITED,EC Granted,EC,, 
918,919,7,SIA/JH/MIN/243549/2021,EC/SEIAA/2021-22/2546/2022,"Katekewa Stone Mine  at Mouza– Katekewa, Sub Division- Rajmahal, District- Sahebganj, State- Jharkhand, over an area of 2.18 Hectares (5.40 Acres)",NIRMAL JHUNJHUNWALA STONE MINES,EC Granted,EC,, 
919,920,6,SIA/JH/MIN/422710/2023,422710,Mahajori Stone Mine,SHATRUGHAN MANDAL,EC Granted,EC,, 
920,921,7,SIA/JH/MIN/446269/2023,EC/SEIAA/2023-24/2965/2023,Hathigarh Stone Mine (Area- 2.37 ha.),MD ANSARI,EC Granted,EC,, 
921,922,8,SIA/JH/INFRA2/403054/2022,EC/SEIAA/2022-23/2666/2022,"Residential Complex ""Skyline""",SURENDER SINGH,EC Granted,EC,, 
922,923,9,SIA/JH/MIN/66941/2017,,"Chapandey Stone Mine
(Minor Mineral), Area 6.33 Acres (2.56 ha)",MS RP SHARMA AND SONS,Delisted,EC,, 
923,924,10,SIA/JH/MIN/448773/2023,EC/SEIAA/2023-24/3030/2023,Hardag Stone Deposit,MANJUSHA LAL,EC Granted,EC,, 
924,925,5,SIA/JH/MIN/250838/2022,EC/SEIAA/2021-22/2468/2021,MUNDALI STONE MINE,CRYSTAL CONSULTANTS,EC Granted,EC,, 
925,926,6,SIA/JH/MIN/251582/2022,EC/SEIAA/2021-22/2476/2021,Shankardih Stone Deposit (Area 3.19 Acres or 1.29 Hectare),M/S SHRI SHANKAR STONE MINES,EC Granted,EC,, 
926,927,7,SIA/JH/MIS/290266/2022,EC/SEIAA/2022-23/2642/2022,Group housing project Asatha Majestic Agneya and Rudra block,M/S RUKMANI PROPERTY PROJECT PVT. LTD,EC Granted,EC,, 
927,928,8,SIA/JH/MIN/270641/2022,EC/SEIAA/2022-23/2584/2022,UMAKANT PRASAD JAISWAL STONE MINE,UMAKANT JAISWAL,EC Granted,EC,, 
928,929,1,SIA/JH/MIN/194180/2021,EC/SEIAA/2021-22/2352/2021,HANSEBARI STONE MINE,MS CRYSTAL CONSULTANTS,EC Granted,EC,, 
929,930,2,SIA/JH/MIN/201385/2021,,"Proposed Nawadih Stone Deposit (Minor Mineral), In AT Village - Nawadih, P.S. - Peterwar, District- Bokaro (Jharkhand) Over An Area Of 4.0 Acres/1.61 Ha.",TIRUPATI STONE MINES,Delisted,EC,, 
930,931,6,SIA/JH/IND/25007/2018,EC/SEIAA/2018-19/2083/2019,Ramkrishna Forgings Limited (Plant 1),RAMKRISHNA FORGINGS LIMITED,EC Granted,EC,, 
931,932,8,SIA/JH/MIN/201836/2021,,"Betakocha Brick Clay Mining Village- Betakocha, P.S. Ghatsila, P.S. No-1142, District- East- Singhbhum, Jharkhand",M/S B.N.P. BRICKS,Delisted,EC,, 
932,933,9,SIA/JH/MIN/187295/2020,,"Brick Soil Mining For M/s B.K.S. Bricks in Mouza Malsiring, Area 2.08 Acres",CRYSTAL CONSULTANTS,Delisted,EC,, 
933,934,10,SIA/JH/MIN/190120/2020,,BAILIYA EARTH BRICK/SOIL MINING PROJECT OF M/s TARA BRICKS,VISION EARTH CONSULTANCY,Delisted,EC,, 
934,935,4,SIA/JH/MIN/218535/2021,EC/SEIAA/2021-22/2381/2021,BINDERI BANDARKOLA STONE MINE,CRYSTAL CONSULTANTS,EC Granted,EC,, 
935,936,5,SIA/JH/MIN/37828/2019,,Mandramo Stone Mine,MS BABA STONE,WithdrawEC,EC,, 
936,937,10,SIA/JH/MIS/287703/2022,EC/SEIAA/2022-23/2631/2022,Residential Cum Commercial Project “palm Hills”,PARITOSH KESHRI,EC Granted,EC,, 
937,938,2,SIA/JH/MIN/269291/2022,EC/SEIAA/2022-23/2606/2022,Sosomuli Stone Deposit of Ms Leading Construction,JAI SINGH,EC Granted,EC,, 
