,Unnamed: 0,X...,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
9302,9303,5,SIA/RJ/MIN/435335/2023,19500,"EC Reappraisal from DEIAA To SEIAA/SEAC due to the Compliance of order dated 07.12.2022 passed by Hon’ble NGT in O.A.142 of 2022 of  Proposed China Clay Mine Firozpura Charna Chaina  Near Village-Firozpura Charna, Tehsil-Mundwa District-Nagaur, State –Rajasthan, Lease Area– 4.00 Hect.  ( Proposed Production – 30000 TPA",LOKESH,Delisted,EC,, 
9303,9304,6,SIA/RJ/MIN/444893/2023,19207,Sugaliya Sindhlan Granite Applied ML Area (Ref. No.: 20231000081000),MUKESH KUMAR,EC Granted,EC,, 
9304,9305,7,SIA/RJ/MIN/433806/2023,19205,"Shri.Krishan Kumar Tank S/o Shri Om Prakash Tank & Co-applicant This is the Fresh proposal for “Granite (Minor Mineral) mining project” [M.L. No.– 143/2022, Reference No-20221000068142 and Khasra No.– 2854&2835] over an Area of 2.1719Hectares located Near Village– Kot, Tehsil–Raipur and District–Bhilwara (Rajasthan)",KRISHAN TAK,EC Granted,EC,, 
9305,9306,8,SIA/RJ/MIN/445543/2023,,"Marble quarry lease (Q.L. No. 261, Area-1.0 Ha.) At Near village- Kola Dungari (Makrana), Tehsil-Makrana, District-New- Didwana-Kuchaman (Old District - Nagaur), Rajasthan",KHURSHIDA BEGUM,Pending at PP due to eds,EC,, 
9306,9307,9,SIA/RJ/MIN/445361/2023,19231,"EC For Proposed Granite Mining Project, Ref. No. – 20221000061795, Area- 1.2502 Ha (Pvt. Land), Khasra No.- 1214, 1271, 1276, 1277, 1278, 1279 & 1280, Near village- Madka, Tehsil- Nathdwara, Dist.- Rajsamand (Raj.) of applicant M/s Rudhraksha Granites.",RUDRAKSHA GRANITES,EC Granted,EC,, 
9307,9308,10,SIA/RJ/MIN/445255/2023,,"Expansion Manakpur LimeStone (Minor Mineral) Mining Project, M.L. No.-74/2001, Area– 2.961128 Ha., Near village–  Manakpur, Tehsil–  Nagaur, District–Nagaur (Rajasthan).",SURJA RAM,WithdrawEC,EC,, 
9308,9309,1,SIA/RJ/MIN/450941/2023,19574,"Proposed Granite Mining Project, M.L No – 65/2023, Reference No. 20231000092998 Area- 1.2062 Ha, (Pvt. Land), Khasra No.- 548, 549, 550 & 552, Near Village – Dantra, Tehsil:- Asind, District:- Bhilwara (Raj.) of applicant M/s Shree Balaji Granite.",SHRI BALAJI GRANITE,EC Granted,EC,, 
9309,9310,2,SIA/RJ/MIN/453007/2023,,"M/s Amarnath Stone Re-appraisal of Environment Clearance granted by DEIAA to SEIAA in compliance of MoEF & CC O.M. dated 28/04/2023 & Hon’ble NGT order dated 07/12/2022 , M.L No. - 465/1995, Sandstone mining Project",AMARNATH STONE,Pending at PP due to eds,EC,, 
9310,9311,3,SIA/RJ/MIN/452987/2023,,"M/s Heera Stone Company, M.L.No.284/2003, Re-appraisal of Environment Clearance granted by DEIAA to SEIAA in compliance of MoEF & CC O.M. dated 28/04/2023 & Hon’ble NGT order dated 07/12/2022 of Sand Stone Mining Project",SHREE HEERA STONE COMPANY,Pending at PP due to eds,EC,, 
9311,9312,6,SIA/RJ/MIN/452883/2023,19798,"Marble Mining Project, Delineated Plot No. 9/2019",VISHRAM JAT,Agenda Uploaded by SEIAA,EC,, 
9312,9313,7,SIA/RJ/MIN/444191/2023,,"Proposed Granite Mining Project; M.l No.-25/2022; Area: 1.0088 Hect. ; (Pvt. Land);  Khasra No.-215/2518 & 213/2536,  Near Village :- Richhmaliyan,  Tehsil :- Pisangan  District:- Ajmer (Raj.) of applicant M/s Ocean Blue Granites",OCEAN BLUE GRANITES,WithdrawEC,EC,, 
9313,9314,8,SIA/RJ/MIN/445917/2023,19279,"“Granite (Minor Mineral) Mining Project” ML No 32/2022, Ref No 20221000057370, Khasra No 235 & 237  over an area – 1.2806 Hectare Proposed Production Capacity 1,21,097 TPA (ROM) {Saleable Mineral– 72,658 TPA & Waste– 48,439 TPA} located Near Village–Udaipur Khura, Tehsil–Kishangarh, District – Ajmer (Rajasthan) by Shri Yudjisthir Sankhla",YUDHISTHIR SANKHALA,EC Granted,EC,, 
9314,9315,9,SIA/RJ/MIN/445518/2023,,"EC Reappraisal of Existing masonary mining lease (M.L. No. – 57/1990, Area: 1.0 Ha), at khasra no. 167, near village-Kalwar, Tehsil & District- Jaipur (Rajasthan)",PINKCITY STONE CRUSHERS,Pending at PP due to eds,EC,, 
9315,9316,10,SIA/RJ/MIN/444655/2023,19342,"Lime Stone (Minor Mineral) Mining Project (Under Violation) with production capacity of 9602152 TPA (ROM) {Lime Stone- 3461825 TPA & Waste- 3461825 TPA & OB- 2678502 TPA } at M.L. No-04/1994, Area-1000 Ha., N/v-Mandla, Tehsil-Sojat City & District– Pali (Rajasthan) of M/s Rajendra Singh Kachhawa",RAJENDRA KACHWAHA,EC Granted,EC,, 
9316,9317,1,SIA/RJ/MIN/437205/2023,19083,Masonry stone mining project,VINAY SANGWAN,EC Granted,EC,, 
9317,9318,2,SIA/RJ/MIN/437469/2023,19485,"CLUSTER “BHURWARA & MAHA SINGH JI KA KHERA” GRANITE MINE, LOCATED NEAR VILLAGE- BHURWARA & MAHA SINGH JI KA KHERA, TEHSIL- DEOGARH, DIST- RAJSAMAND, RAJASTHAN. TOTAL CLUSTER AREA IS- 10.5768 HECTARE.",ANKIT GODARA,EC Granted,EC,, 
9318,9319,3,SIA/RJ/MIN/437561/2023,19085,Masonry Stone,VINAY SANGWAN,EC Granted,EC,, 
9319,9320,4,SIA/RJ/MIN/425547/2023,,"Quartz, Feldspar & Mica Mining Project (M L No.-4/2019)",SHIVA,Pending at PP due to eds,EC,, 
9320,9321,5,SIA/RJ/MIN/415251/2023,18365,"Shri Suresh Kumar Khatik, Granite Mine Cluster (ML No. 34/18 & Ref. No. 201810000767)",SHRI SURESH KUMAR KHATIK,EC Granted,EC,, 
9321,9322,6,SIA/RJ/MIN/415678/2023,18140,"Proposed Granite Mining Project,  M.L.No.-167/2022 Area;1.1768Hect. Near Village:-Barethpura Teshil- Asind,  District:- Bhilwara(Raj.) of applicant M/s. Cambridge Stonex",CAMBRIDGE STONEX,EC Granted,EC,, 
9322,9323,7,SIA/RJ/MIN/426193/2023,18652,"Proposed Granite & Masonry Stone Mining Project Khasra No- 1069, M.L. No.- 01/2023, Ref. No.- 20231000072887, Area:- 1.0129 Hect. (Pvt. Land); Near village :- Sulwara, Tehsil:- Asind, Dist.:- Bhilwara (Raj.) of applicant Shri Sukhdev Jat S/o Shri Hardev Jat.",SUKHDEV JAT,EC Granted,EC,, 
9323,9324,2,SIA/RJ/MIN/36456/2015,,Kolari (M.L. No. 330/2008) Masonary Stone Mine,SHRI CHANDRA MOHAN,Under examination of SEIAA - Processed offline,EC,, 
9324,9325,3,SIA/RJ/IND1/446505/2023,,"Proposed Clinker Grinding Unit of 60,000 TPA of Cement (OPC, PPC, PSC & SSC) located at Plot No. G1-96, 97,100 & 101 RIICO Industrial Area Didwana, Tehsil- Lalsot, District -Dausa, Rajasthan, having total plot area of 4220 Sq.m (0.422 Ha.) by Super Ultra Cement",SUPER ULTRA CEMENT,Pending at PP due to eds,EC,, 
9325,9326,4,SIA/RJ/MIN/441446/2023,19093,"“Marble & Phyllite Schist Mining Project, ML No. 50/2021 (Ref. No. 20211000043130)”",DIYA MINERALS,EC Granted,EC,, 
9326,9327,5,SIA/RJ/MIN/448575/2023,19797,"“Granite & Masonary Stone (Minor Mineral) mining project” [M.L.No.-18/2023,Plot No. -121 and Khasra No.–4437] over an Area of 1.0 Hectares located Near Village– Bhinay , Tehsil–Bhinay and District–Ajmer (Rajasthan) with Proposed Production Capacity– 1,39,006 TPA (ROM) {Saleable Granite – 54,728 TPA , Saleable Masonary Stone – 82,091 TPA & Waste– 2,187 TPA}  by Shri Rohit Chordia S/o Shri Dinesh Kumar Chordia.",ROHIT CHORDIA,Agenda Uploaded by SEIAA,EC,, 
9327,9328,6,SIA/RJ/MIN/448612/2023,,"Expansion in production capacity From 5,004 TPA to 32,730 TPA (ROM) in Existing Granite Mining Project,   M.L. No. 07/2001 , Area-1.775337 Ha, Khasra No.- 3/1067, Near Village- Lakha, Tehsil- Fatehgarh, District- Jaisalmer, State- Rajasthan of applicant  M/s. Shri Pokhar Kripa Granite.",SHRI POKHAR KRIPA GRANITES,Pending at PP due to eds,EC,, 
9328,9329,7,SIA/RJ/MIN/446953/2023,,"Shri Vijay Kumar Sharma, Re-appraisal of Environment Clearance granted by DEIAA to SEIAA in compliance of MoEF & CC O.M. dated 28/04/2023 & Hon’ble NGT order dated 07/12/2022 of Environment Clearance of Marble Mining Project (M.L No. 72/1993)",VIJAY SHARMA,Pending at PP due to eds,EC,, 
