,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
9,1620,SIA/UP/MIN/172042/2020,5819,"Syawari (Siori) Building Stone, Khanda, Gitti, Boulder Mining project",SHRIMATI SARASWATI DUBEY,EC Granted,EC,
0,1621,SIA/UP/NCP/71536/2017,3906,"Group Housing Project” at Khasra No-972M at Noor Nagar Pargna Loni Tehsil & District Ghaziabad, U.P",SHYAM BUILDWELL PVT LTD,Rejection Letter Granted,EC,
1,1622,SIA/UP/MIN/27752/2018,,"Riverbed Sand/Morrum mining project from Ken River for M/s Awasthi Traders located at Khand No.-29/1, Village - Bakchha Khadar, Tehsil - Maudaha, District - Hamirpur, Uttar Pradesh.",M/S AWASTHI TRADERS,EC Granted,EC,
2,1623,SIA/UP/MIN/23026/2018,4176,-1,R.S.I. STONE WORLD PVT. LTD.,EC Granted,EC,
3,1624,SIA/UP/MIN/27700/2018,4330,Sand Mining Project,ASHISH KUMAR SINGH,EC Granted,EC,
4,1625,SIA/UP/MIS/50063/2018,5423/4613,"Proposed  ""HI-Tech Township"" at village Devrakh Upperhar, Devrakh Kacchahar, Chak-Vishonath, Chak – Teju Dishi, Mavai – Upperhar, Madhanwan Upperhar, Lavayan Kalan Distt-Allahabad, Uttar Pradesh",M/S PANCHAM REALCON PVT. LTD,EC Granted,EC,
5,1626,SIA/UP/MIN/144192/2020,5539,BRICK KILN MINING PROJECT,M/S MAHADEV BRICK FIELD,"MoEF&CC, Govt. of India Notification No. S.O. 1224(E) dated 28/03/2020 and Govt. of U.P. G.O. No. 446/81-7-2020-39(Parya) 2014 TC-1 dated 01/05/2020 shall prevail.",EC,
6,1627,SIA/UP/MIN/214777/2021,6349,Building Stone (Sand stone) Mining,RANA RANJAN SINGH,EC Granted,EC,
7,1628,SIA/UP/MIN/261253/2022,7000,ordinary earth mine at village Jata Tehsil Nawabganj Barabanki,AMRENDRA SINGH,EC Granted,EC,
8,1629,SIA/UP/MIS/56579/2020,5835/5529,Jaypee Greens Sports City East ( Part III),M/S JAYPEE INFRATECH LIMITED,Delisted,EC,
9,1630,SIA/UP/MIN/125474/2019,5548,BRICK EARTH MINE OF R K ENT UDYOG ALIGARH,R K ENT UDYOG,Delisted,EC,
0,1631,SIA/UP/MIN/247685/2021,6833,"“Building stone, Khanda – Boulder/ Gitti -Baillast Mining",M/S. RATAN STONE GRAMUDYOG,EC Granted,EC,
1,1632,SIA/UP/MIN/430417/2023,7934,"“Building Stone (Granite Khanda, Boulder, Bailast (Gitti))” Project at Gata No.- 593 (Khand No.- 02), Village- Mahobkanth, Tehsil- Kulpahar, District- Mahoba, U.P. (Applied Area : 0.700 ha.) M/s Jyoti Prakash Saxena Contractor And Supplier, Prop.- Shri Jyoti Prakash Saxena S/o Shri Ram Swaroop Saxena",JYOTI SAXENA,Agenda Uploaded by SEAC,EC,
2,1633,SIA/UP/MIN/76298/2021,7057-6724,"Area 4.230 Ha Gitti - Boulder (Dolostone) Mining Project At Araji No. 5593 Ka Khand No- 08 Village- BilliMarkundi, Tehsil- Obra , District-Sonbhadra, Uttar Pradesh.",K.D RESOURCES PVT. LTD.,EC Granted,EC,
3,1634,SIA/UP/MIN/45940/2019,,"Kandera (Gata No. 799mi, 809, 805, 807 & 803) soil brick mining project",M/S KANDERA BRICK FIELD,Delisted,EC,
4,1635,SIA/UP/MIN/140530/2020,,"Chakia Uparwar (Gata No. 208MI, 100, 224, 118, 98, 154, 203, 84 & 93 ) soil brick mining project.",M/S SHIVA ENT UDYOG...,Delisted,EC,
