,proposal_no,file_no,proposal_name,state,district,tehsil,date_submission,tor_approval,project_category,company_proponent,status
58,SIA/OR/IND2/26174/2018,26174/431-IND2/05-2018,2064 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED GUDIAPALLI (BUDHAMBA)  OS SHOP,Orissa,Ganjam,Kodala,24 May 2018, TOR Not Granted Yet,Industrial Projects - 2,SRI LAXMI NARAYAN PRADHAN,MoveToTORtoECL
59,SIA/OR/IND2/26192/2018,26192/430-IND2/05-2018,Dhanaghara O.S. Shop,Orissa,Ganjam,Nuagaon,22 May 2018, TOR Not Granted Yet,Industrial Projects - 2,SRI B MOHAN RAO,MoveToTORtoECL
60,SIA/OR/IND2/26187/2018,26187/429-IND2/05-2018,1032 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED NANDIKA MAIN OUT STILL  SHOP,Orissa,Ganjam,Purusottampur,22 May 2018, TOR Not Granted Yet,Industrial Projects - 2,KASI SWAIN,MoveToTORtoECL
61,SIA/OR/IND2/26184/2018,26184/428-IND2/05-2018,1032 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED BALLISIRA MAIN OUT STILL SHOP,Orissa,Ganjam,Asika,22 May 2018, TOR Not Granted Yet,Industrial Projects - 2,SMT. ESPERENTA MALI,MoveToTORtoECL
62,SIA/OR/IND2/26173/2018,26173/427-IND2/05-2018,BAIDYANATHPUR OUT STILL LIQUOR MAIN SHOP,Orissa,Boudh,Baudh Sadar,22 May 2018, TOR Not Granted Yet,Industrial Projects - 2,PRABIN KUMAR GUPTA,MoveToTORtoECL
63,SIA/OR/IND2/26141/2018,26141/426-IND2/05-2018,"PRODUCTION OF 1.89 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, KANTAMAL MAIN O S LIQUOR SHOP AT-DEULDUNGURI, KANTAMAL, DIST. - BOUDH",Orissa,Boudh,Kantamal,21 May 2018, TOR Not Granted Yet,Industrial Projects - 2,KRUSHNA CHANDRA SAHU,Rejection Letter GrantedL
64,SIA/OR/IND2/26140/2018,26140/425-IND2/05-2018,"PRODUCTION OF 0.81 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, MALIKUD MAIN O S LIQUOR SHOP AT- MALIKUD, DIST. - BOUDH",Orissa,Boudh,Kantamal,21 May 2018, TOR Not Granted Yet,Industrial Projects - 2,KRUSHNA CHANDRA SAHU,Rejection Letter GrantedL
65,SIA/OR/IND2/26171/2018,26171/424-IND2/05-2018,1350 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED BADAGADA MAIN O S SHOP,Orissa,Ganjam,Patapur,21 May 2018, TOR Not Granted Yet,Industrial Projects - 2,RANKA SAHU,DelistedL
66,SIA/OR/IND2/26161/2018,26161/422-IND2/05-2018,Kanteikolia OS Shop,Orissa,Dhenkanal,Dhenkanal Sadar,21 May 2018, TOR Not Granted Yet,Industrial Projects - 2,RAJASHREE MISHRA,MoveToTORtoECL
67,SIA/OR/IND2/26160/2018,26160/421-IND2/05-2018,Pandua OS Shop,Orissa,Dhenkanal,Kamakshyanagar,21 May 2018, TOR Not Granted Yet,Industrial Projects - 2,RAJASHREE MISHRA,MoveToTORtoECL
68,SIA/OR/IND2/26157/2018,26157/420-IND2/05-2018,Badrapalli OS Shop,Orissa,Dhenkanal,Dhenkanal Sadar,21 May 2018, TOR Not Granted Yet,Industrial Projects - 2,RAJASHREE MISHRA,MoveToTORtoECL
69,SIA/OR/IND2/26123/2018,26123/419-IND2/05-2018,Mangalpur OS Shop,Orissa,Dhenkanal,Dhenkanal Sadar,21 May 2018, TOR Not Granted Yet,Industrial Projects - 2,RAJASHREE MISHRA,MoveToTORtoECL
70,SIA/OR/IND2/26158/2018,26158/418-IND2/05-2018,TULASIPOSI OUT STILL LIQUOR MAIN SHOP,Orissa,Dhenkanal,Parajang,20 May 2018, TOR Not Granted Yet,Industrial Projects - 2,PRAKASH KUMAR SAHOO,MoveToTORtoECL
71,SIA/OR/IND2/26153/2018,26153/417-IND2/05-2018,RANGATHALLI OUT STILL LIQUOR MAIN SHOP,Orissa,Dhenkanal,Motunga,20 May 2018, TOR Not Granted Yet,Industrial Projects - 2,PRAKASH KUMAR SAHOO,Rejected - Processed offlineL
72,SIA/OR/IND2/26150/2018,26150/416-IND2/05-2018,PITIRI OUT STILL LIQUOR MAIN SHOP,Orissa,Dhenkanal,Parajang,20 May 2018, TOR Not Granted Yet,Industrial Projects - 2,PRAKASH KUMAR SAHOO,Rejected - Processed offlineL
73,SIA/OR/IND2/26148/2018,26148/415-IND2/05-2018,PATALA OUT STILL LIQUOR MAIN SHOP,Orissa,Dhenkanal,Hindol,20 May 2018, TOR Not Granted Yet,Industrial Projects - 2,PRAKASH KUMAR SAHOO,MoveToTORtoECL
74,SIA/OR/IND2/26147/2018,26147/414-IND2/05-2018,HINDOL TOWN OUT STILL LIQUOR MAIN SHOP,Orissa,Dhenkanal,Hindol,19 May 2018, TOR Not Granted Yet,Industrial Projects - 2,PRAKASH KUMAR SAHOO,MoveToTORtoECL
75,SIA/OR/IND2/26127/2018,26127/413-IND2/05-2018,2064 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED BARADI (TATABALI) MAIN OS SHOP,Orissa,Ganjam,Surada,19 May 2018, TOR Not Granted Yet,Industrial Projects - 2,RAJENDRA KUMAR SAHU,MoveToTORtoECL
76,SIA/OR/IND2/26074/2018,26074/412-IND2/05-2018,PALLAHARA OUT STILL LIQUOR MAIN SHOP,Orissa,Angul,Palalahada,19 May 2018, TOR Not Granted Yet,Industrial Projects - 2,BIREN KUMAR JAISWAL,MoveToTORtoECL
77,SIA/OR/IND2/26075/2018,26075/411-IND2/05-2018,NATADA OUT STILL LIQUOR MAIN SHOP,Orissa,Angul,Chhendipada,19 May 2018, TOR Not Granted Yet,Industrial Projects - 2,PRAKASH KUMAR SAHOO,Rejected - Processed offlineL
78,SIA/OR/IND2/26083/2018,26083/410-IND2/05-2018,LODHABANDHA OUT STILL LIQUOR MAIN SHOP,Orissa,Angul,Kaniha,18 May 2018, TOR Not Granted Yet,Industrial Projects - 2,PRAKASH KUMAR SAHOO,MoveToTORtoECL
79,SIA/OR/IND2/26070/2018,26070/409-IND2/05-2018,GHOSAR OUT STILL LIQUOR MAIN SHOP,Orissa,Angul,Kishorenagar,18 May 2018, TOR Not Granted Yet,Industrial Projects - 2,BIKRAM KISHORE SAHOO,MoveToTORtoECL
80,SIA/OR/IND2/26059/2018,26059/408-IND2/05-2018,BOINDA OUT STILL LIQUOR MAIN SHOP,Orissa,Angul,Kishorenagar,18 May 2018, TOR Not Granted Yet,Industrial Projects - 2,BIKRAM KISHORE SAHOO,MoveToTORtoECL
