"","ID","Dist_Nam_1","Tehsil","tuid","POP_ALIGNED","AREA_ALIGNED","TOT_POP","Area","No_Villages","Per_Pop_Aligned","Per_Area_Aligned"
"307",305,"Cuttack","Baranga",802,32944,62457587.8525852,32944,62457587.8525852,19,1,1
"308",306,"Cuttack","Nischintakoili",806,223563,246223567.697095,223563,246223567.697095,238,1,1
"309",307,"Cuttack","Mahanga",808,163226,190461805.197481,163226,190461805.197481,177,1,1
"310",308,"Bhadrak","Bhandaripokhari",504,100240,218830869.601088,112460,235921869.71294,151,0.891339142806331,0.927556524824733
"311",309,"Bhadrak","Bhadrak",501,314111,329978502.385094,333235,359252800.415198,175,0.942611070265728,0.918513375549833
"312",310,"Bhadrak","Bonth",506,153289,264987257.577811,153289,264987257.577811,207,1,1
"313",311,"Balasore","Balasore",201,111036,162909835.606283,387242,482100741.316554,282,0.286735426425853,0.337916583910237
"314",312,"Balasore","Basta",203,176247,254442126.052052,180780,267586186.387745,304,0.974925323597743,0.950879152197167
"315",313,"Sambalpur","Maneswar",2804,42822,237409765.575997,99988,397370048.244567,119,0.428271392567108,0.597452592677241
"316",314,"Sambalpur","Dhankauda",2801,20213,36676101.2706832,393807,528881811.817938,111,0.0513271729552801,0.0693464975560713
"317",315,"Mayurbhanj","Raruan",4024,0,0,73399,283594012.944275,121,0,0
"318",316,"Khurda","Chilika",2007,138630,222921046.440318,138630,222921046.440318,153,1,1
