,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
3,493,SIA/OR/MIN/257165/2022,257165/604-MINB2/02-2022,SARGUNAMUNDA SAND BED-A OVER AN AREA OF 10.00 ACRES OR 4.048  HECTARES IN VILLAGE SARGUNAMUNDA UNDER TITTLAGARH TAHASIL IN BOLANGIR DISTRICT ODISHA,RAJAT PATRA,EC Granted,EC,
4,494,SIA/OR/MIN/60986/2021,60986/581-MINB1/02-2022,"Tabadabahal Stone Quarry No-5/13.11Ac deposit over an area of 5.305ha located in village Tabadabahal, under Rengali Tahasil of Sambalpur District",SRI BALAJI ENGICONS PVT. LTD,EC Granted,EC,
5,495,SIA/OR/MIN/58351/2020,58351/78-MINB1/11-2020,"Cluster-1 mine  constituted of Anjira & Makundpur hillocks over an area of 137.86 Acres or 55.79 Hectares located in villages Anjira & Makundpur of Tahasil Dharmasala & District Jajpur, Odisha including 15 nos of mining lease.",DHARMASALA TAHASIL,EC Granted,EC,
6,496,SIA/OR/MIN/243028/2021,,MANTRAJHOLLA- VII STONE QUARRY,TAHASILDAR RAYAGADA,Delisted,EC,
7,497,SIA/OR/MIS/239148/2021,239148/58-MIS/11-2021,"Environment Clearance of Proposed Bagchi-Sri Shankara Cancer Centre And Research Centre Building Of M/S Shankara Cancer Foundation In Mouza- Chandihata, Jatani, Dist- Khurda, Odisha",M/S SHANKARA CANCER FOUNDATION,EC Granted,EC,
8,498,SIA/OR/MIN/59616/2019,59616/59-MINB1/01-2021,"Cluster-2 mine which is constituted of Golaputakhua 28.189 HA, Duburi 2.72 HA, Hatia 32.442 HA, & Kalinga 19.805 HA over an area of 205.48 Acres or 83.156 Hectares located in villages Nijagadatapanga, Kiajhari, Jhinkijhari & Chhatrama of Khordha District, Odisha.",SHRI JAGANNATH TEMPLE ADMINISTRATION,EC Granted,EC,
9,499,SIA/OR/MIN/250561/2022,250561/183-MINB2/01-2022,Budhabalanga River Sand Bed-III Over an area of 12.33 Acres or 4.989 Hectares in Village Sankhmod under Betnoti Tahasil of Mayurbhanj District of Odisha,TAHASILDARBETNOTIMAYURBHANJ,EC Granted,EC,
10,500,SIA/OR/MIN/250616/2022,250616/555-MINB2/02-2022,"Proposal for grant of EC of PULIMETLA SAND QUARRY over an area 11.05 Acre or 4.475 Hectare in Pulimetla village of Malkangiri tahasil in Malkangiri district, Odisha",TAHASILDAR MALKANGIRI,EC Granted,EC,
1,501,SIA/OR/MIN/264917/2022,264917/646-MINB1/03-2022,"For the grant of EC of Bichhakhandi Black stone Quarry No.-6 (Cluster Serial No. - 4D/14) (Khata No-822, Plot No-2338(p)) over an area of 9.30 acres or 3.763 hacters in village Bichhakhandi under Dharmasala Tahasil of Jajpur District, Odisha.",AJAY AGARWAL,EC Granted,EC,
2,502,SIA/OR/MIN/228377/2021,228377/17-MINB2/09-2021,NEW PROPOSAL FOR GRANT OF EC FOR DUBURI NEW BUILDING STONE QUARRY OVER 2.72 HA. IN VILLAGE NIJAGADA TAPANGA BY SRI. SUKANTA KUMAR BISWAL,SHRI SUKANT KUMAR BISWAL,EC Granted,EC,
3,503,SIA/OR/MIN/245508/2021,245508/175-MINB2/01-2022,"Jankia Morrum Quarry-2  over an area of 2.00 Acres or 0.809 hectares in village Jankia  of Ranapur Tahasil of Nayagarh District of Odisha of  Tahasildar,Ranpur",RANPUR TAHASILDAR,EC Granted,EC,
4,504,SIA/OR/MIN/245527/2021,,Proposal for grant of Environmental Clearance of Pastipada Sand Bed-II over an area of 2.00 Acres or 0.809 Hects. in village Pastipada under Kalahandi Tahasil in Kalahandi district.,TAHASILDAR  KALAHANDI,Delisted,EC,
5,505,SIA/OR/MIN/272143/2022,272143/739-MINB2/05-2022,Proposal for grant of Environmental Clearance for Gudkhapala Stone Quarry over an area of 3.13 Acres or 1.267 Hectares in village Gudkhapala under Deogaon Tahasil of Balangir district.,TAHASILDAR DEOGAON,EC Granted,EC,
