Sl_No,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
1760,SIA/OR/MIN/5167/2015,5167/1194-NCM/01-2016,Orissa,Ganjam,Hinjili,Date of Submission : 18 Jan 2016,No Date,Non-Coal Mining,SH GOURI SHANKAR SAHU,Delisted
1761,SIA/OR/MIN/5495/2015,SEIAA/5495/974-NCM/12-2015,Orissa,Cuttack,Athagad,Date of Submission : 24 Dec 2015,Date of TOR Granted : 30 Jan 2016,Non-Coal Mining,TULU BEHERA,TOR Granted - Processed offline
1762,SIA/OR/MIN/5503/2015,SEIAA/5503/1014-NCM/12-2015,Orissa,Cuttack,Banki,Date of Submission : 29 Dec 2015,No Date,Non-Coal Mining,PRIVATE,Delisted
1763,SIA/OR/MIN/5507/2015,SEIAA/5507/976-NCM/12-2015,Orissa,Jajpur,Jajapur   ,Date of Submission : 24 Dec 2015,Date of TOR Granted : 30 Jan 2016,Non-Coal Mining,RANJIT SAHOO,TOR Granted - Processed offline
1764,SIA/OR/MIN/5514/2015,SEIAA/5514/977-NCM/12-2015,Orissa,Cuttack,Barang,Date of Submission : 24 Dec 2015,Date of TOR Granted : 30 Jan 2016,Non-Coal Mining,BIJAY KUMAR PAL,TOR Granted - Processed offline
1765,SIA/OR/MIN/5359/2015,5359/1448-NCM/02-2016,Orissa,Kalahandi,Dharamgarh,Date of Submission : 08 Feb 2016,No Date,Non-Coal Mining,KAANKERI STONE QUARRY,Delisted
1766,SIA/OR/MIN/16789/2016,To be assigned,Orissa,Angul,Talcher Sadar,Date of Submission : 18 Jul 2016,No Date,Non-Coal Mining,TALCHER TAHASIL,Delisted
1767,SIA/OR/MIS/63257/2021,To be assigned,Orissa,Khordha,Chandaka,Date of Submission : 11 May 2021,No Date,INFRA-2,M/S TIRUMALA INFRASTRUCTURE & DEVELOPMENT (P) LTD.,Delisted
1768,SIA/OR/MIN/17740/2016,17740/1739-NCM/11-2016,Orissa,Dhenkanal,Dhenkanal Sadar,Date of Submission : 12 Nov 2016,No Date,Non-Coal Mining,TAHASILDAR DHENKANAL SADAR,Rejection Letter Granted
1769,SIA/OR/NCP/17774/2016,17774/14-NCP/11-2016,Orissa,Khordha,Jatani,Date of Submission : 16 Nov 2016,Date of TOR Granted : 11 May 2017,INFRA-1,IDCO,TOR Granted - Processed offline
1770,SIA/OR/MIN/17729/2016,17729/1747-NCM/11-2016,Orissa,Jharsuguda,Kolabira,Date of Submission : 18 Nov 2016,Date of TOR Granted : 04 Feb 2017,Non-Coal Mining,SRI CHITRASEN SAMARTHA,TOR Granted
1771,SIA/OR/MIN/17782/2016,17782/1748-NCM/11-2016,Orissa,Angul,Chhendipada,Date of Submission : 18 Nov 2016,Date of TOR Granted : 06 Jul 2017,Non-Coal Mining,ANTARYAMI SAHU,TOR Granted - Processed offline
1772,SIA/OR/MIS/17788/2016,17788/16-MIS/11-2016,Orissa,Sambalpur,Jujomura,Date of Submission : 19 Nov 2016,Date of TOR Granted : 04 Feb 2017,INFRA-2,SAMBALPUR MUNICIPAL CORPORATION,TOR Granted - Processed offline
1773,SIA/OR/IND2/20314/2017,20314/43-IND2/10-2017,Orissa,Gajapati,Mohana,Date of Submission : 25 Oct 2017,No Date,Industrial Projects - 2,MONOJ KUMAR SAHU,MoveToTORtoEC
1774,SIA/OR/MIN/10289/2016,10289/1527-NCM/03-2016,Orissa,Mayurbhanj,Rairangpur,Date of Submission : 11 Mar 2016,Date of TOR Granted : 26 Apr 2016,Non-Coal Mining,DITIKRISHNA MANDAL,TOR Granted - Processed offline
1775,SIA/OR/MIN/16925/2016,16925/1787-NCM/01-2017,Orissa,Dhenkanal,Dhenkanal Sadar,Date of Submission : 21 Jan 2017,No Date,Non-Coal Mining,ANTARYAMI PANDA,Rejected - Processed offline
1776,SIA/OR/MIN/16932/2016,16932/1703-NCM/09-2016,Orissa,Ganjam,Chhatrapur,Date of Submission : 07 Sep 2016,Date of TOR Granted : 05 Jun 2017,Non-Coal Mining,MADAN MOHAN SWAIN,TOR Granted
1777,SIA/OR/MIN/16942/2016,16942/1704-NCM/09-2016,Orissa,Ganjam,Gangapur,Date of Submission : 08 Sep 2016,Date of TOR Granted : 05 Jun 2017,Non-Coal Mining,SUSANTA KUMAR BISOY,TOR Granted
1778,SIA/OR/MIN/11314/2016,11314/1662-NCM/05-2016,Orissa,Ganjam,Chhatrapur,Date of Submission : 09 May 2016,No Date,Non-Coal Mining,G N V NAIDU,MoveToTORtoEC
1779,SIA/OR/MIN/11348/2016,11348/1648-NCM/05-2016,Orissa,Keonjhar,Barbil,Date of Submission : 04 May 2016,No Date,Non-Coal Mining,SK MD IMRAN,Delisted
1780,SIA/OR/MIN/11364/2016,11364/1655-NCM/05-2016,Orissa,Cuttack,Banki,Date of Submission : 05 May 2016,Date of TOR Granted : 13 Oct 2016,Non-Coal Mining,TAHASILDAR BANKI,TOR Granted - Processed offline
1781,SIA/OR/MIN/11861/2016,To be assigned,Orissa,Bargarh,Bargarh,Date of Submission : 31 Oct 2016,No Date,Non-Coal Mining,TRILOCHAN BISWAL,Delisted
1782,SIA/OR/MIN/7062/2016,7062/06-NCMB1/01-2016,Orissa,Khordha,Balianta,Date of Submission : 23 Jan 2016,Date of TOR Granted : 29 Aug 2016,Non-Coal Mining,KUAKHAI RIVER SAND MINE,TOR Granted - Processed offline
1783,SIA/OR/MIN/7063/2016,7063/1337-NCM/01-2016,Orissa,Jajpur,Dharmasala,Date of Submission : 29 Jan 2016,No Date,Non-Coal Mining,ST MINERALS PVT LTD,Delisted
1784,SIA/OR/MIN/10214/2016,To be assigned,Orissa,Mayurbhanj,Jashipur,Date of Submission : 18 Feb 2016,No Date,Non-Coal Mining,DUSHASAN    MOHANTA,Delisted
1785,SIA/OR/MIN/10224/2016,To be assigned,Orissa,Ganjam,Khalikote,Date of Submission : 19 Feb 2016,No Date,Non-Coal Mining,HARIDAS RAJPUT,Delisted
1786,SIA/OR/MIN/10227/2016,To be assigned,Orissa,Mayurbhanj,Karanjia,Date of Submission : 19 Feb 2016,No Date,Non-Coal Mining,ANIL KUMAR AGARWALLA,Delisted
1787,SIA/OR/MIN/10240/2016,To be assigned,Orissa,Cuttack,Tigiria,Date of Submission : 19 Feb 2016,No Date,Non-Coal Mining,SRI KABI CHANDRA ROUT,Delisted
1788,SIA/OR/MIN/10245/2016,10245/1628-NCM/04-2016,Orissa,Ganjam,Kabisuryanagar,Date of Submission : 27 Apr 2016,Date of TOR Granted : 30 Nov 2016,Non-Coal Mining,KRUSHNA CHANDRA SAHU,TOR Granted - Processed offline
