Sl_No,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
411,SIA/OR/IND2/23178/2018,23178/328-IND2/03-2018,Orissa,Kalahandi,Kesinga,Date of Submission : 31 Mar 2018,No Date,Industrial Projects - 2,NIMAI KUMAR SAHOO,MoveToTORtoEC
412,SIA/OR/IND2/23182/2018,23182/329-IND2/03-2018,Orissa,Kalahandi,Junagarh,Date of Submission : 31 Mar 2018,No Date,Industrial Projects - 2,KASINATH SAHU,MoveToTORtoEC
413,SIA/OR/MIN/23191/2018,23191/1972-NCM/04-2018,Orissa,Cuttack,Cuttack Sadar,Date of Submission : 06 Apr 2018,No Date,Non-Coal Mining,BIDYADHAR PATRA,MoveToTORtoEC
414,SIA/OR/IND2/23198/2018,23198/330-IND2/03-2018,Orissa,Kalahandi,Jayapatna,Date of Submission : 31 Mar 2018,No Date,Industrial Projects - 2,SRI BHAGABAN SAHU,MoveToTORtoEC
415,SIA/OR/IND2/23211/2018,23211/331-IND2/03-2018,Orissa,Kalahandi,Thuamul Rampur,Date of Submission : 31 Mar 2018,No Date,Industrial Projects - 2,SRI JAGDISH PRASAD,MoveToTORtoEC
416,SIA/OR/IND2/23212/2018,23212/360-IND2/04-2018,Orissa,Boudh,Harbhanga,Date of Submission : 03 Apr 2018,No Date,Industrial Projects - 2,SRI DANARDAN PARIDA,Delisted
417,SIA/OR/IND2/23219/2018,23219/333-IND2/03-2018,Orissa,Kalahandi,Lanjigarh,Date of Submission : 31 Mar 2018,No Date,Industrial Projects - 2,LAXMI NARAYAN MANMOHNLAL,MoveToTORtoEC
418,SIA/OR/IND2/23220/2018,23220/334-IND2/03-2018,Orissa,Kalahandi,Lanjigarh,Date of Submission : 31 Mar 2018,No Date,Industrial Projects - 2,LAXMI NARAYAN MANMOHNLAL,MoveToTORtoEC
419,SIA/OR/IND2/23221/2018,23221/335-IND2/03-2018,Orissa,Kalahandi,Dharamgarh,Date of Submission : 31 Mar 2018,No Date,Industrial Projects - 2,LAXMI NARAYAN MANMOHNLAL,MoveToTORtoEC
420,SIA/OR/IND2/23232/2018,23232/337-IND2/03-2018,Orissa,Kalahandi,Kesinga,Date of Submission : 31 Mar 2018,No Date,Industrial Projects - 2,DURGA PRASAD SAHU,MoveToTORtoEC
421,SIA/OR/IND2/23236/2018,23236/338-IND2/03-2018,Orissa,Kalahandi,Kesinga,Date of Submission : 31 Mar 2018,No Date,Industrial Projects - 2,DURGA PRASAD SAHU,MoveToTORtoEC
422,SIA/OR/IND2/23225/2018,23225/345-IND2/04-2018,Orissa,Boudh,Kantamal,Date of Submission : 01 Apr 2018,No Date,Industrial Projects - 2,ASHISH KUMAR SAHU,MoveToTORtoEC
423,SIA/OR/IND2/23226/2018,23226/336-IND2/03-2018,Orissa,Kalahandi,Kokasara,Date of Submission : 31 Mar 2018,No Date,Industrial Projects - 2,LAXMI NARAYAN MANMOHNLAL,MoveToTORtoEC
424,SIA/OR/MIN/10164/2016,10164/1523-NCM/03-2016,Orissa,Kalahandi,Kesinga,Date of Submission : 09 Mar 2016,Date of TOR Granted : 26 Apr 2016,Non-Coal Mining,SANTOSH KUMAR NAYAK,TOR Granted - Processed offline
425,SIA/OR/MIN/10171/2016,To be assigned,Orissa,Mayurbhanj,Baripada Sadar,Date of Submission : 17 May 2016,No Date,Non-Coal Mining,LAXMINARAYAN GIRI,Delisted
426,SIA/OR/MIN/10194/2016,To be assigned,Orissa,Kalahandi,Kesinga,Date of Submission : 04 Mar 2016,No Date,Non-Coal Mining,SANTOSH KUMAR NAYAK,Delisted
427,SIA/OR/MIN/10229/2016,10229/1556-NCM/03-2016,Orissa,Mayurbhanj,Koliana,Date of Submission : 21 Mar 2016,No Date,Non-Coal Mining,BHUBANMOHAN  DUTTA,Delisted
428,SIA/OR/MIN/10288/2016,10288/1528-NCM/03-2016,Orissa,Mayurbhanj,Rairangpur,Date of Submission : 11 Mar 2016,Date of TOR Granted : 26 Apr 2016,Non-Coal Mining,TAPAS KUMAR DAS,TOR Granted - Processed offline
429,SIA/OR/NCP/23634/2018,23634/04-NCP-V/04-2018,Orissa,Khordha,Khordha,Date of Submission : 06 Apr 2018,No Date,INFRA-1,TRIDENT PROPERTIES PRIVATE LIMITED,MoveToTORtoEC
430,SIA/OR/NCP/23686/2018,23686/03-NCP-V/04-2018,Orissa,Khordha,Khordha,Date of Submission : 06 Apr 2018,No Date,INFRA-1,OORJITA PROJECTS PRIVATE LIMITED,MoveToTORtoEC
431,SIA/OR/MIS/67031/2021,67031/37-MIS/08-2021,Orissa,Dhenkanal,Hindol,Date of Submission : 27 Aug 2021,Date of TOR Granted : 04 Oct 2021,INFRA-2,RUNGTA MINES LTD,TOR Granted
432,SIA/OR/MIN/53623/2020,To be assigned,Orissa,Kandhamal,Tikabali,Date of Submission : 04 Jun 2020,No Date,Non-Coal Mining,SRI SATYABAN KANHAR,Delisted
433,SIA/OR/MIN/21512/2018,21512/1944-NCM/01-2018,Orissa,Bargarh,Bijepur,Date of Submission : 03 Jan 2018,Date of TOR Granted : 27 Feb 2018,Non-Coal Mining,SUNIL KUMAR MISRA,TOR Granted
434,SIA/OR/IND2/23262/2018,23262/343-IND2/03-2018,Orissa,Boudh,Kantamal,Date of Submission : 31 Mar 2018,No Date,Industrial Projects - 2,MR KARUNAKR SAHU,MoveToTORtoEC
435,SIA/OR/IND2/23266/2018,23266/346-IND2/04-2018,Orissa,Boudh,Kantamal,Date of Submission : 01 Apr 2018,No Date,Industrial Projects - 2,ASHISH KUMAR SAHU,MoveToTORtoEC
436,SIA/OR/IND2/23267/2018,23267/347-IND2/04-2018,Orissa,Boudh,Kantamal,Date of Submission : 01 Apr 2018,No Date,Industrial Projects - 2,ASHISH KUMAR SAHU,MoveToTORtoEC
437,SIA/OR/IND2/23268/2018,23268/349-IND2/04-2018,Orissa,Boudh,Kantamal,Date of Submission : 01 Apr 2018,No Date,Industrial Projects - 2,LALIT KUMAR MEHER,MoveToTORtoEC
438,SIA/OR/IND2/23272/2018,23272/352-IND2/04-2018,Orissa,Boudh,Kantamal,Date of Submission : 02 Apr 2018,No Date,Industrial Projects - 2,BHISMA BHOI,MoveToTORtoEC
439,SIA/OR/IND2/23278/2018,23278/371-IND2/04-2018,Orissa,Boudh,Baudh Sadar,Date of Submission : 11 Apr 2018,Date of TOR Granted : 07 Jun 2018,Industrial Projects - 2,GOKULANANDA SAHU,TOR Granted - Processed offline
440,SIA/OR/IND2/23286/2018,23286/354-IND2/04-2018,Orissa,Debagarh,Barkot,Date of Submission : 02 Apr 2018,No Date,Industrial Projects - 2,ANJAN KUMAR SAHOO,MoveToTORtoEC
441,SIA/OR/IND2/23282/2018,23282/353-IND2/04-2018,Orissa,Angul,Chhendipada,Date of Submission : 02 Apr 2018,No Date,Industrial Projects - 2,ANJAN KUMAR SAHOO,MoveToTORtoEC
442,SIA/OR/IND2/23300/2018,23300/355-IND2/04-2018,Orissa,Debagarh,Reamal,Date of Submission : 02 Apr 2018,No Date,Industrial Projects - 2,ANJAN KUMAR SAHOO,MoveToTORtoEC
443,SIA/OR/MIN/9434/2016,9434/1235-NCM/01-2016,Orissa,Kalahandi,Kesinga,Date of Submission : 20 Jan 2016,No Date,Non-Coal Mining,HARMINDAR SINGH GILL,Delisted
444,SIA/OR/IND2/24081/2018,24081/373-IND2/04-2018,Orissa,Balangir,Saintala,Date of Submission : 11 Apr 2018,No Date,Industrial Projects - 2,BHOLANATH SAHOO,MoveToTORtoEC
445,SIA/OR/IND2/24087/2018,24087/374-IND2/04-2018,Orissa,Balangir,Saintala,Date of Submission : 11 Apr 2018,No Date,Industrial Projects - 2,BHOLANATH SAHOO,MoveToTORtoEC
446,SIA/OR/MIN/4653/2015,SEIAA/4653/877-NCM/12-2015,Orissa,Kalahandi,Kesinga,Date of Submission : 03 Dec 2015,Date of TOR Granted : 30 Jan 2016,Non-Coal Mining,SIB PRASAD BANSAL,TOR Granted - Processed offline
447,SIA/OR/MIN/4656/2015,SEIAA/4656/853-NCM/11-2015,Orissa,Debagarh,Reamal,Date of Submission : 28 Nov 2015,Date of TOR Granted : 25 Jan 2016,Non-Coal Mining,SRI DURGA CONDEV PVT LTD,TOR Granted - Processed offline
448,SIA/OR/MIN/4667/2015,4667/1134-NCM/01-2016,Orissa,Nayagarh,Dasapalla,Date of Submission : 12 Jan 2016,No Date,Non-Coal Mining,BISWA RANJAN PRADHAN,Delisted
449,SIA/OR/MIN/4700/2015,SEIAA/4700/858-NCM/11-2015,Orissa,Kendujhar,Anandapur,Date of Submission : 30 Nov 2015,Date of TOR Granted : 25 Jan 2016,Non-Coal Mining,SHANTILATA NAYAK,TOR Granted - Processed offline
450,SIA/OR/MIN/4711/2015,SEIAA/4711/859-NCM/11-2015,Orissa,Mayurbhanj,Kaptipada,Date of Submission : 30 Nov 2015,Date of TOR Granted : 25 Jan 2016,Non-Coal Mining,HEMANTA KUMAR BEHERA,TOR Granted - Processed offline
451,SIA/OR/MIN/4712/2015,SEIAA/4712/866-NCM/12-2015,Orissa,Jajpur,Dharmasala,Date of Submission : 01 Dec 2015,No Date,Non-Coal Mining,NARAYAN ROUT,Delisted
452,SIA/OR/MIN/4723/2015,SEIAA/4723/863-NCM/11-2015,Orissa,Jajpur,Dharmasala,Date of Submission : 30 Nov 2015,Date of TOR Granted : 30 Jan 2016,Non-Coal Mining,MS UTKAL HIGHWAYS,TOR Granted - Processed offline
453,SIA/OR/MIN/4754/2015,4754/1478-NCM/02-2016,Orissa,Kandhamal,Daringbadi,Date of Submission : 11 Feb 2016,No Date,Non-Coal Mining,SANGRAM KESHARI NAYAK,Delisted
454,SIA/OR/MIN/15678/2016,To be assigned,Orissa,Sundargarh,Biramitrapur,Date of Submission : 01 Jun 2016,No Date,Non-Coal Mining,PREMEX,Delisted
455,SIA/OR/IND2/23313/2018,23313/356-IND2/04-2018,Orissa,Angul,Chhendipada,Date of Submission : 02 Apr 2018,No Date,Industrial Projects - 2,PRANAB KUMAR BEHERA,MoveToTORtoEC
456,SIA/OR/IND2/23324/2018,23324/357-IND2/04-2018,Orissa,Jharsuguda,Lakhanpur,Date of Submission : 02 Apr 2018,Date of TOR Granted : 21 Jul 2018,Industrial Projects - 2,SANTOSH KUMAR JAISWAL,TOR Granted - Processed offline
457,SIA/OR/IND2/23351/2018,23351/359-IND2/04-2018,Orissa,Jharsuguda,Laikera,Date of Submission : 03 Apr 2018,No Date,Industrial Projects - 2,DHUDHURIAM OS SHOP,MoveToTORtoEC
458,SIA/OR/RIV/16946/2016,16946/02-RIV/08-2016,Orissa,Rayagada,Muniguda,Date of Submission : 19 Aug 2016,No Date,River Valley and Hydroelectric Projects,EXECUTIVE ENGINEER KORAPUT INVESTIGATION DIVISION,Delisted
459,SIA/OR/MIN/10058/2016,10058/1472-NCM/02-2016,Orissa,Ganjam,Brahmapur Sadar,Date of Submission : 11 Feb 2016,No Date,Non-Coal Mining,SAYED  RAHIM,Delisted
460,SIA/OR/MIN/10060/2016,10060/1473-NCM/02-2016,Orissa,Ganjam,Brahmapur Sadar,Date of Submission : 11 Feb 2016,No Date,Non-Coal Mining,SAYED RAHIM,Delisted
461,SIA/OR/MIN/10061/2016,To be assigned,Orissa,Bargarh,Bargarh,Date of Submission : 10 Mar 2016,No Date,Non-Coal Mining,TRILOCHAN BISWAL,Delisted
462,SIA/OR/MIN/10062/2016,To be assigned,Orissa,Bargarh,Bargarh,Date of Submission : 10 Mar 2016,No Date,Non-Coal Mining,TRILOCHAN BISWAL,Delisted
463,SIA/OR/NCP/23005/2018,To be assigned,Orissa,Khordha,Khordha,Date of Submission : 19 Aug 2017,No Date,INFRA-1,M/S ASSOTECH BEBL INFRASTRUCTURE PRIVATE LIMITED,Delisted
464,SIA/OR/MIN/9435/2016,9435/1236-NCM/01-2016,Orissa,Kalahandi,Kesinga,Date of Submission : 20 Jan 2016,No Date,Non-Coal Mining,HARMINDAR SINGH GILL,Delisted
465,SIA/OR/MIN/9436/2016,9436/1237-NCM/01-2016,Orissa,Kalahandi,Kesinga,Date of Submission : 20 Jan 2016,Date of TOR Granted : 27 Jan 2017,Non-Coal Mining,SAROJ PRASAD NAYAK,TOR Granted
466,SIA/OR/MIN/9454/2016,9454/1355-NCM/01-2016,Orissa,Kalahandi,Sadar,Date of Submission : 30 Jan 2016,No Date,Non-Coal Mining,RAJ PRASAD SAHU,Delisted
467,SIA/OR/MIN/25803/2018,25803/1976-NCM/04-2018,Orissa,Nuapada,Komana,Date of Submission : 23 Apr 2018,No Date,Non-Coal Mining,SEKHAR CHANDRA SENA,MoveToTORtoEC
468,SIA/OR/IND2/25812/2018,25812/385-IND2/04-2018,Orissa,Nabarangpur,Raighar,Date of Submission : 23 Apr 2018,No Date,Industrial Projects - 2,ASHOK KUMAR SAHU,MoveToTORtoEC
469,SIA/OR/MIN/17010/2016,17010/1694-NCM/08-2016,Orissa,Ganjam,Kodala,Date of Submission : 28 Aug 2016,Date of TOR Granted : 26 Dec 2016,Non-Coal Mining,GURU SWAIN,TOR Granted
470,SIA/OR/MIN/17050/2016,To be assigned,Orissa,Sambalpur,Jamankira,Date of Submission : 25 Aug 2016,No Date,Non-Coal Mining,RAJ KISHOR DAS,Delisted
471,SIA/OR/MIN/17104/2016,17104/1699-NCM/08-2016,Orissa,Ganjam,Gangapur,Date of Submission : 31 Aug 2016,Date of TOR Granted : 30 Nov 2016,Non-Coal Mining,BENIPALI SAND QUARRY,TOR Granted - Processed offline
472,SIA/OR/MIN/17228/2016,17228/1707-NCM/09-2016,Orissa,Ganjam,Kodala,Date of Submission : 12 Sep 2016,Date of TOR Granted : 20 Feb 2017,Non-Coal Mining,RAMA CHANDRA DASH,TOR Granted - Processed offline
473,SIA/OR/MIN/23735/2018,23735/05-NCP-V/04-2018,Orissa,Kendujhar,Barbil,Date of Submission : 06 Apr 2018,Date of TOR Granted : 17 Sep 2019,Non-Coal Mining,Ashok Kumar Mohanty,TOR Granted
474,SIA/OR/IND2/25750/2018,25750/383-IND2/04-2018,Orissa,Kendujhar,Nandipada,Date of Submission : 20 Apr 2018,No Date,Industrial Projects - 2,INDUDEVI GUPTA,MoveToTORtoEC
475,SIA/OR/IND2/25756/2018,25756/380-IND2/04-2018,Orissa,Balangir,Kantabanji,Date of Submission : 20 Apr 2018,No Date,Industrial Projects - 2,BINOD KUMAR GUPTA &  ANANT KUMAR GUPTA,MoveToTORtoEC
476,SIA/OR/MIN/9470/2016,9470/1240-NCM/01-2016,Orissa,Kalahandi,Sadar,Date of Submission : 21 Jan 2016,Date of TOR Granted : 13 Dec 2016,Non-Coal Mining,RAJ PRASAD SAHU,TOR Granted - Processed offline
477,SIA/OR/MIN/9479/2016,9479/1242-NCM/01-2016,Orissa,Bargarh,Bheden,Date of Submission : 21 Jan 2016,No Date,Non-Coal Mining,SANIPANI RAMAKRISHNA,Delisted
478,SIA/OR/MIN/9480/2016,9480/1243-NCM/01-2016,Orissa,Bargarh,Bheden,Date of Submission : 21 Jan 2016,No Date,Non-Coal Mining,UNDABALLI SRINIVAS,Delisted
479,SIA/OR/MIN/9483/2016,9483/1244-NCM/01-2016,Orissa,Mayurbhanj,Bangiriposi,Date of Submission : 22 Jan 2016,No Date,Non-Coal Mining,SRI BISWARAJ MOHANTY,Delisted
480,SIA/OR/MIN/9484/2016,9484/1356-NCM/01-2016,Orissa,Jajpur,Dharmasala,Date of Submission : 30 Jan 2016,No Date,Non-Coal Mining,ST MINERALS PVT LTD,Delisted
481,SIA/OR/MIN/9486/2016,9486/1245-NCM/01-2016,Orissa,Ganjam,Digapahandi,Date of Submission : 22 Jan 2016,No Date,Non-Coal Mining,UDATYANATH PATRA,Delisted
482,SIA/OR/MIN/9517/2016,9517/1428-NCM/02-2016,Orissa,Jajpur,Dharmasala,Date of Submission : 05 Feb 2016,No Date,Non-Coal Mining,AJAY AGARWAL,Delisted
483,SIA/OR/MIN/9521/2016,9521/1248-NCM/01-2016,Orissa,Rayagada,Rayagada,Date of Submission : 22 Jan 2016,No Date,Non-Coal Mining,AMBICA STONE CRUSHER,Delisted
484,SIA/OR/MIN/9536/2016,9536/1249-NCM/01-2016,Orissa,Kandhamal,Phulabani,Date of Submission : 23 Jan 2016,Date of TOR Granted : 27 Jul 2016,Non-Coal Mining,PURNA CHANDRA MOHANTY,TOR Granted - Processed offline
485,SIA/OR/MIN/9711/2016,9711/1319-NCM/01-2016,Orissa,Jajpur,Dharmasala,Date of Submission : 28 Jan 2016,No Date,Non-Coal Mining,AJAY AGARWAL,Delisted
486,SIA/OR/IND2/22261/2018,22261/191-IND2/03-2018,Orissa,Sundargarh,Hemgir,Date of Submission : 06 Mar 2018,No Date,Industrial Projects - 2,SRI NALINIKANTA MOHANTY,MoveToTORtoEC
487,SIA/OR/IND2/22557/2018,22557/242-IND2/03-2018,Orissa,Sambalpur,Jamankira,Date of Submission : 22 Mar 2018,No Date,Industrial Projects - 2,DINESH PR SAHU,Delisted
488,SIA/OR/IND2/22626/2018,22626/254-IND2/03-2018,Orissa,Nuapada,Khariar,Date of Submission : 25 Mar 2018,No Date,Industrial Projects - 2,ANIL KUMAR SAHU,MoveToTORtoEC
489,SIA/OR/IND2/22627/2018,22627/255-IND2/03-2018,Orissa,Nuapada,Nuapada,Date of Submission : 25 Mar 2018,No Date,Industrial Projects - 2,GOPALPRASAD,MoveToTORtoEC
490,SIA/OR/IND2/25027/2018,25027/382-IND2/04-2018,Orissa,Sambalpur,Sadar,Date of Submission : 20 Apr 2018,No Date,Industrial Projects - 2,MD. Q. ZAMAN & MD. MOOSA WARSI,MoveToTORtoEC
491,SIA/OR/MIN/25120/2018,25120/06-MIN-V/04-2018,Orissa,Bargarh,Paikamal,Date of Submission : 13 Apr 2018,Date of TOR Granted : 24 May 2021,Non-Coal Mining,SRI PRABHAS CHANDRA AGRAWAL,TOR Granted
492,SIA/OR/MIN/25136/2018,To be assigned,Orissa,Ganjam,Brahmapur Sadar,Date of Submission : 13 Apr 2018,No Date,Non-Coal Mining,SMT RASHMI JAIN,Delisted
493,SIA/OR/MIN/9713/2016,9713/1397-NCM/02-2016,Orissa,Dhenkanal,Motunga,Date of Submission : 02 Feb 2016,No Date,Non-Coal Mining,BAUTIRAGADA ROAD METAL QUARRY NO II,Delisted
494,SIA/OR/MIN/10363/2016,To be assigned,Orissa,Rayagada,Kashipur,Date of Submission : 25 Feb 2016,No Date,Non-Coal Mining,AMBICA STONE CRUSHER,Delisted
495,SIA/OR/MIN/10382/2016,To be assigned,Orissa,Rayagada,Rayagada,Date of Submission : 26 Feb 2016,No Date,Non-Coal Mining,RAMESH CHOURASIA,Delisted
496,SIA/OR/MIN/10383/2016,To be assigned,Orissa,Rayagada,Rayagada,Date of Submission : 26 Feb 2016,No Date,Non-Coal Mining,RAMESH CHOURASIA,Delisted
497,SIA/OR/MIN/10388/2016,To be assigned,Orissa,Rayagada,Rayagada,Date of Submission : 26 Feb 2016,No Date,Non-Coal Mining,RAMANI RANJAN PATI,Delisted
498,SIA/OR/MIN/10401/2016,To be assigned,Orissa,Dhenkanal,Motunga,Date of Submission : 27 Feb 2016,No Date,Non-Coal Mining,DUSASAN BHUTIA,Delisted
499,SIA/OR/MIN/10402/2016,To be assigned,Orissa,Dhenkanal,Motunga,Date of Submission : 27 Feb 2016,No Date,Non-Coal Mining,BANESH KUMAR JENA,Delisted
500,SIA/OR/MIN/10406/2016,To be assigned,Orissa,Ganjam,Brahmapur Sadar,Date of Submission : 27 Feb 2016,No Date,Non-Coal Mining,ARSS INFRASTRUCTURE PROJECTS LIMITED,Delisted
501,SIA/OR/MIN/10416/2016,10416/1604-NCM/04-2016,Orissa,Nabarangpur,Paparahandi,Date of Submission : 18 Apr 2016,No Date,Non-Coal Mining,J MURALI KRISHNA RAJU,Delisted
502,SIA/OR/MIN/10420/2016,10420/1598-NCM/04-2016,Orissa,Bargarh,Bargarh,Date of Submission : 15 Apr 2016,No Date,Non-Coal Mining,EKAMBRA ADABAR,Delisted
503,SIA/OR/MIN/10427/2016,To be assigned,Orissa,Bargarh,Bheden,Date of Submission : 28 Feb 2016,No Date,Non-Coal Mining,SACHIDANANDA CHHANDA,Delisted
504,SIA/OR/MIN/9594/2016,9594/1275-NCM/01-2016,Orissa,Ganjam,Hinjili,Date of Submission : 25 Jan 2016,No Date,Non-Coal Mining,KAILASH CHANDRA GOUD,Delisted
505,SIA/OR/MIN/9602/2016,9602/1276-NCM/01-2016,Orissa,Nayagarh,Fategarh,Date of Submission : 25 Jan 2016,No Date,Non-Coal Mining,KRUSHNA CHANDRA SAHOO,Delisted
506,SIA/OR/MIN/4356/2015,4356/1477-NCM/02-2016,Orissa,Sundargarh,Lahunipara,Date of Submission : 11 Feb 2016,Date of TOR Granted : 27 Aug 2016,Non-Coal Mining,DEBANARAYAN PRASAD SAHOO,TOR Granted - Processed offline
507,SIA/OR/MIN/57233/2020,57233/40-MINB1/10-2020,Orissa,Ganjam,Chhatrapur,Date of Submission : 05 Oct 2020,Date of TOR Granted : 21 Dec 2020,Non-Coal Mining,SMT. G. GAYATRI REDDY,TOR Granted
508,SIA/OR/MIN/57301/2020,To be assigned,Orissa,Ganjam,Purusottampur,Date of Submission : 07 Oct 2020,No Date,Non-Coal Mining,GOPAL CHANDRA SAHU,Delisted
509,SIA/OR/MIN/57302/2020,To be assigned,Orissa,Ganjam,Purusottampur,Date of Submission : 07 Oct 2020,No Date,Non-Coal Mining,GOPAL CHANDRA SAHU,Delisted
510,SIA/OR/MIN/5853/2015,SEIAA/5853/1016-NCM/12-2015,Orissa,Jharsuguda,Kolabira,Date of Submission : 29 Dec 2015,Date of TOR Granted : 04 Jul 2017,Non-Coal Mining,MS SHREE BALAJI ENGICONS PVT LTD,TOR Granted - Processed offline
511,SIA/OR/MIN/5857/2015,SEIAA/5857/1022-NCM/12-2015,Orissa,Nayagarh,Dasapalla,Date of Submission : 29 Dec 2015,Date of TOR Granted : 30 Jan 2016,Non-Coal Mining,SWAIN SANJIB KUMAR,TOR Granted - Processed offline
512,SIA/OR/MIN/5858/2015,SEIAA/5858/1018-NCM/12-2015,Orissa,Jharsuguda,Kolabira,Date of Submission : 29 Dec 2015,No Date,Non-Coal Mining,MS SHREE BALAJI ENGICONS PVT LTD,Delisted
513,SIA/OR/MIN/5860/2015,SEIAA/5860/1020-NCM/12-2015,Orissa,Koraput,Similiguda,Date of Submission : 29 Dec 2015,Date of TOR Granted : 30 Jan 2016,Non-Coal Mining,LINGARAJ PATRA,TOR Granted - Processed offline
514,SIA/OR/MIN/5863/2015,SEIAA/5863/1025-NCM/12-2015,Orissa,Jharsuguda,Jharsuguda,Date of Submission : 29 Dec 2015,No Date,Non-Coal Mining,MS SHREE BALAJI ENGICONS PVT LTD,Delisted
515,SIA/OR/MIN/5864/2015,SEIAA/5864/1021-NCM/12-2015,Orissa,Angul,Talcher Sadar,Date of Submission : 29 Dec 2015,No Date,Non-Coal Mining,DEEPAK KUMAR KUNDA,Delisted
516,SIA/OR/MIN/5872/2015,SEIAA/5872/1023-NCM/12-2015,Orissa,Cuttack,Cuttack Sadar,Date of Submission : 29 Dec 2015,Date of TOR Granted : 30 Jan 2016,Non-Coal Mining,SUDHAKAR NAYAK,TOR Granted - Processed offline
517,SIA/OR/IND2/23868/2018,23868/368-IND2/04-2018,Orissa,Kalahandi,Jayapatna,Date of Submission : 08 Apr 2018,No Date,Industrial Projects - 2,RISHI SAHU,MoveToTORtoEC
518,SIA/OR/IND2/23870/2018,23870/369-IND2/04-2018,Orissa,Kalahandi,Jayapatna,Date of Submission : 08 Apr 2018,No Date,Industrial Projects - 2,RISHI SAHU,MoveToTORtoEC
519,SIA/OR/IND2/23873/2018,23873/370-IND2/04-2018,Orissa,Kalahandi,Jayapatna,Date of Submission : 09 Apr 2018,No Date,Industrial Projects - 2,RISHI SAHU,MoveToTORtoEC
520,SIA/OR/MIN/17034/2016,17034/1696-NCM/08-2016,Orissa,Gajapati,Kashinagara,Date of Submission : 30 Aug 2016,No Date,Non-Coal Mining,SMT S ROHINI,Rejection Letter Granted
521,SIA/OR/MIN/3904/2015,SEIAA/3904/820-NCM/11-2015,Orissa,Cuttack,Salepur,Date of Submission : 05 Nov 2015,Date of TOR Granted : 25 Jan 2016,Non-Coal Mining,BASUDEV KAR,TOR Granted - Processed offline
522,SIA/OR/MIN/4372/2015,4372/1148-NCM/01-2016,Orissa,Keonjhar,Barbil,Date of Submission : 15 Jan 2016,Date of TOR Granted : 21 Apr 2016,Non-Coal Mining,BAITARANI SAND BED,TOR Granted - Processed offline
523,SIA/OR/IND2/17303/2016,17303/15-IND2/09-2016,Orissa,Jagatsinghapur,Paradip,Date of Submission : 18 Sep 2016,Date of TOR Granted : 01 Dec 2019,Industrial Projects - 2,Bharat Petroleum Corporation Ltd.,TOR Granted
524,SIA/OR/MIN/17287/2016,17287/1755-NCM/12-2016,Orissa,Dhenkanal,Kamakshyanagar,Date of Submission : 06 Dec 2016,Date of TOR Granted : 20 Feb 2017,Non-Coal Mining,PRASANTA KUMAR SAHOO,TOR Granted
525,SIA/OR/MIN/7717/2016,7717/1514-NCM/03-2016,Orissa,Nayagarh,Nayagarh,Date of Submission : 08 Mar 2016,Date of TOR Granted : 26 Apr 2016,Non-Coal Mining,PRIVATE,TOR Granted - Processed offline
526,SIA/OR/MIN/9549/2016,9549/1252-NCM/01-2016,Orissa,Kalahandi,Kesinga,Date of Submission : 23 Jan 2016,Date of TOR Granted : 27 Jan 2017,Non-Coal Mining,GYANAJIT NAYAK,TOR Granted
527,SIA/OR/MIN/4326/2015,SEIAA/4326/841-NCM/11-2015,Orissa,Kendujhar,Soso,Date of Submission : 19 Nov 2015,Date of TOR Granted : 25 Jan 2016,Non-Coal Mining,SABITA TRIPATHY,TOR Granted - Processed offline
528,SIA/OR/MIN/4327/2015,SEIAA/4327/842-NCM/11-2015,Orissa,Gajapati,Kashinagara,Date of Submission : 19 Nov 2015,Date of TOR Granted : 25 Jan 2016,Non-Coal Mining,SUBASH CHANDRA PATRO,TOR Granted - Processed offline
529,SIA/OR/MIN/4364/2015,SEIAA/4364/843-NCM/11-2015,Orissa,Bhadrak,Dhamanagar,Date of Submission : 19 Nov 2015,No Date,Non-Coal Mining,MURALIDHARA MAJHI,Delisted
530,SIA/OR/IND2/23240/2018,23240/341-IND2/03-2018,Orissa,Kalahandi,Narala,Date of Submission : 31 Mar 2018,No Date,Industrial Projects - 2,DURGA PRASAD SAHU,MoveToTORtoEC
531,SIA/OR/IND2/23250/2018,23250/361-IND2/04-2018,Orissa,Jharsuguda,Lakhanpur,Date of Submission : 07 Apr 2018,No Date,Industrial Projects - 2,SANTOSH KUMAR JAISWAL,MoveToTORtoEC
532,SIA/OR/IND2/23252/2018,23252/342-IND2/03-2018,Orissa,Balangir,Titlagarh,Date of Submission : 31 Mar 2018,No Date,Industrial Projects - 2,RITESHSAHU,MoveToTORtoEC
533,SIA/OR/IND2/23260/2018,23260/348-IND2/04-2018,Orissa,Boudh,Kantamal,Date of Submission : 01 Apr 2018,No Date,Industrial Projects - 2,LALIT KUMAR MEHER,MoveToTORtoEC
534,SIA/OR/MIN/4313/2015,4313/1474-NCM/02-2016,Orissa,Dhenkanal,Hindol,Date of Submission : 11 Feb 2016,No Date,Non-Coal Mining,KARANDA BLACK STONE QUARRY,Delisted
535,SIA/OR/MIN/4336/2015,4336/1454-NCM/02-2016,Orissa,Dhenkanal,Hindol,Date of Submission : 09 Feb 2016,No Date,Non-Coal Mining,BABANDHA BLACK STONE QUARRY,Delisted
