,Proposal.No.
1009,SIA/OR/MIN/50481/2016
1013,SIA/OR/MIN/75791/2018
1014,SIA/OR/MIN/417044/2023
1015,SIA/OR/MIN/422850/2023
1016,SIA/OR/MIN/53972/2016
1017,SIA/OR/IND2/22142/2018
1018,SIA/OR/IND2/22701/2018
1019,SIA/OR/MIN/53417/2016
1020,SIA/OR/MIN/419854/2023
1021,SIA/OR/MIN/64714/2017
1022,SIA/OR/MIN/407350/2022
1023,SIA/OR/MIN/18112/2013
1024,SIA/OR/MIN/417021/2023
1025,SIA/OR/MIN/69792/2017
1026,SIA/OR/MIN/61120/2016
1027,SIA/OR/MIN/410974/2022
1028,SIA/OR/MIN/71449/2017
1029,SIA/OR/MIN/22128/2018
1030,SIA/OR/MIN/406868/2022
1031,SIA/OR/IND2/24087/2018
1032,SIA/OR/MIN/409230/2022
1033,SIA/OR/MIN/425695/2023
1034,SIA/OR/MIN/422858/2023
1035,SIA/OR/IND2/22665/2018
1036,SIA/OR/IND2/21815/2018
1037,SIA/OR/MIN/42373/2016
1038,SIA/OR/IND2/26059/2018
1039,SIA/OR/MIN/37832/2016
1040,SIA/OR/IND2/21159/2017
1041,SIA/OR/IND2/22473/2018
1042,SIA/OR/MIN/407678/2022
1043,SIA/OR/MIN/64246/2017
1044,SIA/OR/MIN/404617/2022
1045,SIA/OR/NCP/76195/2018
1047,SIA/OR/MIN/428951/2023
1048,SIA/OR/MIN/402094/2022
1049,SIA/OR/MIN/405402/2022
1050,SIA/OR/IND2/23158/2018
1051,SIA/OR/MIN/75051/2018
1052,SIA/OR/MIN/38995/2016
1053,SIA/OR/MIN/50290/2016
1054,SIA/OR/IND2/23834/2018
1055,SIA/OR/IND2/21882/2018
1056,SIA/OR/MIN/42084/2016
1057,SIA/OR/IND2/23164/2018
1058,SIA/OR/MIN/37846/2016
1059,SIA/OR/MIN/42374/2016
1060,SIA/OR/MIN/412021/2022
1061,SIA/OR/MIN/422043/2023
1062,SIA/OR/IND2/28102/2018
1063,SIA/OR/MIN/48138/2016
1064,SIA/OR/MIN/50534/2016
1065,SIA/OR/IND2/21626/2018
1066,SIA/OR/IND2/29167/2018
1067,SIA/OR/MIN/404201/2022
1068,SIA/OR/MIN/63503/2017
1069,SIA/OR/MIN/51263/2016
1070,SIA/OR/MIN/41101/2016
1071,SIA/OR/MIN/424804/2023
1072,SIA/OR/IND2/25914/2018
1073,SIA/OR/MIN/405971/2022
1074,SIA/OR/IND2/23168/2018
1075,SIA/OR/MIN/42646/2016
1076,SIA/OR/MIS/30292/2017
1077,SIA/OR/MIN/70338/2017
1078,SIA/OR/MIN/405459/2022
1079,SIA/OR/MIN/41295/2016
1080,SIA/OR/MIN/23514/2018
1081,SIA/OR/IND2/23260/2018
1082,SIA/OR/MIN/50516/2016
1083,SIA/OR/IND2/27932/2018
1084,SIA/OR/IND2/21784/2018
1085,SIA/OR/MIN/64513/2017
1086,SIA/OR/MIN/61827/2017
1087,SIA/OR/MIN/412210/2022
1088,SIA/OR/MIN/49973/2016
1089,SIA/OR/MIN/426984/2023
1090,SIA/OR/MIN/403362/2022
1091,SIA/OR/NCP/75603/2018
1092,SIA/OR/IND2/21778/2018
1093,SIA/OR/MIN/61914/2017
1094,SIA/OR/MIN/414684/2023
1095,SIA/OR/MIN/406056/2022
1096,SIA/OR/MIN/421763/2023
1097,SIA/OR/IND2/23240/2018
1098,SIA/OR/IND2/28174/2018
1099,SIA/OR/IND2/28175/2018
1100,SIA/OR/MIN/59706/2016
1101,SIA/OR/MIN/408132/2022
1102,SIA/OR/IND2/29144/2018
1103,SIA/OR/MIN/419372/2023
1104,SIA/OR/MIN/64717/2017
1105,SIA/OR/MIN/402825/2022
1106,SIA/OR/MIN/421749/2023
1107,SIA/OR/MIN/401915/2022
1108,SIA/OR/MIN/50693/2016
1109,SIA/OR/MIN/70432/2017
1110,SIA/OR/IND2/21793/2018
1111,SIA/OR/MIN/423377/2023
1112,SIA/OR/MIN/410946/2022
1113,SIA/OR/MIN/64315/2017
1114,SIA/OR/MIN/418108/2023
1115,SIA/OR/MIN/422673/2023
1116,SIA/OR/MIN/22367/2018
1117,SIA/OR/MIN/403300/2022
1118,SIA/OR/MIN/403187/2022
1119,SIA/OR/MIN/80362/2018
1120,SIA/OR/MIN/39063/2016
1121,SIA/OR/MIN/417606/2023
1122,SIA/OR/MIN/423182/2023
1123,SIA/OR/IND2/22402/2018
1124,SIA/OR/INFRA2/418440/2023
1125,SIA/OR/MIN/42962/2016
1126,SIA/OR/MIN/406035/2022
1127,SIA/OR/MIN/70864/2017
1128,SIA/OR/MIN/402438/2022
