,Proposal.No.
1416,SIA/OR/IND2/22713/2018
1417,SIA/OR/MIN/50538/2016
1418,SIA/OR/IND2/23166/2018
1419,SIA/OR/IND2/21928/2018
1420,SIA/OR/IND2/72547/2018
1421,SIA/OR/IND2/21645/2018
1422,SIA/OR/MIN/49710/2016
1423,SIA/OR/MIN/72108/2018
1424,SIA/OR/MIN/53954/2016
1425,SIA/OR/MIN/74669/2018
1426,SIA/OR/MIN/50958/2016
1427,SIA/OR/IND2/20883/2017
1428,SIA/OR/IND2/22046/2018
1429,SIA/OR/MIN/60363/2016
1430,SIA/OR/MIN/50814/2016
1431,SIA/OR/MIN/49868/2016
1432,SIA/OR/MIN/416435/2023
1433,SIA/OR/IND2/25750/2018
1434,SIA/OR/IND2/23221/2018
1435,SIA/OR/MIN/75778/2018
1436,SIA/OR/MIN/417472/2023
1437,SIA/OR/MIN/50051/2016
1438,SIA/OR/MIN/49908/2016
1439,SIA/OR/MIN/63806/2017
1440,SIA/OR/MIN/423260/2023
1441,SIA/OR/IND2/25506/2018
1442,SIA/OR/MIN/69671/2017
1443,SIA/OR/MIN/60762/2016
1444,SIA/OR/MIN/70433/2017
1445,SIA/OR/MIN/72104/2018
1446,SIA/OR/MIN/408324/2022
1447,SIA/OR/IND2/23265/2018
1448,SIA/OR/IND2/29635/2018
1449,SIA/OR/NCP/86475/2018
1450,SIA/OR/MIN/50419/2016
1451,SIA/OR/IND2/21905/2018
1452,SIA/OR/MIN/406935/2022
1453,SIA/OR/MIN/416778/2023
1454,SIA/OR/MIN/80901/2018
1455,SIA/OR/MIN/42356/2016
1456,SIA/OR/MIN/73560/2018
1457,SIA/OR/MIN/41120/2016
1458,SIA/OR/MIN/41294/2016
1459,SIA/OR/IND2/21779/2018
1460,SIA/OR/IND2/23313/2018
1462,SIA/OR/MIN/41506/2016
1463,SIA/OR/NCP/59528/2016
1464,SIA/OR/IND2/408307/2022
1465,SIA/OR/MIN/50553/2016
1466,SIA/OR/MIN/19524/2017
1467,SIA/OR/MIN/37952/2016
1468,SIA/OR/MIN/41125/2016
1469,SIA/OR/IND2/26192/2018
1476,SIA/OR/MIN/85180/2018
1477,SIA/OR/IND2/21813/2018
1478,SIA/OR/IND2/21692/2018
1487,SIA/OR/MIN/48694/2016
1488,SIA/OR/MIN/80950/2018
1489,SIA/OR/IND2/22570/2018
1490,SIA/OR/IND2/22636/2018
1491,SIA/OR/MIN/403303/2022
1492,SIA/OR/IND2/22461/2018
1493,SIA/OR/MIN/42237/2016
1494,SIA/OR/MIN/405306/2022
1495,SIA/OR/MIN/74627/2018
1496,SIA/OR/NCP/83620/2018
1497,SIA/OR/MIN/41211/2016
1498,SIA/OR/MIN/35201/2015
1499,SIA/OR/MIN/64755/2017
1500,SIA/OR/MIN/49142/2016
1501,SIA/OR/MIN/50059/2016
1502,SIA/OR/IND2/26029/2018
1503,SIA/OR/MIN/39227/2016
1504,SIA/OR/MIN/50018/2016
1505,SIA/OR/MIN/404415/2022
1506,SIA/OR/IND2/28071/2018
1507,SIA/OR/IND2/22020/2018
1508,SIA/OR/IND2/19538/2016
1509,SIA/OR/MIN/414395/2023
1510,SIA/OR/MIN/60767/2016
1511,SIA/OR/MIN/75066/2018
1512,SIA/OR/MIN/42235/2016
1513,SIA/OR/IND2/21781/2018
1514,SIA/OR/MIN/38264/2016
1515,SIA/OR/IND2/28835/2018
1516,SIA/OR/IND2/21908/2018
1517,SIA/OR/MIN/38665/2016
1518,SIA/OR/IND/19604/2015
1519,SIA/OR/IND2/21830/2018
1520,SIA/OR/IND2/23250/2018
1521,SIA/OR/MIN/63715/2017
1522,SIA/OR/IND2/22141/2018
1523,SIA/OR/IND2/26025/2018
1524,SIA/OR/IND2/29047/2018
1525,SIA/OR/MIN/402145/2022
1526,SIA/OR/MIN/419420/2023
1527,SIA/OR/IND2/23266/2018
1528,SIA/OR/MIN/401811/2022
1529,SIA/OR/MIN/75959/2018
1530,SIA/OR/MIN/38079/2016
1531,SIA/OR/MIN/83136/2022
1532,SIA/OR/MIN/50808/2016
1533,SIA/OR/MIN/404116/2022
1534,SIA/OR/IND2/16695/2015
1535,SIA/OR/IND2/22252/2018
1536,SIA/OR/MIN/82131/2018
1537,SIA/OR/MIN/425288/2023
1538,SIA/OR/IND2/21783/2018
1539,SIA/OR/IND2/22680/2018
1540,SIA/OR/MIN/403463/2022
1541,SIA/OR/MIN/405308/2022
1542,SIA/OR/MIN/62047/2017
1543,SIA/OR/IND2/27889/2018
1544,SIA/OR/MIN/67715/2017
1545,SIA/OR/IND2/20868/2017
1546,SIA/OR/MIN/92155/2019
1547,SIA/OR/MIN/49886/2016
1548,SIA/OR/IND2/26184/2018
1549,SIA/OR/MIN/42647/2016
1550,SIA/OR/IND2/25912/2018
1551,SIA/OR/IND2/23161/2018
1552,SIA/OR/MIN/79639/2018
1553,SIA/OR/MIN/417366/2023
1554,SIA/OR/MIN/422346/2023
1555,SIA/OR/IND2/22149/2018
1556,SIA/OR/MIN/422764/2023
1557,SIA/OR/IND2/26036/2018
1558,SIA/OR/MIN/408894/2022
1559,SIA/OR/MIN/411509/2022
1560,SIA/OR/MIN/425812/2023
1561,SIA/OR/IND2/21801/2018
1562,SIA/OR/IND2/22721/2018
1563,SIA/OR/IND2/22140/2018
1564,SIA/OR/MIN/41505/2016
1565,SIA/OR/IND2/26017/2018
1566,SIA/OR/IND2/22474/2018
1567,SIA/OR/MIN/403601/2022
1568,SIA/OR/MIN/417777/2023
1569,SIA/OR/IND2/28104/2018
1570,SIA/OR/IND2/29175/2018
1571,SIA/OR/MIN/50144/2016
1572,SIA/OR/NCP/83491/2018
1573,SIA/OR/IND2/21275/2017
1574,SIA/OR/MIN/60451/2016
1575,SIA/OR/MIN/36381/2015
1576,SIA/OR/MIN/75440/2018
1577,SIA/OR/MIN/50717/2016
1578,SIA/OR/IND2/22649/2018
1579,SIA/OR/MIN/42358/2016
1580,SIA/OR/MIN/418587/2023
1581,SIA/OR/IND2/20820/2017
1582,SIA/OR/IND2/23211/2018
1583,SIA/OR/IND2/23163/2018
1584,SIA/OR/MIN/50816/2016
1585,SIA/OR/IND2/22671/2018
1586,SIA/OR/MIN/21948/2018
1587,SIA/OR/MIN/60737/2016
1588,SIA/OR/IND1/403785/2022
1589,SIA/OR/MIN/405254/2022
1590,SIA/OR/MIN/63226/2017
1591,SIA/OR/MIN/416981/2023
1592,SIA/OR/MIN/404533/2022
1593,SIA/OR/MIN/37833/2016
1594,SIA/OR/IND2/21636/2018
1595,SIA/OR/MIN/53080/2016
1596,SIA/OR/MIN/49814/2016
1597,SIA/OR/IND2/21835/2018
1598,SIA/OR/MIN/26224/2018
1599,SIA/OR/MIN/48133/2016
1600,SIA/OR/IND2/23236/2018
1601,SIA/OR/MIN/414994/2023
1602,SIA/OR/MIN/422956/2023
1603,SIA/OR/MIN/42361/2016
1604,SIA/OR/IND2/27936/2018
1605,SIA/OR/MIN/35213/2015
1606,SIA/OR/MIN/427488/2023
1607,SIA/OR/MIN/62046/2017
1608,SIA/OR/MIN/41773/2016
1609,SIA/OR/IND2/23870/2018
1610,SIA/OR/IND2/28825/2018
1611,SIA/OR/MIN/75554/2018
1612,SIA/OR/MIN/49152/2016
1613,SIA/OR/MIN/416959/2023
1614,SIA/OR/MIN/423558/2023
1615,SIA/OR/MIN/49912/2016
1616,SIA/OR/MIN/74830/2018
1617,SIA/OR/MIN/49927/2016
1619,SIA/OR/MIN/50146/2016
1620,SIA/OR/MIN/38070/2016
1621,SIA/OR/MIN/59223/2016
1622,SIA/OR/MIN/17871/2015
1623,SIA/OR/MIN/404436/2022
1624,SIA/OR/MIN/37956/2016
1625,SIA/OR/MIN/50474/2016
1626,SIA/OR/IND2/21894/2018
1627,SIA/OR/IND2/420041/2023
1628,SIA/OR/IND2/23865/2018
1629,SIA/OR/INFRA2/427722/2023
1630,SIA/OR/MIN/74589/2018
1631,SIA/OR/MIN/58930/2016
1632,SIA/OR/MIN/50530/2016
1633,SIA/OR/IND2/21032/2016
1634,SIA/OR/MIN/410344/2022
1635,SIA/OR/MIN/62688/2017
1636,SIA/OR/MIN/62061/2017
1637,SIA/OR/IND2/22729/2018
1638,SIA/OR/MIN/418119/2023
1639,SIA/OR/MIN/49695/2016
1640,SIA/OR/INFRA2/401962/2022
1641,SIA/OR/IND2/25943/2018
1642,SIA/OR/MIN/39082/2016
1643,SIA/OR/IND2/22719/2018
1644,SIA/OR/MIN/48134/2016
1645,SIA/OR/MIN/412346/2022
1646,SIA/OR/INFRA2/404906/2022
1647,SIA/OR/IND2/21828/2018
1648,SIA/OR/IND2/28067/2018
1649,SIA/OR/MIN/59591/2016
1650,SIA/OR/IND2/26083/2018
1651,SIA/OR/IND2/28971/2018
1652,SIA/OR/MIN/416146/2023
1653,SIA/OR/MIN/48242/2016
1654,SIA/OR/IND2/22306/2018
1655,SIA/OR/MIN/402571/2022
1656,SIA/OR/MIN/62283/2017
1657,SIA/OR/NCP/84976/2018
1658,SIA/OR/MIN/35925/2015
1659,SIA/OR/MIN/50069/2016
1660,SIA/OR/IND2/22302/2018
1661,SIA/OR/MIN/63790/2017
1662,SIA/OR/IND2/29455/2018
1663,SIA/OR/MIN/65196/2017
1664,SIA/OR/MIN/73924/2018
1665,SIA/OR/MIN/41245/2016
1666,SIA/OR/MIN/407172/2022
1667,SIA/OR/MIN/406173/2022
1668,SIA/OR/IND2/25952/2018
1669,SIA/OR/MIN/48041/2016
1670,SIA/OR/MIN/429165/2023
1671,SIA/OR/CMIN/405212/2022
1672,SIA/OR/IND2/21822/2018
1673,SIA/OR/NCP/21080/2017
1674,SIA/OR/MIN/405715/2022
1675,SIA/OR/MIN/39080/2016
1676,SIA/OR/NCP/10375/2015
1677,SIA/OR/IND2/25640/2018
1678,SIA/OR/NCP/22323/2017
1679,SIA/OR/MIN/37940/2016
1680,SIA/OR/MIN/409882/2022
1681,SIA/OR/MIN/16765/2014
1682,SIA/OR/MIN/49632/2016
1683,SIA/OR/MIN/38608/2016
1684,SIA/OR/IND2/425934/2023
1685,SIA/OR/IND2/22261/2018
1686,SIA/OR/MIN/67068/2017
1687,SIA/OR/MIN/28350/2018
1688,SIA/OR/IND2/28185/2018
1689,SIA/OR/NCP/75210/2018
1690,SIA/OR/MIN/52526/2016
1691,SIA/OR/INFRA2/422946/2023
1692,SIA/OR/IND2/22310/2018
1819,SIA/OR/MIN/414227/2023
1820,SIA/OR/IND2/21629/2018
1821,SIA/OR/MIN/414615/2023
1822,SIA/OR/MIN/42369/2016
1823,SIA/OR/MIN/36661/2015
1831,SIA/OR/MIN/419481/2023
1832,SIA/OR/MIN/37826/2016
1918,SIA/OR/INFRA2/408006/2022
1919,SIA/OR/MIN/421786/2023
1921,SIA/OR/MIN/63807/2017
1922,SIA/OR/IND2/72548/2018
1923,SIA/OR/IND2/22488/2018
1924,SIA/OR/MIN/60207/2016
1925,SIA/OR/IND2/19523/2017
1926,SIA/OR/MIN/29806/2016
1927,SIA/OR/IND2/29028/2018
1928,SIA/OR/MIN/51738/2016
1929,SIA/OR/IND2/28062/2018
1930,SIA/OR/MIN/405118/2022
1931,SIA/OR/MIN/39078/2016
1932,SIA/OR/MIN/49972/2016
1933,SIA/OR/IND2/23269/2018
1934,SIA/OR/MIN/424762/2023
1935,SIA/OR/MIN/404213/2022
1936,SIA/OR/MIN/36742/2015
1942,SIA/OR/MIN/70859/2017
1947,SIA/OR/MIN/20615/2017
1948,SIA/OR/IND2/25625/2018
1949,SIA/OR/MIN/409777/2022
1950,SIA/OR/IND2/22144/2018
1951,SIA/OR/MIN/37939/2016
1954,SIA/OR/MIN/53566/2016
1955,SIA/OR/MIN/49112/2016
1956,SIA/OR/MIN/37816/2016
1957,SIA/OR/MIN/28483/2018
1958,SIA/OR/IND2/26173/2018
1959,SIA/OR/IND2/28189/2018
1960,SIA/OR/MIN/63826/2017
1961,SIA/OR/IND2/22724/2018
1966,SIA/OR/MIN/64662/2017
1967,SIA/OR/MIN/414416/2023
1968,SIA/OR/MIN/35204/2015
1969,SIA/OR/IND/29913/2017
1970,SIA/OR/MIN/41209/2016
1971,SIA/OR/MIN/407367/2022
1972,SIA/OR/IND2/22047/2018
1973,SIA/OR/IND2/21780/2018
1974,SIA/OR/MIN/403572/2022
1975,SIA/OR/MIN/53082/2016
1976,SIA/OR/MIN/18055/2016
1977,SIA/OR/IND2/28962/2018
1978,SIA/OR/IND2/21881/2018
1979,SIA/OR/MIN/20996/2016
1980,SIA/OR/MIN/48132/2016
1981,SIA/OR/MIN/426799/2023
1988,SIA/OR/IND2/21893/2018
1989,SIA/OR/MIN/63366/2017
1990,SIA/OR/MIN/428620/2023
1992,SIA/OR/IND2/27914/2018
1993,SIA/OR/IND2/22670/2018
1994,SIA/OR/MIN/4698/2015
1995,SIA/OR/IND2/23216/2018
2000,SIA/OR/MIN/403653/2022
2001,SIA/OR/MIN/55744/2016
2002,SIA/OR/IND2/26070/2018
2003,SIA/OR/IND2/22566/2018
2004,SIA/OR/IND2/29026/2018
2005,SIA/OR/IND2/21897/2018
2006,SIA/OR/IND2/23325/2018
2007,SIA/OR/MIN/424072/2023
2008,SIA/OR/MIN/61217/2016
2009,SIA/OR/MIN/41297/2016
2010,SIA/OR/MIN/404437/2022
2011,SIA/OR/MIN/52223/2016
2012,SIA/OR/IND2/26157/2018
2013,SIA/OR/MIN/53084/2016
2014,SIA/OR/MIN/63504/2017
2015,SIA/OR/IND2/22650/2018
2016,SIA/OR/IND2/26161/2018
2017,SIA/OR/MIN/35664/2015
2018,SIA/OR/IND2/72540/2018
2019,SIA/OR/IND1/406696/2022
2020,SIA/OR/IND2/21721/2018
2024,SIA/OR/MIN/35912/2015
2034,SIA/OR/IND2/25639/2018
2035,SIA/OR/MIN/62060/2017
2036,SIA/OR/MIN/75788/2018
2037,SIA/OR/NCP/71809/2017
2038,SIA/OR/IND2/22327/2018
2039,SIA/OR/IND2/28842/2018
2044,SIA/OR/MIN/428878/2023
2045,SIA/OR/MIN/41508/2016
2046,SIA/OR/IND2/416925/2023
2047,SIA/OR/MIN/408955/2022
2048,SIA/OR/IND2/23143/2018
2049,SIA/OR/MIN/64254/2017
2050,SIA/OR/MIN/37842/2016
2051,SIA/OR/IND2/21761/2018
2052,SIA/OR/IND2/21906/2018
2053,SIA/OR/MIS/30293/2017
2054,SIA/OR/MIN/52531/2016
2055,SIA/OR/IND2/22147/2018
2056,SIA/OR/MIN/57476/2016
2057,SIA/OR/INFRA2/411058/2022
2058,SIA/OR/MIN/406076/2022
2059,SIA/OR/MIN/74955/2018
2060,SIA/OR/MIN/74613/2018
2061,SIA/OR/MIN/416322/2023
2062,SIA/OR/IND2/21887/2018
2063,SIA/OR/MIN/38801/2016
2064,SIA/OR/MIN/406562/2022
2065,SIA/OR/THE/415567/2023
2066,SIA/OR/MIN/74933/2018
2067,SIA/OR/MIN/63714/2017
2068,SIA/OR/IND2/22669/2018
2069,SIA/OR/MIN/58683/2016
2070,SIA/OR/MIN/415503/2023
2071,SIA/OR/MIN/66107/2017
2072,SIA/OR/MIN/39029/2016
2073,SIA/OR/IND2/20920/2017
2074,SIA/OR/MIN/59132/2016
2075,SIA/OR/MIN/403338/2022
2076,SIA/OR/MIN/402117/2022
2077,SIA/OR/IND2/21785/2018
2078,SIA/OR/MIN/61828/2017
2079,SIA/OR/MIN/429072/2023
2080,SIA/OR/MIN/38605/2016
2081,SIA/OR/IND2/20891/2017
2082,SIA/OR/IND2/25985/2018
2083,SIA/OR/MIN/403968/2022
2084,SIA/OR/IND2/22681/2018
2085,SIA/OR/MIN/404431/2022
2086,SIA/OR/IND2/22548/2018
2087,SIA/OR/MIN/41776/2016
2088,SIA/OR/IND2/22678/2018
2089,SIA/OR/IND2/23220/2018
2090,SIA/OR/MIN/406639/2022
2091,SIA/OR/MIN/17829/2013
2092,SIA/OR/IND2/21691/2018
2093,SIA/OR/IND2/25812/2018
2100,SIA/OR/IND2/27937/2018
2101,SIA/OR/MIN/428019/2023
2102,SIA/OR/MIN/411370/2022
2103,SIA/OR/MIN/417174/2023
2104,SIA/OR/IND2/21637/2018
2105,SIA/OR/IND2/20818/2017
2106,SIA/OR/MIN/74681/2018
2107,SIA/OR/INFRA2/427980/2023
2108,SIA/OR/MIN/78743/2018
2109,SIA/OR/IND2/23268/2018
2110,SIA/OR/MIN/71609/2017
2111,SIA/OR/NCP/74935/2018
2112,SIA/OR/IND2/23272/2018
2113,SIA/OR/MIN/64316/2017
2114,SIA/OR/MIN/424669/2023
2115,SIA/OR/MIN/39158/2016
2116,SIA/OR/MIN/40136/2016
2117,SIA/OR/IND2/23117/2018
2118,SIA/OR/IND2/22582/2018
2119,SIA/OR/MIN/60445/2016
2120,SIA/OR/MIN/42365/2016
2121,SIA/OR/MIN/429135/2023
2122,SIA/OR/IND2/22644/2018
2123,SIA/OR/MIN/415407/2023
2124,SIA/OR/NCP/59415/2016
2125,SIA/OR/INFRA2/418519/2023
2126,SIA/OR/MIN/80682/2018
2127,SIA/OR/MIN/422646/2023
2128,SIA/OR/IND2/27888/2018
2129,SIA/OR/IND2/25941/2018
2130,SIA/OR/MIN/417081/2023
2131,SIA/OR/MIN/48696/2016
2132,SIA/OR/NCP/23634/2018
2133,SIA/OR/MIN/56866/2016
2134,SIA/OR/MIN/30089/2015
2135,SIA/OR/IND2/29693/2018
2136,SIA/OR/IND2/22348/2018
2137,SIA/OR/MIN/59902/2016
2138,SIA/OR/IND2/22462/2018
2139,SIA/OR/IND2/22583/2018
2140,SIA/OR/MIN/403698/2022
2141,SIA/OR/MIN/63875/2017
2142,SIA/OR/IND2/22469/2018
2143,SIA/OR/IND2/22439/2018
2144,SIA/OR/IND2/29143/2018
2145,SIA/OR/MIN/409627/2022
2146,SIA/OR/MIN/403230/2022
2147,SIA/OR/MIN/429084/2023
2148,SIA/OR/MIN/403717/2022
2149,SIA/OR/MIN/49969/2016
2150,SIA/OR/IND2/21776/2018
2151,SIA/OR/MIN/404494/2022
2152,SIA/OR/MIN/42367/2016
2153,SIA/OR/IND2/28105/2018
2154,SIA/OR/IND2/35242/2019
2155,SIA/OR/IND2/22464/2018
2156,SIA/OR/MIN/403998/2022
2157,SIA/OR/MIN/69343/2017
2158,SIA/OR/MIN/404715/2022
2159,SIA/OR/MIN/405133/2022
2160,SIA/OR/IND2/23178/2018
2161,SIA/OR/IND2/21834/2018
2162,SIA/OR/IND2/21819/2018
2163,SIA/OR/MIN/426916/2023
2164,SIA/OR/MIN/58356/2016
2165,SIA/OR/MIN/50064/2016
2166,SIA/OR/MIN/425450/2023
2167,SIA/OR/IND2/27880/2018
2168,SIA/OR/IND2/22545/2018
2169,SIA/OR/IND2/23282/2018
2170,SIA/OR/MIN/406165/2022
2171,SIA/OR/IND2/21898/2018
2172,SIA/OR/MIN/19857/2017
2173,SIA/OR/IND2/21787/2018
2175,SIA/OR/NCP/27975/2017
2176,SIA/OR/MIN/49873/2016
2177,SIA/OR/MIN/415872/2023
2178,SIA/OR/MIN/42371/2016
2179,SIA/OR/IND2/22153/2018
2180,SIA/OR/MIN/72599/2018
2181,SIA/OR/MIN/69344/2017
2182,SIA/OR/MIN/37937/2016
2183,SIA/OR/MIN/39372/2016
2184,SIA/OR/MIN/50030/2016
2185,SIA/OR/MIN/10977/2016
2186,SIA/OR/IND2/23867/2018
2187,SIA/OR/MIN/404740/2022
2188,SIA/OR/MIN/49922/2016
2189,SIA/OR/MIN/402927/2022
2190,SIA/OR/MIN/50686/2016
2191,SIA/OR/IND2/23821/2018
2192,SIA/OR/MIN/416361/2023
2193,SIA/OR/MIN/423372/2023
2194,SIA/OR/MIN/411482/2022
2195,SIA/OR/MIN/421545/2023
2196,SIA/OR/MIN/406591/2022
2197,SIA/OR/MIN/62738/2017
2198,SIA/OR/MIN/75168/2018
2199,SIA/OR/IND2/23198/2018
2200,SIA/OR/MIN/29911/2015
2201,SIA/OR/MIN/37957/2016
2202,SIA/OR/MIN/406334/2022
2203,SIA/OR/MIN/79684/2018
2204,SIA/OR/MIN/42262/2016
2205,SIA/OR/IND2/21722/2018
2206,SIA/OR/MIN/72624/2018
2207,SIA/OR/MIN/404698/2022
2208,SIA/OR/MIN/52607/2016
2209,SIA/OR/MIN/42354/2016
2210,SIA/OR/MIN/49216/2016
2211,SIA/OR/MIN/49006/2016
2212,SIA/OR/IND2/21873/2018
2213,SIA/OR/MIN/36492/2015
2214,SIA/OR/MIN/48137/2016
2215,SIA/OR/MIN/19644/2017
2216,SIA/OR/IND2/72545/2018
2217,SIA/OR/MIN/409234/2022
2218,SIA/OR/MIN/412730/2022
2219,SIA/OR/MIN/74664/2018
2220,SIA/OR/IND2/72550/2018
2221,SIA/OR/NCP/27973/2017
2222,SIA/OR/MIN/57562/2016
2223,SIA/OR/MIN/405203/2022
2224,SIA/OR/IND2/28069/2018
2225,SIA/OR/NCP/61726/2017
2226,SIA/OR/MIN/405355/2022
2227,SIA/OR/IND2/22139/2018
2228,SIA/OR/IND2/20898/2017
2229,SIA/OR/IND2/21885/2018
2230,SIA/OR/MIN/79326/2018
2235,SIA/OR/MIN/49100/2016
2236,SIA/OR/IND2/22540/2018
2237,SIA/OR/IND2/26028/2018
2238,SIA/OR/MIN/405180/2022
2239,SIA/OR/NCP/10376/2015
2240,SIA/OR/MIN/41192/2016
2241,SIA/OR/MIN/65603/2017
2242,SIA/OR/MIN/64271/2017
2246,SIA/OR/MIN/48697/2016
2247,SIA/OR/IND2/22328/2018
2248,SIA/OR/MIN/424796/2023
2249,SIA/OR/MIN/427396/2023
2250,SIA/OR/MIN/29874/2018
2251,SIA/OR/IND2/72541/2018
2252,SIA/OR/IND2/22630/2018
2253,SIA/OR/IND2/28190/2018
2254,SIA/OR/IND2/22309/2018
2255,SIA/OR/MIN/38733/2016
2256,SIA/OR/IND2/22242/2018
2257,SIA/OR/MIN/36368/2015
2258,SIA/OR/MIN/406129/2022
2259,SIA/OR/MIN/41769/2016
2260,SIA/OR/NCP/78500/2018
2261,SIA/OR/MIN/405220/2022
2262,SIA/OR/MIN/35657/2015
2263,SIA/OR/MIN/417311/2023
2264,SIA/OR/IND2/23162/2018
2265,SIA/OR/MIN/413339/2023
2266,SIA/OR/MIN/41075/2016
2267,SIA/OR/MIN/76098/2018
2269,SIA/OR/MIN/405099/2022
2270,SIA/OR/MIN/50817/2016
2271,SIA/OR/IND2/23300/2018
2272,SIA/OR/MIN/50195/2016
2273,SIA/OR/IND2/29041/2018
2274,SIA/OR/MIN/39134/2016
2275,SIA/OR/IND2/28063/2018
2276,SIA/OR/MIN/404291/2022
2277,SIA/OR/NCP/27984/2018
2278,SIA/OR/MIN/403104/2022
2279,SIA/OR/MIN/48896/2016
2280,SIA/OR/MIN/403038/2022
2281,SIA/OR/NCP/18479/2016
2282,SIA/OR/IND2/28833/2018
2283,SIA/OR/MIN/50151/2016
2284,SIA/OR/MIN/37828/2016
2285,SIA/OR/MIN/63641/2017
2286,SIA/OR/MIN/60251/2016
2287,SIA/OR/MIN/81325/2018
2288,SIA/OR/MIN/417243/2023
2289,SIA/OR/IND2/22542/2018
2293,SIA/OR/MIN/42973/2016
2294,SIA/OR/MIN/408062/2022
2295,SIA/OR/MIN/402544/2022
2296,SIA/OR/MIN/41484/2016
2297,SIA/OR/MIN/57578/2016
2298,SIA/OR/IND2/22672/2018
2299,SIA/OR/IND2/22626/2018
2300,SIA/OR/MIN/41771/2016
2382,SIA/OR/MIN/64886/2017
2388,SIA/OR/MIN/42352/2016
2389,SIA/OR/MIN/409600/2022
2390,SIA/OR/NCP/72000/2018
2391,SIA/OR/MIN/403335/2022
2393,SIA/OR/MIN/42960/2016
2394,SIA/OR/IND2/22475/2018
2395,SIA/OR/MIN/69345/2017
2396,SIA/OR/MIN/50815/2016
2397,SIA/OR/MIN/21811/2018
2398,SIA/OR/MIN/42353/2016
2399,SIA/OR/MIN/59830/2016
2400,SIA/OR/MIN/75739/2018
2401,SIA/OR/MIN/402644/2022
2402,SIA/OR/IND2/21652/2018
2403,SIA/OR/IND2/26068/2018
2404,SIA/OR/IND2/21786/2018
2405,SIA/OR/MIN/428282/2023
2406,SIA/OR/MIN/407443/2022
2407,SIA/OR/IND2/22322/2018
2408,SIA/OR/MIN/406469/2022
2409,SIA/OR/MIN/425424/2023
2410,SIA/OR/MIN/60362/2016
2411,SIA/OR/MIN/50631/2016
2413,SIA/OR/MIN/49217/2016
2414,SIA/OR/IND2/22716/2018
2415,SIA/OR/MIN/67139/2017
2417,SIA/OR/NCP/64476/2017
2418,SIA/OR/MIN/403864/2022
2419,SIA/OR/MIN/57282/2016
2420,SIA/OR/MIN/418758/2023
2421,SIA/OR/IND2/23351/2018
2422,SIA/OR/IND2/21896/2018
2423,SIA/OR/MIN/405939/2022
2424,SIA/OR/MIN/80069/2018
2425,SIA/OR/MIN/50424/2016
2426,SIA/OR/IND2/26187/2018
2427,SIA/OR/INFRA2/408179/2022
2428,SIA/OR/MIN/417359/2023
2432,SIA/OR/IND2/28181/2018
2434,SIA/OR/MIN/63731/2017
2435,SIA/OR/IND2/25925/2018
2436,SIA/OR/MIN/35902/2015
2438,SIA/OR/MIN/50529/2016
2439,SIA/OR/MIN/423756/2023
2440,SIA/OR/MIN/41494/2016
2441,SIA/OR/IND2/20757/2016
2442,SIA/OR/MIN/404520/2022
2443,SIA/OR/MIN/423067/2023
2444,SIA/OR/IND2/21836/2018
2445,SIA/OR/MIN/38992/2016
2446,SIA/OR/MIN/49782/2016
2447,SIA/OR/IND2/26160/2018
2448,SIA/OR/IND2/22485/2018
2449,SIA/OR/MIN/81331/2018
2450,SIA/OR/MIN/62282/2017
2451,SIA/OR/MIN/58054/2016
2452,SIA/OR/MIN/42366/2016
2453,SIA/OR/MIN/42234/2016
2454,SIA/OR/IND2/28128/2018
2455,SIA/OR/MIN/422523/2023
2456,SIA/OR/MIN/50810/2016
2457,SIA/OR/MIN/50673/2016
2458,SIA/OR/MIN/76101/2018
2459,SIA/OR/MIN/414174/2023
2460,SIA/OR/INFRA2/412673/2023
2461,SIA/OR/MIN/37831/2016
2462,SIA/OR/IND2/23238/2018
2463,SIA/OR/MIN/74882/2018
2464,SIA/OR/IND2/24081/2018
2465,SIA/OR/MIN/71163/2017
2466,SIA/OR/MIN/403909/2022
2467,SIA/OR/MIN/421419/2023
2468,SIA/OR/INFRA2/423008/2023
2469,SIA/OR/MIN/73059/2018
2470,SIA/OR/MIS/30287/2017
2471,SIA/OR/IND2/23267/2018
2472,SIA/OR/MIN/65245/2017
2473,SIA/OR/MIN/407065/2022
2474,SIA/OR/RIV/3931/2010
2475,SIA/OR/MIN/40954/2016
2476,SIA/OR/IND2/17094/2015
2477,SIA/OR/MIN/400364/2022
2478,SIA/OR/IND2/16863/2015
2479,SIA/OR/MIN/18774/2016
2480,SIA/OR/IND2/23160/2018
2481,SIA/OR/MIN/50692/2016
2482,SIA/OR/MIN/413892/2023
2483,SIA/OR/IND2/29072/2018
2484,SIA/OR/IND2/23232/2018
2485,SIA/OR/MIN/403835/2022
2486,SIA/OR/MIN/53072/2016
2487,SIA/OR/MIN/50813/2016
2488,SIA/OR/MIN/402524/2022
2489,SIA/OR/IND2/26158/2018
2490,SIA/OR/IND2/21777/2018
2491,SIA/OR/IND2/22465/2018
2492,SIA/OR/IND2/21931/2018
2493,SIA/OR/IND2/72552/2018
2494,SIA/OR/MIN/404551/2022
2495,SIA/OR/MIN/64060/2017
2496,SIA/OR/MIN/35474/2015
2497,SIA/OR/MIN/423787/2023
2498,SIA/OR/MIN/58890/2016
2499,SIA/OR/MIN/423514/2023
2500,SIA/OR/MIN/71732/2017
2501,SIA/OR/IND2/21903/2018
2502,SIA/OR/MIN/64097/2017
