,0,id,absolute_path
88,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21893/2018&pid=New,SIA/OR/IND2/21893/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21893/2018&pid=New
89,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21889/2018&pid=New,SIA/OR/IND2/21889/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21889/2018&pid=New
90,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21885/2018&pid=New,SIA/OR/IND2/21885/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21885/2018&pid=New
91,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21884/2018&pid=New,SIA/OR/IND2/21884/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21884/2018&pid=New
92,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21883/2018&pid=New,SIA/OR/IND2/21883/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21883/2018&pid=New
93,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21882/2018&pid=New,SIA/OR/IND2/21882/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21882/2018&pid=New
94,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21887/2018&pid=New,SIA/OR/IND2/21887/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21887/2018&pid=New
95,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21881/2018&pid=New,SIA/OR/IND2/21881/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21881/2018&pid=New
96,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21792/2018&pid=New,SIA/OR/IND2/21792/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21792/2018&pid=New
97,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21880/2018&pid=New,SIA/OR/IND2/21880/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21880/2018&pid=New
98,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21874/2018&pid=New,SIA/OR/IND2/21874/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21874/2018&pid=New
99,state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/21426/2017&pid=New,SIA/OR/MIN/21426/2017,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/MIN/21426/2017&pid=New
100,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21815/2018&pid=New,SIA/OR/IND2/21815/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21815/2018&pid=New
101,state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21814/2018&pid=New,SIA/OR/IND2/21814/2018,https://environmentclearance.nic.in/state/FORM_B_PDF.aspx?cat_id=SIA/OR/IND2/21814/2018&pid=New
