,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
76,SIA/AS/MIN/200578/2021,SEIAA.1714/2021,Assam,Kamrup,Dispur,Date of Submission for EC: 17 Sep 2021 ,Date of Ec Granted : 08 Nov 2021,Non-Coal Mining,SRI. SUBODH CHANDRA BAISHYA,EC Granted
77,SIA/AS/MIN/133899/2019,,Assam,West Karbi Anglong,Phuloni,Date of Submission for EC: 28 Dec 2019 ,Date of Ec Granted : 29 Feb 2020,Non-Coal Mining,M/S S.A. ENTERPRISE,EC Granted - Processed offline
78,SIA/AS/MIN/186738/2020,SEIAA.1501/2021,Assam,Jorhat,Jorhat West,Date of Submission for EC: 05 Dec 2020 ,Date of Ec Granted : 05 Feb 2021,Non-Coal Mining,ANANTA KRISHNA GOGOI,EC Granted
79,SIA/AS/MIN/251986/2022,SEIAA. 2058/2022,Assam,Jorhat,Jorhat East,Date of Submission for EC: 04 Apr 2022 ,Date of Ec Granted : 04 Jun 2022,Non-Coal Mining,ARUP KUMAR BORUAH,EC Granted
80,SIA/AS/MIN/274448/2022,SEIAA. 3058/2022,Assam,Goalpara,Balijana,Date of Submission for TOR: ,Date of Submission for EC: 16 Jul 2022 ,Non-Coal Mining,ABDUL MANNAN ALI,Accepted by SEIAA and forwarded to SEAC
81,SIA/AS/MIN/234816/2021,SEIAA.1878/2021,Assam,Chirang,No Data,Date of Submission for EC: 18 Nov 2021 ,Date of Ec Granted : 29 Jan 2022,Non-Coal Mining,NUJAKHANG BRAHMA,EC Granted
82,SIA/AS/MIN/179049/2020,,Assam,Marigaon,Marigaon,Date of Submission for TOR: ,Date of Submission for EC: 14 Oct 2020 ,Non-Coal Mining,M/S S.M.T. BRICKS,Delisted
83,SIA/AS/MIS/179073/2020,SEIAA.1408/2020,Assam,Karbi Anglong,Silonijan,Date of Submission for EC: 14 Oct 2020 ,Date of Ec Granted : 05 Feb 2021,INFRA-2,M/S MPA-NKA (JV),EC Granted
84,SIA/AS/MIN/195157/2021,,Assam,Nagaon,Koliabor,Date of Submission for TOR: ,Date of Submission for EC: 20 Dec 2021 ,Non-Coal Mining,M/S D.S. BRICKS,Delisted
85,SIA/AS/MIN/132117/2019,,Assam,Bongaigaon,Srijangram,Date of Submission for EC: 18 Dec 2019 ,Date of Ec Granted : 29 Feb 2020,Non-Coal Mining,SHER ALI,EC Granted - Processed offline
86,SIA/AS/MIS/132065/2019,,Assam,Dibrugarh,Tengakhat,Date of Submission for TOR: ,Date of Submission for EC: 24 Dec 2019 ,INFRA-2,LUXMI BRICK GAON,Delisted
