,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
47,SIA/GA/MIS/201239/2021,GA/EC/0002/2021,Goa,North Goa,Tiswadi,Date of Submission for EC: 13 Oct 2021 ,Date of Ec Granted : 14 Jun 2022,INFRA-2,SIR BIOTECH INDIA LIMITED,EC Granted
48,SIA/GA/MIN/215987/2021,,Goa,South Goa,Sanguem,Date of Submission for TOR: ,Date of Submission for EC: 27 Jul 2021 ,Non-Coal Mining,MANUEL DA COSTA,WithdrawEC
49,SIA/GA/MIN/205616/2021,GA/EC/0016/2021,Goa,North Goa,Bicholim,Date of Submission for TOR: ,Date of Submission for EC: 06 Sep 2021 ,Non-Coal Mining,VITHU SHIVA SATELKAR,WithdrawEC
50,SIA/GA/MIN/288354/2022,GA/EC/0068/2022,Goa,South Goa,Sanguem,Date of Submission for TOR: ,Date of Submission for EC: 13 Sep 2022 ,Non-Coal Mining, SAMRAT INDUSTRIES,WithdrawEC
51,SIA/GA/MIN/285216/2022,GA/EC/0060/2022,Goa,South Goa,Sanguem,Date of Submission for TOR: ,Date of Submission for EC: 08 Aug 2022 ,Non-Coal Mining,RAJENDRA NAIK,Rejection Letter Granted
52,SIA/GA/MIS/75534/2018,,Goa,North Goa,Bardez,Date of Submission for TOR: ,Date of Submission for EC: 22 Jun 2018 ,INFRA-2,NALINI DA ROSA FERNANDES,Transfered SEIAA To MOEFCC
53,SIA/GA/NCP/60666/2016,,Goa,North Goa,Bardez,Date of Submission for EC: 25 Nov 2016 ,Date of Ec Granted : 17 May 2018,INFRA-1,CLASSIC SQUARES REALTY PVT LTD,EC Granted - Processed offline
54,SIA/GA/MIS/249734/2022,GA/EC/0034/2022,Goa,North Goa,Tiswadi,Date of Submission for TOR: ,Date of Submission for EC: 05 Mar 2022 ,INFRA-2,ADWALPALKARS SKYLINE,Delisted
55,SIA/GA/MIN/227399/2021,,Goa,North Goa,Bardez,Date of Submission for TOR: ,Date of Submission for EC: 02 Sep 2021 ,Non-Coal Mining,"DEPARTMENT OF ENVIRONMENT & CLIMATE CHANGE, GOA",WithdrawEC
56,SIA/GA/MIN/227637/2021,GA/EC/021/2021.,Goa,North Goa,Bardez,Date of Submission for EC: 03 Sep 2021 ,Date of Ec Granted : 12 Oct 2021,Non-Coal Mining,"DISTRICT COLLECTOR, NORTH GOA",EC Granted
57,SIA/GA/NCP/288350/2022,GA/EC/0065/2022,Goa,South Goa,Salcete,Date of Submission for TOR: ,Date of Submission for EC: 28 Feb 2023 ,INFRA-1,DIRECTORATE OF FISHERIES,ADS by SEAC
58,SIA/GA/MIN/285379/2022,GA/EC/0059/2022,Goa,South Goa,Quepem,Date of Submission for EC: 21 Nov 2022 ,Date of Ec Granted : 17 Mar 2023,Non-Coal Mining,DELIA FERNANDES,EC Granted
59,SIA/GA/MIN/429692/2023,124/3/2023-24/GSEIAA/Project-Prop,Goa,,,Date of Submission for TOR: ,Date of Submission for EC: 19 May 2023 ,Non-Coal Mining,SAMEER GOBRE,ADS by SEAC
60,SIA/GA/MIN/210872/2021,GA/EC/0008/2021,Goa,North Goa,Ponda,Date of Submission for TOR: ,Date of Submission for EC: 21 Oct 2021 ,Non-Coal Mining,SHRI AKSHAY UTTAM KHANDEPARKAR,WithdrawEC
