,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
941,SIA/KA/MIN/204439/2021,SEIAA 158 MIN 2021,“Building Stone Quarry” of  Sri. K. H. Venkatesh,Karnataka,Mandya,Nagamangala,Date of Submission for TOR: ,Date of Submission for EC: 18 Mar 2021 ,Non-Coal Mining,SRI. K. H. VENKATESH,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/204439/2021&pid=173894,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/204439/2021&type=EC&ID=173894
942,SIA/KA/MIN/909/2015,,ASHOKTDHUMMAL,Karnataka,Haveri,Byadgi,Date of Submission for TOR: ,Date of Submission for EC: 07 Aug 2015 ,Non-Coal Mining,ASHOKA T DHUMMAL,Query raised by SEIAA and pending at PP,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/909/2015&pid=319,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/909/2015&type=EC&ID=319
943,SIA/KA/MIN/2640/2015,SEIAA 1195 MIN 2015,"“Shahabad Stone Quarry” of  Sri. Ramayya at  Sy No: 187/3,  Madakal Village, Sedam Taluk, Kalburgi District, Karnataka. 1-00 Acres",Karnataka,kalaburagi,Sedam,Date of Submission for EC: 30 Sep 2015 ,Date of Ec Granted : 02 Dec 2015,Non-Coal Mining,RAMAYYA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/2640/2015&pid=24881,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/2640/2015&type=EC&ID=24881
944,SIA/KA/MIN/2394/2015,SEIAA 1219 MIN 2015,BLACK GRANITE QUARRY-SRINATH,Karnataka,Chamarajanagar,Chamarajanagar,Date of Submission for EC: 30 Sep 2015 ,Date of Ec Granted : 26 Nov 2015,Non-Coal Mining,SRINATH,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/2394/2015&pid=24882,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/2394/2015&type=EC&ID=24882
945,SIA/KA/MIS/29559/2015,SEIAA 114 CON 2015,Residential Apartment with club house,Karnataka,Bangalore Urban,Bangalore North,Date of Submission for EC: 24 Jul 2015 ,Date of Ec Granted : 27 Jan 2016,INFRA-2,M/S. HOYSALA PROJECTS PVT.LTD.,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIS/29559/2015&pid=219,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIS/29559/2015&type=EC&ID=219
946,SIA/KA/NCP/61150/2016,SEIAA 189 CON 2016,"Proposed Residential  Building    project By
M/s. VDB Infra and Realty Pvt Ltd
No 842/A, 100 Ft Road
Indira Nagar  
Bangalore-560038
",Karnataka,Bangalore Urban,Bangalore South,Date of Submission for EC: 21 Dec 2016 ,Date of Ec Granted : 28 Mar 2017,INFRA-1,VDB INFRA AND REALTY PVT LTD,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/NCP/61150/2016&pid=33198,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/NCP/61150/2016&type=EC&ID=33198
947,SIA/KA/IND2/224109/2021,SEIAA 46 IND 2021,PROPOSED MANUFACTURING OF THE ACTIVE PHARMACEUTICAL INTERMEDIATES AND INGREDIENTS (API / BULK DRUGS) AND R&D UNITS – KAIPI DIVISION,Karnataka,Tumkur,Tumkur,Date of Submission for EC: 12 Aug 2021 ,Date of Ec Granted : 17 Jan 2022,Industrial Projects - 2,KOYE PHARMACEUTICALS PVT. LTD.,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/IND2/224109/2021&pid=190014,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/IND2/224109/2021&type=EC&ID=190014
948,SIA/KA/MIN/204083/2021,,ARKERA BUILDING STONE QUARRY,Karnataka,Raichur,Devadurga,Date of Submission for TOR: ,Date of Submission for EC: 24 Mar 2021 ,Non-Coal Mining,ANANTHRAJ AYYANNA,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/204083/2021&pid=173798,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/204083/2021&type=EC&ID=173798
949,SIA/KA/IND2/25679/2018,SEIAA 29 IND (VOIL) 2018,Asian Polymers,Karnataka,Mandya,Mandya,Date of Submission for TOR: ,Date of Submission for EC: 25 Apr 2020 ,Industrial Projects - 2,ASIAN POLYMERS,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/IND2/25679/2018&pid=104450,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/IND2/25679/2018&type=EC&ID=104450
950,SIA/KA/MIN/42960/2019,SEIAA 652 MIN 2019,“Building Stone(M-Sand) Quarry” of  Sri. C S Prasad,Karnataka,Kolar,Srinivasapura,Date of Submission for TOR: ,Date of Submission for EC: 16 Sep 2019 ,Non-Coal Mining,SRI. C S  PRASAD,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/42960/2019&pid=63653,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/42960/2019&type=EC&ID=63653
951,SIA/KA/MIN/224900/2021,SEIAA 388 MIN 2021,Ordinary Sand Quarry,Karnataka,Bagalkot,Badami,Date of Submission for EC: 16 Aug 2021 ,Date of Ec Granted : 29 Dec 2021,Non-Coal Mining,SRI. NANDISH DEVASHETTY,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Karnataka&pno=SIA/KA/MIN/224900/2021&pid=190195,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/KA/MIN/224900/2021&type=EC&ID=190195
