,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
8,508,SIA/HP/MIN/129751/2019,,Sh. Rahul Pathania & Smt. Seema Devi- Mining Lease Area,SH. RAHUL PATHANIA & SMT. SEEMA DEVI - MINING LEASE AREA,Delisted,EC,
9,509,SIA/HP/MIN/224222/2021,HPSEIAA/2021/868,Stone Mining Project with proposed crusher plant,MEENA RAM THAKUR,EC Granted,EC,
10,510,SIA/HP/MIN/196452/2021,HPSEIAA/2021/820,"“Sand, Stone & Bajri Mining Project” Haler",SH. HARSARAN DUTT,EC Granted,EC,
1,511,SIA/HP/MIN/94229/2019,SEIAA/2019/609,Sand and Bajri Mining Project by Sh Rakesh Kumar,SAND AND BAJRI MINING PROJECT BY SH RAKESH KUMAR,EC Granted,EC,
2,512,SIA/HP/MIN/58233/2016,HPSEIAA/2016/373,Mohal Kuttwalla Mining Project,ANIL SHARMA,Rejected - Processed offline,EC,
3,513,SIA/HP/MIN/57787/2016,,"River bed mining project i.e. Minor mineral mining for sand, stone & Bajri from Khasra No. 438 Min & 438 Min falling in Mauza Banbirpur, Tehsil-Nalagarh, District-Solan, Himachal Pradesh.",MS DOON STONE CRUSHER,Delisted,EC,
4,514,SIA/HP/MIN/209772/2021,HPSEIAA/2021/835,Stone Mining Project,UTTAM RAM,Delisted,EC,
5,515,SIA/HP/MIN/187080/2020,HPSEIAA/2020/794,Stone Mining Project,SH.   P.  L. VERMA,WithdrawEC,EC,
6,516,SIA/HP/MIN/79205/2021,HPSEIAA/2022/961,Proposed Minor Mineral Lease for Stone of Area 10.1529 Hectare,SJVN SHIMLA,EC Granted,EC,
7,517,SIA/HP/MIN/131657/2019,HPSEIAA/2019/695,"Mining of Sand, Stone & Bajri from Swan River situated in Mauza/Mohal Nagnoli Haar of Sub. Tehsil Ispur, Distt. Una, Himachal Pradesh by Kanwar Sandeep Singh C/o Sh. Narinder Kumar Jaswal","MINING OF SAND, STONE & BAJRI FROM SWAN RIVER SITUATED IN MAUZA/MOHAL NAGNOLI HAAR OF SUB. TEHSIL ISPUR, DISTT. UNA, HIMACHAL PRADESH BY KANWAR SANDEEP SINGH C/O SH. NARINDER KUMAR JASWAL",EC Granted,EC,
8,518,SIA/HP/MIN/134097/2019,HPSEIAA/2020/707,“Sand & Stone Mining Project”,SANGAT  RAM,EC Granted,EC,
9,519,SIA/HP/IND2/173775/2020,HPSEIAA/2020/775,S R BIO CHEM PVT LTD,S R BIO CHEM PVT LTD,Delisted,EC,
10,520,SIA/HP/MIN/195255/2021,HPSEIAA/2021/808,Sh. Mohammad Soyab Akhter Auctioned area,SH. MOHAMMAD SOYAD AKHTER AUCTIONED AREA,Delisted,EC,
1,521,SIA/HP/MIN/73836/2018,HPSEIAA/2018/574,"Sand, Stone & bajri Falling in Mauza & Mohal Poanta, Tehsil Paonta Sahib, District Sirmaur, Himachal Pradesh with crusher unit of 45TPH. (Area 6.8655 Ha)",UMESH KHANDUJA,Delisted,EC,
2,522,SIA/HP/MIN/55639/2016,HPSEIAA/2016/510,"Mining of Sand, Stone & Bajri from Pali Khad, located at Mauza/Mohal Nawan Nagar, Tehsil Nalagarh, District Solan, HP.  Proposed by Sh. Sunil Kumar Garg  Prop. M/s Aggarwal Stone Crusher.",MS AGGARWAL STONE CRUSHER,Delisted,EC,
3,523,SIA/HP/MIN/50182/2016,HPSEIAA/2016/470,"M/s Shiv Shakti Stone Crusher CO-OP. Ind. Society, Sand,
Stone and Bajri Mining Project.",SHIV SHAKTI STONE CRUSHER,EC Granted,EC,
4,524,SIA/HP/MIN/53608/2016,HPSEIAA/2016/502,Jai Ram Stone Mining Project,MINING OF STONE BY SHRI JAI RAM,EC Granted,EC,
5,525,SIA/HP/MIN/423940/2023,HPSEIAA/2023/1066,Extraction of sand stone and Bajri by Jagdish Raj Thakur,JAGDISH THAKUR,EC Granted,EC,
6,526,SIA/HP/MIN/443892/2023,,"Sand, Stone and Bajri, Part of Hill Slope Mining Project by Smt. Suman Khanna Prop. M/s Brecher Stone Crusher",SUMAN KHANNA,Pending at PP due to eds,EC,
7,527,SIA/HP/MIN/95223/2019,HPSEIAA/2019/613,stone Mining project by Sh Naresh Kumar,STONE MINING PROJECT BY SH NARESH KUMAR,EC Granted,EC,
8,528,SIA/HP/MIN/409764/2022,HPSEIAA/2023/1057,"Extraction of Stone, Sand and Bajri from Khasra No. 250/2",SUNDER LAL,EC Granted,EC,
9,529,SIA/HP/MIN/59021/2016,,"sand,stone and bajri mining project from bed of giri river by prempal",SHRI PREM PAL,TransferToDEIAA,EC,
10,530,SIA/HP/NCP/75922/2018,HPSEIAA/2018/571,Amravati Associates (P) Limited,AMRAVATI ASSOCIATES PRIVATE LIMITED,EC Granted,EC,
1,531,SIA/HP/MIN/52310/2016,HPSEIAA/2016/477,Stone mining by Suresh Chauhan,SURESH CHAUHAN,EC Granted,EC,
