"","X","Proposal.Number","Project.Name","Project.Sector","Date.of.Submission","Submitted.by.Proponent","Query.for.Shortcoming.if.any..by.SEIAA","Resubmission.of.Proposal.by.Proponent.1","Accepted.by.SEIAA.and.forwarded.to.SEAC","Query.for.Shortcoming.if.any..by.SEAC","Resubmission.of.Proposal.by.Proponent.2","Accepted.by.SEAC","Forwarded.to.SEIAA.for.EC","EC.Letter.Uploaded.On.EC.Granted","Link"
"6225",6224,"SIA/GJ/MIS/65829/2009","M/s. Krishak Bharati Cooperative Limited (KRIBHCO)","INFRA-2","21 Jul 2021","21/07/2021","","","29/08/2021","","","14/09/2021","28/02/2022","22/04/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/65829/2009&type=EC&ID=189426"
"6226",6225,"SIA/GJ/IND2/17990/2016","Expansion in Existing Plant at Plot No. CH-10, GIDC Estate, Dahej, Taluka Vagra, District Bharuch, Gujarat","Industrial Projects - 2","17 Oct 2017","17/10/2017","03/11/2017","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/17990/2016&type=EC&ID=38969"
"6227",6226,"SIA/GJ/IND2/21028/2016","Micro Resins Pvt Ltd.","Industrial Projects - 2","08 Feb 2018","08/02/2018","06/02/2018","08/02/2018","17/02/2018","23/02/2018","10/12/2018","11/12/2018","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND2/21028/2016&type=EC&ID=39295"
"6228",6227,"SIA/GJ/MIS/245835/2021","“Bougainvillea” by Kaavyaratna Gift LLP","INFRA-2","06 Jan 2022","18/12/2021","","","20/12/2021","05/01/2022","06/01/2022","19/01/2022","31/03/2022","06/05/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/245835/2021&type=EC&ID=195184"
"6229",6228,"SIA/GJ/MIS/245959/2021","Mustafa Residency","INFRA-2","18 Dec 2021","18/12/2021","","","20/12/2021","","","06/01/2022","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/245959/2021&type=EC&ID=195224"
"6230",6229,"SIA/GJ/IND3/248758/2021","Darshan Health Care Pvt. Ltd.","Industrial Projects - 3","29 Apr 2022","30/12/2021","","","31/12/2021","13/01/2022","29/04/2022","06/05/2022","","17/12/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND3/248758/2021&type=EC&ID=196074"
"6231",6230,"SIA/GJ/IND3/246222/2021","Proposed Active Pharmaceuticals Ingredients & Intermediate","Industrial Projects - 3","20 Dec 2021","20/12/2021","","","","","","","","","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND3/246222/2021&type=EC&ID=195298"
"6232",6231,"SIA/GJ/MIS/265525/2022","Proposed Residential & Commercial Project - ‘Swarnim Sentossa’ by M/s. Golden & Co.","INFRA-2","01 Apr 2022","01/04/2022","","","04/04/2022","","","08/04/2022","","05/11/2022","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/265525/2022&type=EC&ID=201532"
"6233",6232,"SIA/GJ/MIS/284429/2022","Shree Siddheshwar Hridyam","INFRA-2","30 Aug 2022","20/07/2022","","","22/07/2022","29/08/2022","30/08/2022","06/09/2022","","09/02/2023","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/MIS/284429/2022&type=EC&ID=209102"
"6234",6233,"SIA/GJ/IND3/81077/2021","M/s. Saumya Chemicals","Industrial Projects - 3","30 Sep 2022","26/08/2022","","","26/08/2022","28/09/2022","30/09/2022","11/10/2022","","26/07/2023","https://environmentclearance.nic.in/timeline.aspx?pid=SIA/GJ/IND3/81077/2021&type=EC&ID=209195"
