,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
513,SIA/JH/MIN/447323/2023,M/S Aman Bricks,Non-Coal Mining,08 Oct 2023,07/10/2023,07/10/2023,08/10/2023,08/10/2023,,,08/10/2023,,30/11/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/447323/2023&type=EC&ID=226476
514,SIA/JH/MIN/28016/2017,Bicha limestone mine,Non-Coal Mining,04 Aug 2021,04/08/2021,16/07/2021,09/02/2021,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/28016/2017&type=EC&ID=44720
515,SIA/JH/MIN/425734/2023,Brahmandiha Stone Deposit (1.36 ha.),Non-Coal Mining,12 Apr 2023,11/04/2023,11/04/2023,12/04/2023,12/04/2023,,,12/04/2023,,04/05/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/425734/2023&type=EC&ID=218690
516,SIA/JH/MIN/447115/2023,LATU STONE MINE,Non-Coal Mining,08 Oct 2023,05/10/2023,06/10/2023,08/10/2023,08/10/2023,,,08/10/2023,,29/11/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/447115/2023&type=EC&ID=226391
517,SIA/JH/MIN/440301/2023,Bisodih Stone Deposit (Area –2.581 Ha or 6.38 Acre),Non-Coal Mining,14 Aug 2023,13/08/2023,13/08/2023,14/08/2023,15/08/2023,,,15/08/2023,,11/09/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/440301/2023&type=EC&ID=223964
518,SIA/JH/MIN/413199/2023,DOMCHANCH STONE DEPOSIT ,Non-Coal Mining,10 Jan 2023,06/01/2023,06/01/2023,10/01/2023,17/01/2023,,,20/01/2023,,08/02/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/413199/2023&type=EC&ID=214903
519,SIA/JH/MIN/32841/2015,"AMBADE STONE MINE
(M/S MAA KALIKA STONE WORKS)",Non-Coal Mining,16 Nov 2015,16/11/2015,,,27/11/2015,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/32841/2015&type=EC&ID=2279
520,SIA/JH/MIN/436431/2023,Kuchu Stone Deposit (Area - 1.89 Ha.),Non-Coal Mining,14 Jul 2023,12/07/2023,12/07/2023,14/07/2023,16/07/2023,,,18/07/2023,,21/08/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/436431/2023&type=EC&ID=222638
521,SIA/JH/MIN/444455/2023,Khurdih Stone Deposit,Non-Coal Mining,18 Sep 2023,15/09/2023,15/09/2023,18/09/2023,18/09/2023,,,18/09/2023,,11/10/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/444455/2023&type=EC&ID=225191
522,SIA/JH/MIN/50700/2016,Ankur Kejriwal,Non-Coal Mining,22 Apr 2016,22/04/2016,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/50700/2016&type=EC&ID=14506
523,SIA/JH/INFRA2/433168/2023,Proposed Residential Building “Privilege Home-Phase II” ,INFRA-2,14 Jun 2023,13/06/2023,13/06/2023,14/06/2023,14/06/2023,,,14/06/2023,,14/07/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/INFRA2/433168/2023&type=EC&ID=221301
524,SIA/JH/MIN/74713/2018,BARGUNIA STONE MINE,Non-Coal Mining,05 Jun 2018,05/06/2018,04/06/2018,05/06/2018,19/06/2018,,,20/06/2018,20/06/2018,05/06/2018,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/74713/2018&type=EC&ID=43804
525,SIA/JH/NCP/94476/2019,NUCLEUS CITY,INFRA-1,27 Feb 2019,27/02/2019,22/02/2019,27/02/2019,28/02/2019,,,05/03/2019,18/03/2019,05/04/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/NCP/94476/2019&type=EC&ID=52632
526,SIA/JH/MIN/61304/2016,CHAPANDEY STONE MINE PROJECT(6.682 ha) ,Non-Coal Mining,10 Jan 2017,10/01/2017,06/01/2017,10/01/2017,16/01/2017,,,28/04/2017,02/08/2017,07/02/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/61304/2016&type=EC&ID=33315
527,SIA/JH/MIN/73890/2018,JINGI & JONJRO SAND MINING PROJECT,Non-Coal Mining,02 Apr 2018,02/04/2018,10/05/2018,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/73890/2018&type=EC&ID=43159
528,SIA/JH/MIN/425158/2023,Hathigarh Stone Mine (2.14 ha.),Non-Coal Mining,12 Apr 2023,06/04/2023,11/04/2023,12/04/2023,12/04/2023,,,12/04/2023,,04/05/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/425158/2023&type=EC&ID=218492
529,SIA/JH/INFRA2/447287/2023,Affordable Group Housing Project by M/s Prahlad Builders & Associates Pvt. Ltd.,INFRA-2,08 Oct 2023,06/10/2023,06/10/2023,08/10/2023,08/10/2023,,,08/10/2023,,30/11/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/INFRA2/447287/2023&type=EC&ID=226470
530,SIA/JH/MIN/446603/2023,"Proposed for mining of Brick Clay (Earth) in Lohanjara Brick Clay Deposit over an area of 4.23 Acres (1.71 ha.), at Khata No. 04; Plot No. 813, 814 at Village -Lohanjara, Circle - Sisai, District – Gumla, Jharkhand for M/s Gold Bricks",Non-Coal Mining,03 Oct 2023,02/10/2023,02/10/2023,03/10/2023,07/10/2023,,,08/10/2023,,30/11/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/JH/MIN/446603/2023&type=EC&ID=226253
