,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link,Timeline
383,SIA/UK/MIN/60477/2016,,SurkaliGaon mineral Soapstone deposit,Uttarakhand,Bageshwar,Bageshwar,Date of Submission for TOR: ,Date of Submission for EC: 17 Nov 2016 ,Non-Coal Mining,MS OVERSEAS MIN TECH CONSULTANTS,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/MIN/60477/2016&pid=32744,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/60477/2016&type=EC&ID=32744
384,SIA/UK/MIN/30228/2015,,rkosi river bed minn,Uttarakhand,Bageshwar,Kapkot,Date of Submission for TOR: ,Date of Submission for EC: 20 Aug 2015 ,Non-Coal Mining,A K Shukla,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/MIN/30228/2015&pid=469,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/30228/2015&type=EC&ID=469
385,SIA/UK/INFRA2/450550/2023,EC-09(87)/2023,Environmental Clearance for Proposed Feed Supplements Manufacturing Unit of by M/s Saife Vetmed Pvt. Ltd. (Unit 2).,Uttarakhand,,,Date of Submission for EC: 28 Oct 2023 ,Date of Ec Granted : 13 Dec 2023,INFRA-2, SAIFE VETMED PRIVATE LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/INFRA2/450550/2023&pid=227410,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/INFRA2/450550/2023&type=EC&ID=227410
386,SIA/UK/MIN/407293/2022,EC-01(148)/2020,Garuwa Sirmoli Soapstone Mine,Uttarakhand,Bageshwar,,Date of Submission for EC: 21 Nov 2022 ,Date of Ec Granted : 07 Nov 2023,Non-Coal Mining,GARUWA SIRMOLI SOAPSTONE MINE,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/MIN/407293/2022&pid=212923,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/407293/2022&type=EC&ID=212923
387,SIA/UK/NCP/168101/2020,EC-9(63)/2020,"Environmental clearance for Installation of DG Set in RBM Screening Plant by M/s Gurdeep Singh and Company at Khata No. 225, Village Dakpathar, Tehsil – Vikasnagar, District – Dehradun, Uttarakhand",Uttarakhand,Dehradun,Vikasnagar,Date of Submission for EC: 14 Aug 2020 ,Date of Ec Granted : 19 Mar 2021,INFRA-1,M/S GURDEEP SINGH AND COMPANY,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/NCP/168101/2020&pid=124140,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/NCP/168101/2020&type=EC&ID=124140
388,SIA/UK/NCP/29310/2017,E.C 8(13)/2019,"Group Housing project at Avas Vikas Parishad Housing Colony, Veerbhadra Marg Yojna, Rishikesh",Uttarakhand,Dehradun,Rishikesh,Date of Submission for TOR: ,Date of Submission for EC: 05 Oct 2018 ,INFRA-1,SUNRISE TECHNOBUILD LLP,Accepted by SEIAA and forwarded to SEAC,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/NCP/29310/2017&pid=46028,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/NCP/29310/2017&type=EC&ID=46028
389,SIA/UK/IND3/422962/2023,EC-09(39)/2023,WELLMIND NUTRACEUTICALS PVT. LTD. ,Uttarakhand,,,Date of Submission for EC: 23 Mar 2023 ,Date of Ec Granted : 15 Apr 2023,Industrial Projects - 3, WELLMIND NUTRACEUTICALS PRIVATE LIMITED,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/IND3/422962/2023&pid=217919,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/IND3/422962/2023&type=EC&ID=217919
390,SIA/UK/MIN/34227/2015,1-(772)/2015,M/s Salaudeen,Uttarakhand,Haridwar,Hardiwar,Date of Submission for TOR: ,Date of Submission for EC: 11 Dec 2015 ,Non-Coal Mining,SALAHUDDIN,EC  has been Granted Manually,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/MIN/34227/2015&pid=3650,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/34227/2015&type=EC&ID=3650
391,SIA/UK/MIN/53155/2018,EC-1(7)/2018,Nayal Biladi Soapstone Mine,Uttarakhand,Bageshwar,Bageshwar,Date of Submission for EC: 15 May 2020 ,Date of Ec Granted : 09 Nov 2020,Non-Coal Mining,NAYAL BILADI SOAPSTONE MINE,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/MIN/53155/2018&pid=104789,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIN/53155/2018&type=EC&ID=104789
392,SIA/UK/MIS/103507/2019,E.C- 8(14)/2019,Mallplex Cum Hotel Project,Uttarakhand,Dehradun,Dehradun,Date of Submission for TOR: ,Date of Submission for EC: 24 Jun 2019 ,INFRA-2,HARE KRISHNA TOURISM DEVELOPMENT LIMITED,Under examination of SEAC manually process,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Uttarakhand&pno=SIA/UK/MIS/103507/2019&pid=55170,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UK/MIS/103507/2019&type=EC&ID=55170
