,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
626,SIA/OR/MIN/425949/2023,425949/912-MINB2/03-2023,Orissa,,,Date of Submission for TOR: ,Date of Submission for EC: 13 Apr 2023 ,Non-Coal Mining,TAHASILDAR BORIGUMMA,Accepted by SEIAA and forwarded to SEAC
627,SIA/OR/MIN/42359/2016,42359/1289-NCM/01-2016,Orissa,Jajpur,Jajapur   ,Date of Submission for EC: 26 Jan 2016 ,Date of Ec Granted : 25 Jun 2016,Non-Coal Mining,ABHIRAM MALIK,EC Granted - Processed offline
628,SIA/OR/MIN/428356/2023,,Orissa,,,Date of Submission for TOR: ,Date of Submission for EC: 09 May 2023 ,Non-Coal Mining,RANJIT JENA,Under examination of SEIAA
629,SIA/OR/MIN/279256/2022,,Orissa,Bargarh,Sohela,Date of Submission for TOR: ,Date of Submission for EC: 21 Jun 2022 ,Non-Coal Mining,KANHAIYA AGRAWAL,Delisted
630,SIA/OR/MIN/277608/2022,277608/294-MINB2/06-2022,Orissa,Kendujhar,Kendujhar Town,Date of Submission for EC: 10 Jun 2022 ,Date of Ec Granted : 22 Sep 2022,Non-Coal Mining,"OFICE OF THE TAHASILDAR, KEONJHAR",EC Granted
631,SIA/OR/IND2/22717/2018,22717/298-IND2/03-2018,Orissa,Balangir,Saintala,Date of Submission for EC: 27 Mar 2018 ,Date of Ec Granted : 28 Jul 2018,Industrial Projects - 2,BHOLANATH SAHOO,EC Granted
632,SIA/OR/MIN/39341/2016,SEIAA/39341/1110-NCM/01-2016,Orissa,Nayagarh,Ranapur,Date of Submission for TOR: ,Date of Submission for EC: 09 Jan 2016 ,Non-Coal Mining,SANTOSH KUMAR SAHOO,Delisted
633,SIA/OR/MIN/51114/2016,,Orissa,Balangir,Titlagarh,Date of Submission for TOR: ,Date of Submission for EC: 18 Mar 2016 ,Non-Coal Mining,ATUL,Delisted
634,SIA/OR/IND2/20822/2017,20822/49-IND2/10-2017,Orissa,Ganjam,Bhanjanagar,Date of Submission for EC: 27 Oct 2017 ,Date of Ec Granted : 20 Apr 2018,Industrial Projects - 2,BHAGIRATHI SAHU,EC Granted
635,SIA/OR/IND2/22668/2018,22668/268-IND2/03-2018,Orissa,Balangir,Titlagarh,Date of Submission for EC: 26 Mar 2018 ,Date of Ec Granted : 11 Sep 2018,Industrial Projects - 2,RITESHSAHU,EC Granted
636,SIA/OR/MIN/69767/2017,69767/1924-NCM/10-2017,Orissa,Rayagada,Rayagada,Date of Submission for TOR: ,Date of Submission for EC: 27 Oct 2017 ,Non-Coal Mining,SMT K VIJAY LAXMI,Delisted
637,SIA/OR/MIN/411802/2022,,Orissa,,,Date of Submission for TOR: ,Date of Submission for EC: 23 Dec 2022 ,Non-Coal Mining,TAHSILDAR KOLNARA,Query raised by SEIAA and pending at PP
638,SIA/OR/INFRA2/421228/2023,421228/109-INFRA2/03-2023,Orissa,,,Date of Submission for TOR: ,Date of Submission for EC: 06 Apr 2023 ,INFRA-2, DEVAVRAT HOMES PRIVATE LIMITED,Accepted By SEAC
639,SIA/OR/IND2/22712/2018,22712/293-IND2/03-2018,Orissa,Balangir,Balangir,Date of Submission for EC: 27 Mar 2018 ,Date of Ec Granted : 28 Jul 2018,Industrial Projects - 2,ANIL KUMAR SAHU AND RAM MURTY PRASAD,EC Granted
