,Proposal,File_No,State,District,Tehsil,Date_1,Date_2,Category,Company,Status
367,SIA/BR/MIN/144564/2020,,Bihar,Vaishali,Hajipur,Date of Submission for TOR: ,Date of Submission for EC: 21 Feb 2020 ,Non-Coal Mining,M/S UTTAM CITY INFRA & SERVICES PVT. LTD.,Delisted
368,SIA/BR/MIN/60614/2016,SIA/1(a)366-A/16,Bihar,Saran,Dighwara,Date of Submission for TOR: ,Date of Submission for EC: 25 Nov 2016 ,Non-Coal Mining,BROADSON COMODITIES PVT LTD,Delisted
369,SIA/BR/MIN/60662/2016,SIA/1(a)/387/16,Bihar,Bhojpur,Koilwar,Date of Submission for EC: 25 Nov 2016 ,Date of Ec Granted : 23 Dec 2016,Non-Coal Mining,BROADSON COMODITIES PVT LTD,EC Granted
370,SIA/BR/MIN/66275/2017,SIA/1(a)/591/18,Bihar,Jamui,Khaira,Date of Submission for TOR: ,Date of Submission for EC: 29 Sep 2018 ,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,Delisted
371,SIA/BR/MIN/133565/2019,,Bihar,Patna,Bakhtiarpur,Date of Submission for TOR: ,Date of Submission for EC: 26 Dec 2019 ,Non-Coal Mining,M/S VIPBRICKSCOMPANY,Delisted
372,SIA/BR/MIN/135869/2020,,Bihar,Gaya,Gaya,Date of Submission for TOR: ,Date of Submission for EC: 08 Jan 2020 ,Non-Coal Mining,M.S K.B.C INT UDYOG,Delisted
373,SIA/BR/MIN/138866/2020,,Bihar,Patna,Maner,Date of Submission for TOR: ,Date of Submission for EC: 25 Jan 2020 ,Non-Coal Mining,M/S HATHI BRICKS,Delisted
374,SIA/BR/MIN/31036/2019,SIA/1(a)/680/19,Bihar,Patna,Paliganj,Date of Submission for EC: 06 Feb 2020 ,Date of Ec Granted : 22 Apr 2020,Non-Coal Mining,BROADSON COMODITIES PVT LTD,EC Granted
375,SIA/BR/MIS/29945/2015,3405,Bihar,Darbhanga,Baheri,Date of Submission for TOR: ,Date of Submission for EC: 07 Aug 2015 ,INFRA-2,SINGH AND COMPANY,Delisted
376,SIA/BR/MIS/142940/2020,SIA/8(a)/989/2020,Bihar,Begusarai,Begusarai,Date of Submission for EC: 15 Feb 2020 ,Date of Ec Granted : 22 Apr 2020,INFRA-2,DEPARTMENT OF HEALTH GOVERMENT OF BIHAR,EC Granted
377,SIA/BR/MIN/143371/2020,,Bihar,Samastipur,Shivaji Nagar,Date of Submission for TOR: ,Date of Submission for EC: 15 Feb 2020 ,Non-Coal Mining,BSCPL INFRASTRUCTURE LTD.MAUZA POKHAR BHINDA AREA 12.09 AC,Delisted
378,SIA/BR/MIN/59794/2016,SIA/1(a)/351/16,Bihar,Munger,Tarapur,Date of Submission for EC: 11 Nov 2016 ,Date of Ec Granted : 16 Feb 2017,Non-Coal Mining,NM FOOD PRODUCT PVT LTD,EC Granted
379,SIA/BR/MIN/154051/2020,,Bihar,Madhubani,Laukaha,Date of Submission for TOR: ,Date of Submission for EC: 23 May 2020 ,Non-Coal Mining,M/S BSCPL INFRASTRUCTURE LTD.,Delisted
380,SIA/BR/MIN/51625/2020,,Bihar,Jamui,Jamui,Date of Submission for TOR: ,Date of Submission for EC: 18 Dec 2020 ,Non-Coal Mining,ATIK ENTERPRISES,Delisted
381,SIA/BR/MIN/128770/2019,,Bihar,Buxar,Nawanagar,Date of Submission for TOR: ,Date of Submission for EC: 02 Dec 2019 ,Non-Coal Mining,M/S VIKASH ENTERPRISES,Delisted
382,SIA/BR/MIN/136174/2020,,Bihar,Saran,Baniapur,Date of Submission for TOR: ,Date of Submission for EC: 10 Jan 2020 ,Non-Coal Mining,M/S RKS INT UDYOG,Delisted
383,SIA/BR/MIN/129529/2019,,Bihar,Patna,Bakhtiarpur,Date of Submission for TOR: ,Date of Submission for EC: 04 Dec 2019 ,Non-Coal Mining,M/S SHAN BRICKS,Delisted
384,SIA/BR/MIN/142752/2020,,Bihar,Siwan,Lakri Nabiganj,Date of Submission for TOR: ,Date of Submission for EC: 15 Feb 2020 ,Non-Coal Mining,M/S MAHAN INT. UDYOG,Delisted
385,SIA/BR/MIN/61868/2017,SIA/1(a)/432/17,Bihar,Saharsa,Saur Bazar,Date of Submission for EC: 19 Jan 2017 ,Date of Ec Granted : 16 Mar 2017,Non-Coal Mining,CHANDAN KUMAR,EC Granted
386,SIA/BR/MIN/64468/2017,SIA/1(a)/500/17,Bihar,Gaya,Tikari,Date of Submission for EC: 09 Jun 2017 ,Date of Ec Granted : 31 May 2018,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,EC Granted
387,SIA/BR/MIN/64493/2017,SIA/1(a)/497/17,Bihar,Gaya,Belaganj,Date of Submission for EC: 09 Jun 2017 ,Date of Ec Granted : 29 May 2018,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,EC Granted
388,SIA/BR/MIS/83570/2018,SIA/8(a)/602/18,Bihar,Patna,Dinapur-Cum-Khagaul,Date of Submission for TOR: ,Date of Submission for EC: 26 Oct 2018 ,INFRA-2,SRI ANU ANAND CONSTRUCTION PVT. LTD,Awaiting EC
389,SIA/BR/MIN/141164/2020,,Bihar,Madhubani,Jhanjharpur,Date of Submission for TOR: ,Date of Submission for EC: 06 Feb 2020 ,Non-Coal Mining,M/S- JAGDAMBA INT UDYOG,Delisted
390,SIA/BR/MIN/30937/2019,SIA/1(a)/550/18,Bihar,Lakhisarai,Lakhisarai,Date of Submission for EC: 04 Sep 2019 ,Date of Ec Granted : 06 Nov 2019,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,EC Granted
391,SIA/BR/INFRA2/416357/2023,,Bihar,,,Date of Submission for TOR: ,Date of Submission for EC: 02 Feb 2023 ,INFRA-2,RAJIV RANJAN,Delisted
392,SIA/BR/MIN/131791/2019,,Bihar,West Champaran,Bagaha,Date of Submission for TOR: ,Date of Submission for EC: 16 Dec 2019 ,Non-Coal Mining,M/S BALAJEE & SAKAMBARI INT UDYOG,Delisted
393,SIA/BR/MIN/167383/2020,,Bihar,Jehanabad,Arwal,Date of Submission for TOR: ,Date of Submission for EC: 10 Aug 2020 ,Non-Coal Mining,M/S BIHAR INT UDYOG UNIT I PROP MD MANWER ALAM,Delisted
394,SIA/BR/MIN/140310/2020,,Bihar,Patna,Paliganj,Date of Submission for TOR: ,Date of Submission for EC: 03 Feb 2020 ,Non-Coal Mining,M/S LAXMI BRICKS PROP ASHOK KUMAR,Delisted
395,SIA/BR/MIN/33647/2019,,Bihar,Munger,Sangrampur,Date of Submission for TOR: ,Date of Submission for EC: 25 Mar 2019 ,Non-Coal Mining,KATYAYNI CONTRACTORS PVT. LTD.,Query raised by SEIAA and pending at PP
396,SIA/BR/MIN/31513/2019,SIA/1(a)/633/19,Bihar,Patna,Bihta,Date of Submission for EC: 14 Feb 2020 ,Date of Ec Granted : 22 Apr 2020,Non-Coal Mining,BROADSON COMODITIES PVT LTD,EC Granted
397,SIA/BR/MIN/41334/2019,SIA/1(a)/558/18,Bihar,Jamui,Jamui,Date of Submission for EC: 05 Sep 2019 ,Date of Ec Granted : 06 Nov 2019,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,EC Granted
398,SIA/BR/MIN/141689/2020,,Bihar,Muzaffarpur,Bandra,Date of Submission for TOR: ,Date of Submission for EC: 08 Feb 2020 ,Non-Coal Mining,M/S R.V.I BRICKS,Delisted
399,SIA/BR/MIN/144744/2020,,Bihar,Katihar,Kadwa,Date of Submission for TOR: ,Date of Submission for EC: 22 Feb 2020 ,Non-Coal Mining,M/S RADHA BRICKS PROP ANAND KUMAR BUBNA,Delisted
400,SIA/BR/MIN/18783/2015,SIA/1(a)/451/17,Bihar,Nawada,Nawada,Date of Submission for EC: 20 Mar 2017 ,Date of Ec Granted : 27 Jun 2017,Non-Coal Mining,MAHADEV ENCLAVE PVT LTD,EC Granted
401,SIA/BR/MIN/64377/2017,SIA/1(a)/470/17,Bihar,Gaya,Tikari,Date of Submission for EC: 08 Jun 2017 ,Date of Ec Granted : 31 May 2018,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,EC Granted
402,SIA/BR/MIN/64491/2017,SIA/1(a)/501/17,Bihar,Gaya,Khizirsarai,Date of Submission for EC: 09 Jun 2017 ,Date of Ec Granted : 29 May 2018,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,EC Granted
403,SIA/BR/MIN/137970/2020,,Bihar,Gaya,Gaya,Date of Submission for TOR: ,Date of Submission for EC: 21 Jan 2020 ,Non-Coal Mining,M/S GOPAL BRICKS,Delisted
404,SIA/BR/MIN/42101/2019,,,,,Date of Submission for TOR: ,Date of Submission for EC: 31 Aug 2019 ,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,Query raised by SEIAA and pending at PP
405,SIA/BR/MIN/70067/2017,,Bihar,Gaya,Tikari,Date of Submission for TOR: ,Date of Submission for EC: 03 Oct 2017 ,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,Delisted
406,SIA/BR/MIN/31245/2015,SIA/1(a)/09/2015,Bihar,Siwan,Siwan,Date of Submission for TOR: ,Date of Submission for EC: 23 Sep 2015 ,Non-Coal Mining,A B S INT UDYOG,Delisted
407,SIA/BR/MIN/64508/2017,SIA/1(a)/491/17,Bihar,Gaya,Tikari,Date of Submission for EC: 08 Jun 2017 ,Date of Ec Granted : 31 May 2018,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,EC Granted
408,SIA/BR/MIN/65390/2017,SIA/1(a)/513/17,Bihar,Gaya,Sherghati,Date of Submission for EC: 14 Jun 2017 ,Date of Ec Granted : 31 May 2018,Non-Coal Mining,WESTLINK TRADING PRIVATE LIMITED,EC Granted
409,SIA/BR/IND2/16935/2016,SIA/6(b)/434/17,Bihar,Muzaffarpur,Musahari,Date of Submission for TOR: ,Date of Submission for EC: 18 Apr 2018 ,Industrial Projects - 2,BPCL MUZAFFARPUR POL DEPOT,Delisted
410,SIA/BR/MIN/31029/2019,SIA/1(a)/621/19,Bihar,Bhojpur,Tarari,Date of Submission for EC: 09 Dec 2019 ,Date of Ec Granted : 21 Apr 2020,Non-Coal Mining,BROADSON COMODITIES PVT LTD,EC Granted
411,SIA/BR/MIN/48818/2016,,Bihar,Buxar,Chausa,Date of Submission for TOR: ,Date of Submission for EC: 10 Feb 2016 ,Non-Coal Mining,MS KATYAYNI CONTRACTORS PVT LTD,Delisted
412,SIA/BR/MIN/48820/2016,,Bihar,Buxar,Dumraon,Date of Submission for TOR: ,Date of Submission for EC: 10 Feb 2016 ,Non-Coal Mining,MS KATYAYNI CONTRACTORS PVT LTD,Delisted
413,SIA/BR/MIN/141153/2020,,Bihar,West Champaran,Mainatanr,Date of Submission for TOR: ,Date of Submission for EC: 06 Feb 2020 ,Non-Coal Mining,K LAL,Delisted
414,SIA/BR/MIN/137972/2020,,Bihar,Khagaria,Gogari,Date of Submission for TOR: ,Date of Submission for EC: 21 Jan 2020 ,Non-Coal Mining,M/S- STAR BRICKS,Delisted
415,SIA/BR/MIN/131807/2019,,,,,Date of Submission for TOR: ,Date of Submission for EC: 18 Dec 2019 ,Non-Coal Mining,M/S MUSKAN BRICKS,Delisted
416,SIA/BR/MIN/60636/2016,SIA/1(a)/378/16,Bihar,Bhojpur,Sandesh,Date of Submission for EC: 25 Nov 2016 ,Date of Ec Granted : 23 Dec 2016,Non-Coal Mining,BROADSON COMODITIES PVT LTD,EC Granted
417,SIA/BR/MIN/60617/2016,SIA/1(a)/366/16,Bihar,Saran,Sonepur,Date of Submission for TOR: ,Date of Submission for EC: 24 Nov 2016 ,Non-Coal Mining,BROADSON COMODITIES PVT LTD,Delisted
418,SIA/BR/MIN/34160/2019,,Gujarat,kutch,Bhuj,Date of Submission for TOR: ,Date of Submission for EC: 03 Apr 2019 ,Non-Coal Mining,SUJEET KUMAR,Query raised by SEIAA and pending at PP
419,SIA/BR/MIN/32580/2015,SIA/1(a)/55/2015,Bihar,Kishanganj,Bahadurganj,Date of Submission for TOR: ,Date of Submission for EC: 05 Nov 2015 ,Non-Coal Mining,NATIONAL BRICKS FIELD,Delisted
420,SIA/BR/MIN/36385/2019,,Bihar,Nawada,Hisua,Date of Submission for TOR: ,Date of Submission for EC: 17 May 2019 ,Non-Coal Mining,MS SONA BRICKS WORKS,Query raised by SEIAA and pending at PP
421,SIA/BR/MIN/31594/2015,SIA/1(a)/35/2015,Bihar,Bhojpur,Barhara,Date of Submission for TOR: ,Date of Submission for EC: 07 Oct 2015 ,Non-Coal Mining,SUNIL KUMAR SINGH,Delisted
422,SIA/BR/MIN/60620/2016,SIA/1(a)/367/16,Bihar,Saran,Chapra,Date of Submission for EC: 24 Nov 2016 ,Date of Ec Granted : 23 Dec 2016,Non-Coal Mining,BROADSON COMODITIES PVT LTD,EC Granted
423,SIA/BR/MIN/31378/2015,SIA/1(a)/16/2015,Bihar,Siwan,Andar,Date of Submission for TOR: ,Date of Submission for EC: 29 Sep 2015 ,Non-Coal Mining,RAMASHANKAR YADAV,Delisted
424,SIA/BR/MIN/140981/2020,,Bihar,Samastipur,Shivaji Nagar,Date of Submission for TOR: ,Date of Submission for EC: 28 Feb 2020 ,Non-Coal Mining,BSCPL INFRASTRUCTURE LTD. MAUZA DHARAMPUR AREA 12.28 AC,Delisted
