,Unnamed: 0,X...,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
840,841,6,SIA/BR/MIN/72054/2018,,"Proposed Stone Mining Project at Village: Barari, District: Shekhpura, State: Bihar",NATRAJ ENGINEERS PVT. LTD,Delisted,EC,, 
841,842,7,SIA/BR/IND1/438123/2023,SIA/3(a)/2367/2023,"Production of 200 MT/day/ 60,000 MT/Year of M.S Section- Angle, Channel, Patti, Rod at Simli Murarpur, Deedarganj Patna City  by M/S Govardhan Ispat  India  Private Limited, Patna, Bihar.",GOVARDHAN ISPAT INDIA PRIVATE LIMITED,EC Granted,EC,, 
842,843,8,SIA/BR/MIN/31133/2015,3497,Brick Clay Mining Project- Raj Int Udyog-B2,RAJ INT UDHYOG,Delisted,EC,, 
843,844,9,SIA/BR/MIN/63522/2017,SIA/1(a)/453/17,"Soil Mining Project at Vill- Raghunathpur, P.S- Sahebpur Kamal, Begusarai, Bihar",PUNJLLOYD LIMITED,Delisted,EC,, 
844,845,10,SIA/BR/MIN/437312/2023,SIA/1(a)/2275/2023,Proposed Sand Mining Project of Area 49.99 Ha at Aurangabad Ghat 30 on Sone River of District-Aurangabad State-Bihar,MANISH KUMAR,EC Granted,EC,, 
845,846,2,SIA/BR/MIN/30939/2015,SIA/1(a)/04/2015,STONE MINING PROJECT-NECL-B2,NAVAYUGA ENGINEERING COMPANY LTD,Delisted,EC,, 
846,847,1,SIA/BR/MIN/444156/2023,SIA/1(a)/2341/2023,Sand Ghat Mining Project (Bhoj Son 18 Sand Ghat) at Riverbed of Son River.,RITA DEVI,EC Granted,EC,, 
847,848,2,SIA/BR/INFRA2/414514/2023,SIA/7(da)/2036/2022,"PROPOSED COMMON BIOMEDICAL WASTE TREATMENT FACILITY at  Khata no.100 (Plot no. 416), Khata no.133 (Plot no.415), Khata no.76 (Plot no.742) at Mauza Ainio, Fatuha, District Patna, Bihar by M/s S.R. SOLUTION",SANTOSH OJHA,Rejection Letter Granted,EC,, 
848,849,3,SIA/BR/MIN/66098/2017,,Sand Mining Project at Giddheshwar Sand Ghat on Kiul River.,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,, 
849,850,4,SIA/BR/MIN/70061/2017,,Proposed Sand Mining Project at Bagahi Sand Ghat on Morhar River,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,, 
850,851,5,SIA/BR/MIN/440485/2023,SIA/1(a)/2394/2023,"Sand Mining Project, Block- 11 (Marpo)  Sand Ghat of District- Nawada, State-Bihar.",SURENDRA KUMAR,EC Granted,EC,, 
851,852,6,SIA/BR/MIN/18872/2015,SIA/1(a)/461/17,"Rajauli (Block 6) Ordinary Stone Mining Project Village: Rajauli, Tehsil-Nawada &  District-Nawada, State-Bihar",MS BSCPL INFRASTRUCTURE LTD,EC Granted,EC,, 
852,853,1,SIA/BR/MIN/59787/2016,SIA/1(a)/362/16,"Balu/ Sand Mining (Minor Mineral) Category- B2 (M.L. Area- 5.74 ha) with Production Capacity of 36240 TPA at Ghorghat of Ganga River in Tehsil: Jamalpur, District: Munger (Bihar)",NM FOOD PRODUCT PVT LTD,EC Granted,EC,, 
853,854,2,SIA/BR/MIN/31581/2015,SIA/1(a)/31/2015,Brick Clay Mining Project of M/s Sangam Marka  Bricks,OTHERS,Delisted,EC,, 
854,855,3,SIA/BR/MIN/65391/2017,SIA/1(a)/520/17,Sand Mining Project at Singha Sand Ghat on Paimar River.,WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,, 
855,856,4,SIA/BR/MIN/30748/2015,3496,Brick Clay Mining - M/s D.K Bricks - B2,D K BRICKS,Delisted,EC,, 
856,857,5,SIA/BR/MIN/66113/2017,SIA/1(a)/593/18,Sand Mining Project at Jaljoga Sand Mining Ghat,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,, 
857,858,6,SIA/BR/MIN/64348/2017,SIA/1(a)/490/17,Sand Mining Project at Maranchi Sand Ghat on Buddh River,WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,, 
858,859,7,SIA/BR/MIN/64376/2017,SIA/1(a)/468/17,Sand Mining Project at Hardavan Ghat on Lilajan River,WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,, 
859,860,8,SIA/BR/MIN/17653/2015,SIA/1(a)/413/17,197/2015,V K ROADLINES PVT LTD,EC Granted,EC,, 
860,861,2,SIA/BR/MIN/74843/2018,,"Stone  Mining  Project  at  Village:  Chakandara / Barari,  Block- Chewra, District: 
Shekhpura,  State: Bihar",NATRAJ IRON & CASTINGS PVT. LTD,Delisted,EC,, 
861,862,3,SIA/BR/MIN/60657/2016,SIA/1(a)/386/16,Sand Mining Project at Chilhauns Ghat on River Son,BROADSON COMODITIES PVT LTD,EC Granted,EC,, 
