,Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
4,8134,SIA/MH/MIS/267693/2022,SIA/MH/MIS/267693/2022,"Proposed Building “Sunrise Parkview” on plot Bearing S. No. 77, H.No. 1 & S. No. 78, H.No. 1 at, Padle Village, Thane by Sunrise Life spaces LLP",SION GARAGE PRIVATE  LIMITED,EC Granted,EC,
5,8135,SIA/MH/MIS/268594/2022,SIA/MH/MIS/268594/2022,"Re-development of “New District Court Building’’ at Nashik by Public Work Division (PWD), Nashik.",PUBLIC WORK DEPARTMENT NASHIK,EC Granted,EC,
6,8136,SIA/MH/MIS/268942/2022,SIA/MH/MIS/268942/2022,Amoda Reserve,KALPATARU PROPERTIES (THANE) PVT LTD.,Delisted,EC,
7,8137,SIA/MH/MIN/290180/2022,SIA/MH/MIN/290180/2022,Stone Quarry Project of Amol Balkrishna Lad,AMOL LAD,EC Granted,EC,
8,8138,SIA/MH/MIN/290659/2022,SIA/MH/MIN/290659/2022,Shirpur Basalt Mining Project,RAJU VIRKHEDE,Deferred by SEAC,EC,
9,8139,SIA/MH/MIS/289191/2022,SIA/MH/MIS/289191/2022,"Application for Environmental Clearance for the proposed development of Residential and Commercial at plot bearing S. No. 36, H.No. 2, S.No. 51, H.No. 3B & 4, Village Bhopar, Tal – Kalyan, District - Thane, State – Maharashtra, 421201 by M/s. Venus N",VENUS NIRVANA LLP,EC Granted,EC,
10,8140,SIA/MH/MIN/408851/2022,SIA/MH/MIN/408851/2022,"Chincholi Bu. Sand Ghat, Vana  River ,Nearest Gut no  48/1,48/2,48/3 , Tq. Hinganghat Dist. Wardha Area- 1.40 Ha, Qty- 2473 Brass",DMO WARDHA,EC Granted,EC,
1,8141,SIA/MH/MIN/410260/2022,SIA/MH/MIN/410260/2022,"Dauch Khu. , Tq Kopargaon , Gut No. 74,75 , Area 1.05 OVER Godavari river , village Dauch Khu. , Brass 1855",VASEEM SAYED,EC Granted,EC,
2,8142,SIA/MH/MIN/410192/2022,SIA/MH/MIN/410192/2022,"Mungi Kr. 3 Sand Ghat,Godavari  River ,Nearest Gut no  216, 217, 214, 402, Tq. Shevgaon Dist. Ahmednagar , Area-1.06 Ha, Qty. 3731 Brass",VASEEM SAYED,EC Granted,EC,
3,8143,SIA/MH/MIN/413141/2023,SIA/MH/MIN/413141/2023,STONE QUARRY of SHRI.ARJUN DAJI PATIL,ARJUN PATIL,ADS by SEAC,EC,
4,8144,SIA/MH/MIN/409309/2022,SIA/MH/MIN/409309/2022,"Nimkheda Sand Ghat,Girja  River ,Nearest Gut no  44,43,38,33,18(Sounth Side) , Tq. Phulambri Dist. Aurangabad, Area- 2.70 Ha, Qty- 9541 Brass",DISTRICT MINING OFFICER AURANGABAD,EC Granted,EC,
5,8145,SIA/MH/INFRA2/412082/2022,SIA/MH/INFRA2/412082/2022,"Expansion of Residential-Cum-Commercial Construction Project “City Rise” at Kothrud, Pune by Bhupal Patwardhan and Sons LLP",BHUPAL PATWARDHAN AND SONS LLP,EC Granted,EC,
