,Unnamed: 0,X,Proposal.No.,File.No.,Project.Name,Company,Proposal.Status,Project.Type,View,Form_Type
789,790,9,SIA/PB/IND/63190/2021,SEIAA/PB/IND/2022/EC/03,"Proposed Steel manufacturing unit namely “M/s SG Metals and Steels India Pvt. Ltd.” at Village Shahpur, Khanna-Amloh Road, Tehsil Amloh, Mandi Gobindgarh, Distt. Fatehgarh Sahib, Punjab.",M/S SG METALS AND STEELS INDIA PVT. LTD.,EC Granted,EC,, 
790,791,3,SIA/PB/INFRA2/429960/2023,SEIAA/PB/MIS/2023/EC/16,"Expansion of SUNTEC CITY by M/s.The India Co-op Housing building society LTD located at village Palheri (H.B. No. 173), Tehsil-Kharar and village Raihmanpur (H.B. No.172), Tehsil-Majri, District-SAS Nagar, New Chandigarh, Punjab",SUNTEC CITY BY M/S. THE INDIAN CO-OP HOUSE BUILDING SOCIETY LTD,EC Granted,EC,, 
791,792,2,SIA/PB/MIS/136535/2020,SEIAA/PB/MIS/EC/2020/05,carpe diem,CREDO ASSETS PRIVATE LIMITED,EC Granted,EC,, 
792,793,6,SIA/PB/MIS/253790/2022,SEIAA/PB/MIS/2022/EC(EXP)/03,Expansion of Warehouse Project (Agro and Non-Agro based),M/S LUDHIANA LOGISTICS PARK LLP,EC Granted,EC,, 
793,794,7,SIA/PB/MIN/178189/2020,SEIAA/PB/MIN/EC/2020/29,Behak Gujjran Sand mining project,PRIME VISION INDUSTRIES PVT LTD,EC Granted,EC,, 
794,795,5,SIA/PB/MIN/149277/2020,SEIAA/PB/MIN/EC/2020/19,"Chak Gariban Sandar Sand Mining Project at Village- Chak Gariban Sandar, Tehsil- Jalalabad, District-Fazilka",PRIME VISION INDUSTRIES PVT LTD,EC Granted,EC,, 
795,796,9,SIA/PB/MIN/148557/2020,SEIAA/PB/MIN/EC/2020/23,"“Jevanwal Gravel Mine” Block No. –4, Hadbast No. –299, having total area  of 4.25hectare (Non- Forest), khasra no - 5//22/1(2-4),22/2(5-16),23(8-0),24(8-0)12//1(8-0),2(8-0),3(8-0),4(8-0),7(8-0),9(6-0)",M/S PRIME VISION INDUSTRIES PRIVATE LIMITED (MINE),EC Granted,EC,, 
796,797,3,SIA/PB/NCP/90237/2019,SEIAA/PB/NCP/2021/EC/02,"Group Housing Project “MUIRWOODS ECO-GLADES” in Residential Township (“MUIRWOODS ECOCITY”), New Chandigarh, District SAS Nagar (Mohali), Punjab by M/s. Altus Space Builders Pvt. Ltd.",M/S ALTUS SPACE BUILDERS PVT. LTD.,Delisted,EC,, 
797,798,10,SIA/PB/MIS/153867/2020,SEIAA/PB/MIS/EC/2020/11,AMAYRA LUXURY ONE,OMNI PACIFIC COLONIZERS (P) LTD,EC Granted,EC,, 
798,799,4,SIA/PB/IND3/245929/2021,SEIAA/PB/IND/2022/EC/01,"Proposed API Manufacturing Unit ""M/s Valence Labs Private Limited' at village- Jansui, Tehsil- Rajpura, District- Patiala, Punjab",VALENCE LABS PRIVATE LIMITED,EC Granted,EC,, 
799,800,1,SIA/PB/MIN/421126/2023,SEIAA/PB/MIN/2023/EC/05,"Proposed Sand Mining (boulder, gravel, sand) project as per approved DSR No. SEIAA/MS/2022/1318 with production capacity of 28471 TPA over an area of 4.70 ha on the agricultural bed/patta land located at Village- Aalowal, Tehsil Rupnagar, District Rupnagar, Punjab through XEN/DMO District Rupnagar Govt. of Punjab",Department of Irrigation,EC Granted,EC,, 
800,801,2,SIA/PB/NCP/63302/2017,SEIAA/PB/NCPEC/2017/6,ROYAL FAME II,MOTIA REAL ESTATE,EC Granted,EC,, 
801,802,3,SIA/PB/NCP/73356/2018,SEIAA/PB/NCP/EC/2018/05,"Group Housing Project namely “Ambika Homes” located at Site No. 2, IT City, Sector 66-Beta, S.A.S. Nagar (Mohali), Punjab by M/s. Ambika Realcon Pvt. Ltd.",AMBIKA REALCON PRIVATE LIMITED,EC Granted,EC,, 
802,803,4,SIA/PB/MIN/42280/2016,,Mining of Brick Earth in Village by M/s Punjab Bricks,PUNJAB  BRICKS,Delisted,EC,, 
803,804,4,SIA/PB/MIN/35956/2015,,"Mining of brick earth in an area of  1.77 hectares of total 2.4 hectares of land(upto a depth of 0.9 m only).Out of total 2.4 hectares of land in lease deed,0.62 hectares of land was excavated upto 3 feet till 29.7.2015(Date on which previous EC expi",SHIV SHAKTI BKO,Delisted,EC,, 
804,805,5,SIA/PB/MIN/49065/2016,,M/s. Arora & Co. BKO Village:- Khara  Tehsil Kotkapura Distt. Faridkot  (Punjab),MS ARORA AND CO BKO,Delisted,EC,, 
805,806,6,SIA/PB/MIN/38168/2016,,SS BKO MINING SITE AT KOTKAPURA FARIDKOT,SS BKO KKP,Delisted,EC,, 
806,807,7,SIA/PB/MIN/446866/2023,SEIAA/PB/MIN/2023/EC/63,Marara Sand Mining Project over an extent of 1.60Ha.,Department of Irrigation,EC Granted,EC,, 
807,808,8,SIA/PB/MIN/33615/2015,,"DIC-Sand mining project at village- kot karor kalan, firozpur",DIC PUNJAB,Delisted,EC,, 
808,809,9,SIA/PB/NCP/76175/2018,,Affordable group housing,RITESH PROPERTIES AND INDUSTRIES LIMITED,Delisted,EC,, 
809,810,10,SIA/PB/NCP/57431/2016,SEIAA/PB/NCP/BC/EC/2016/27,commercial project developed by Barnala builders,BARNALA BUILDERS,EC Granted,EC,, 
810,811,1,SIA/PB/MIN/40696/2016,,"M/S SURINDER MOHAN & CO. MINING SITE AT AGWARD KASHMIRI, KOTKAPURA",SURINDER MOHAN AND COMPANY,Delisted,EC,, 
